feature,iraf_score,spearman_rho,p_value,source
mean_R_knee_flexion,iraf_total,-0.0787878787878787,0.8287173946974606,MoLab
mean_L_ankle_flexion,iraf_rörelseutförande,0.0683440776597923,0.851193689194449,MoLab
mean_pelvis_tilt,iraf_utgångsposition,0.066869609804807,0.8543750609172778,MoLab
delta_pelvis_tilt,iraf_total,-0.0666666666666666,0.8548130882487427,MoLab
mean_R_knee_flexion,iraf_rörelseutförande,0.0559178817216482,0.8780613891997648,MoLab
delta_knee_asymmetry,iraf_total,0.0424242424242424,0.907363817812816,MoLab
ROM_knee,iraf_rörelsestart,0.0379868588198793,0.9170235505646718,MoLab
fas2_peak_pelvis_gyro,iraf_rörelsestart,0.0379868588198793,0.9170235505646718,MoLab
ROM_hip,iraf_rörelsestart,-0.0379868588198793,0.9170235505646718,MoLab
fas1_ROM_knee,iraf_rörelsestart,-0.0379868588198793,0.9170235505646718,MoLab
fas1_ROM_hip,iraf_rörelsestart,-0.0379868588198793,0.9170235505646718,MoLab
fas2_peak_pelvis_gyro,iraf_utgångsposition,-0.0364743326208038,0.9203184602756675,MoLab
mean_R_ankle_flexion,iraf_total,0.0303030303030303,0.9337729580941466,MoLab
mean_R_hip_flexion,iraf_utgångsposition,-0.0243162217472025,0.9468397049085095,MoLab
mean_pelvis_tilt,iraf_rörelseutförande,0.018639293907216,0.9592407072728356,MoLab
fas1_peak_thigh_gyro,iraf_utgångsposition,-0.0182371663104019,0.9601194644967272,MoLab
fas1_rms_pelvis_acc,iraf_utgångsposition,0.0182371663104019,0.9601194644967272,MoLab
rms_pelvis_acc,iraf_utgångsposition,0.0182371663104019,0.9601194644967272,MoLab
ROM_knee,iraf_utgångsposition,-0.0121581108736012,0.9734080635074244,MoLab
delta_pelvis_tilt,iraf_utgångsposition,-0.0121581108736012,0.9734080635074244,MoLab
mean_L_ankle_flexion,iraf_utgångsposition,0.0060790554368006,0.9867025576451146,MoLab
fas1_ROM_knee,iraf_utgångsposition,-0.0060790554368006,0.9867025576451146,MoLab
fas2_peak_pelvis_gyro,iraf_total,0.006060606060606,0.9867429111949892,MoLab
