movement,phase,aspect_id,aspect_name,video_id,aspect_deviation
2a_1,f3,10,Bålen vinklas upp till neutral stående utgångsposition,045,1.0
2a_1,f3,10,Bålen vinklas upp till neutral stående utgångsposition,047,0.047
2a_1,f3,10,Bålen vinklas upp till neutral stående utgångsposition,059,0.4949
2a_1,f3,10,Bålen vinklas upp till neutral stående utgångsposition,061,0.179
2a_1,f3,10,Bålen vinklas upp till neutral stående utgångsposition,074,0.97
2a_1,f3,10,Bålen vinklas upp till neutral stående utgångsposition,076,0.2016
2a_1,f3,10,Bålen vinklas upp till neutral stående utgångsposition,091,0.9781
2a_1,f3,10,Bålen vinklas upp till neutral stående utgångsposition,093,1.0
2a_1,f3,11,Nacke och skuldror följer hela bålens rörelse.,028,0.0
2a_1,f3,11,Nacke och skuldror följer hela bålens rörelse.,030,0.0
2a_1,f3,11,Nacke och skuldror följer hela bålens rörelse.,045,0.6265
2a_1,f3,11,Nacke och skuldror följer hela bålens rörelse.,047,0.8714
2a_1,f3,11,Nacke och skuldror följer hela bålens rörelse.,059,1.0
2a_1,f3,11,Nacke och skuldror följer hela bålens rörelse.,061,1.0
2a_1,f3,11,Nacke och skuldror följer hela bålens rörelse.,074,0.7762
2a_1,f3,11,Nacke och skuldror följer hela bålens rörelse.,076,0.9888
2a_1,f3,11,Nacke och skuldror följer hela bålens rörelse.,091,0.6399
2a_1,f3,11,Nacke och skuldror följer hela bålens rörelse.,093,0.1288
2a_1,f3,12,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,028,0.0
2a_1,f3,12,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,030,0.0
2a_1,f3,12,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,045,0.5
2a_1,f3,12,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,047,0.6667
2a_1,f3,12,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,059,0.5
2a_1,f3,12,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,061,1.0
2a_1,f3,12,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,074,1.0
2a_1,f3,12,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,076,0.3333
2a_1,f3,12,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,091,0.5
2a_1,f3,12,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,093,0.6667
2a_2,f1,1,"Står med fötterna parallellt, riktade rakt fram",028,0.0
2a_2,f1,1,"Står med fötterna parallellt, riktade rakt fram",030,0.0
2a_2,f1,1,"Står med fötterna parallellt, riktade rakt fram",045,0.722
2a_2,f1,1,"Står med fötterna parallellt, riktade rakt fram",047,0.4212
2a_2,f1,1,"Står med fötterna parallellt, riktade rakt fram",059,1.0
2a_2,f1,1,"Står med fötterna parallellt, riktade rakt fram",061,0.8236
2a_2,f1,1,"Står med fötterna parallellt, riktade rakt fram",074,0.318
2a_2,f1,1,"Står med fötterna parallellt, riktade rakt fram",076,1.0
2a_2,f1,1,"Står med fötterna parallellt, riktade rakt fram",091,0.1546
2a_2,f1,1,"Står med fötterna parallellt, riktade rakt fram",093,0.4471
2a_2,f1,2,Står med fötterna rakt under höftlederna,028,0.0
2a_2,f1,2,Står med fötterna rakt under höftlederna,030,0.0
2a_2,f1,2,Står med fötterna rakt under höftlederna,045,0.3793
2a_2,f1,2,Står med fötterna rakt under höftlederna,047,0.4054
2a_2,f1,2,Står med fötterna rakt under höftlederna,059,1.0
2a_2,f1,2,Står med fötterna rakt under höftlederna,061,0.721
2a_2,f1,2,Står med fötterna rakt under höftlederna,074,0.5446
2a_2,f1,2,Står med fötterna rakt under höftlederna,076,0.9182
2a_2,f1,2,Står med fötterna rakt under höftlederna,091,0.3532
2a_2,f1,2,Står med fötterna rakt under höftlederna,093,0.7236
2a_2,f1,4,Knäskålarna riktade mot mellersta tån,028,0.0
2a_2,f1,4,Knäskålarna riktade mot mellersta tån,030,0.0
2a_2,f1,4,Knäskålarna riktade mot mellersta tån,045,0.692
2a_2,f1,4,Knäskålarna riktade mot mellersta tån,047,0.4094
2a_2,f1,4,Knäskålarna riktade mot mellersta tån,059,0.2981
2a_2,f1,4,Knäskålarna riktade mot mellersta tån,061,0.6525
2a_2,f1,4,Knäskålarna riktade mot mellersta tån,074,0.6734
2a_2,f1,4,Knäskålarna riktade mot mellersta tån,076,0.6709
2a_2,f1,4,Knäskålarna riktade mot mellersta tån,091,0.4648
2a_2,f1,4,Knäskålarna riktade mot mellersta tån,093,0.3716
2a_2,f1,5,Knäna neutralt semiflekterade,028,0.0
2a_2,f1,5,Knäna neutralt semiflekterade,030,0.0
2a_2,f1,5,Knäna neutralt semiflekterade,045,0.5483
2a_2,f1,5,Knäna neutralt semiflekterade,047,0.4494
2a_2,f1,5,Knäna neutralt semiflekterade,059,0.1814
2a_2,f1,5,Knäna neutralt semiflekterade,061,1.0
2a_2,f1,5,Knäna neutralt semiflekterade,074,0.4014
2a_2,f1,5,Knäna neutralt semiflekterade,076,0.2656
2a_2,f1,5,Knäna neutralt semiflekterade,091,0.7517
2a_2,f1,5,Knäna neutralt semiflekterade,093,0.3073
2a_2,f1,6,Bäckenet neutralt framåttippat i sagittalplan,028,0.0
2a_2,f1,6,Bäckenet neutralt framåttippat i sagittalplan,030,0.0
2a_2,f1,6,Bäckenet neutralt framåttippat i sagittalplan,045,0.9369
2a_2,f1,6,Bäckenet neutralt framåttippat i sagittalplan,047,0.2625
2a_2,f1,6,Bäckenet neutralt framåttippat i sagittalplan,059,0.5528
2a_2,f1,6,Bäckenet neutralt framåttippat i sagittalplan,061,0.7228
2a_2,f1,6,Bäckenet neutralt framåttippat i sagittalplan,074,0.4943
2a_2,f1,6,Bäckenet neutralt framåttippat i sagittalplan,076,0.789
2a_2,f1,6,Bäckenet neutralt framåttippat i sagittalplan,091,0.4496
2a_2,f1,6,Bäckenet neutralt framåttippat i sagittalplan,093,0.5117
2a_2,f1,9,Thorakalrygg i neutral kyfos i sagittalplan,028,0.0
2a_2,f1,9,Thorakalrygg i neutral kyfos i sagittalplan,030,0.0
2a_2,f1,9,Thorakalrygg i neutral kyfos i sagittalplan,045,0.628
2a_2,f1,9,Thorakalrygg i neutral kyfos i sagittalplan,047,0.2061
2a_2,f1,9,Thorakalrygg i neutral kyfos i sagittalplan,059,0.105
2a_2,f1,9,Thorakalrygg i neutral kyfos i sagittalplan,061,0.7228
2a_2,f1,9,Thorakalrygg i neutral kyfos i sagittalplan,074,0.6048
2a_2,f1,9,Thorakalrygg i neutral kyfos i sagittalplan,076,0.6058
2a_2,f1,9,Thorakalrygg i neutral kyfos i sagittalplan,091,0.3122
2a_2,f1,9,Thorakalrygg i neutral kyfos i sagittalplan,093,0.8813
2a_2,f1,11,Huvudet symmetrisk position rakt ovanför bålen,028,0.0
2a_2,f1,11,Huvudet symmetrisk position rakt ovanför bålen,030,0.0
2a_2,f1,11,Huvudet symmetrisk position rakt ovanför bålen,045,0.256
2a_2,f1,11,Huvudet symmetrisk position rakt ovanför bålen,047,0.2526
2a_2,f1,11,Huvudet symmetrisk position rakt ovanför bålen,059,0.1044
2a_2,f1,11,Huvudet symmetrisk position rakt ovanför bålen,061,1.0
2a_2,f1,11,Huvudet symmetrisk position rakt ovanför bålen,074,1.0
2a_2,f1,11,Huvudet symmetrisk position rakt ovanför bålen,076,0.2648
2a_2,f1,11,Huvudet symmetrisk position rakt ovanför bålen,091,0.0475
2a_2,f1,11,Huvudet symmetrisk position rakt ovanför bålen,093,0.7626
2a_2,f1,12,Cervikalrygg i neutral lordos i sagittalplan,028,0.0
