movement,phase,aspect_id,video_id,aspect_score,aspect_name
2a_2,f3,2,061,0.0,Bålen fortsätter fällas framåt och höftböjningen fortskrider
2a_2,f3,2,076,0.5402,Bålen fortsätter fällas framåt och höftböjningen fortskrider
2a_2,f3,2,093,0.4897,Bålen fortsätter fällas framåt och höftböjningen fortskrider
2a_2,f3,3,028,0.468,Knäna fortsätter böjas och rör sig framåt initialt.
2a_2,f3,3,045,0.1194,Knäna fortsätter böjas och rör sig framåt initialt.
2a_2,f3,3,059,0.2808,Knäna fortsätter böjas och rör sig framåt initialt.
2a_2,f3,3,074,1.0,Knäna fortsätter böjas och rör sig framåt initialt.
2a_2,f3,3,091,0.2188,Knäna fortsätter böjas och rör sig framåt initialt.
2a_2,f3,3,030,0.763,Knäna fortsätter böjas och rör sig framåt initialt.
2a_2,f3,3,047,0.2823,Knäna fortsätter böjas och rör sig framåt initialt.
2a_2,f3,3,061,0.3622,Knäna fortsätter böjas och rör sig framåt initialt.
2a_2,f3,3,076,1.0,Knäna fortsätter böjas och rör sig framåt initialt.
2a_2,f3,3,093,0.1798,Knäna fortsätter böjas och rör sig framåt initialt.
2a_2,f3,4,028,0.2785,Knäna bibehålls riktade mot mellersta tån
2a_2,f3,4,045,0.0844,Knäna bibehålls riktade mot mellersta tån
2a_2,f3,4,059,0.9904,Knäna bibehålls riktade mot mellersta tån
2a_2,f3,4,074,0.4491,Knäna bibehålls riktade mot mellersta tån
2a_2,f3,4,091,0.3081,Knäna bibehålls riktade mot mellersta tån
2a_2,f3,4,030,0.6118,Knäna bibehålls riktade mot mellersta tån
2a_2,f3,4,047,0.4884,Knäna bibehålls riktade mot mellersta tån
2a_2,f3,4,061,0.9414,Knäna bibehålls riktade mot mellersta tån
2a_2,f3,4,076,0.4904,Knäna bibehålls riktade mot mellersta tån
2a_2,f3,4,093,0.3234,Knäna bibehålls riktade mot mellersta tån
2a_2,f3,5,028,0.9499,Kontrollerad sänkning av kroppen
2a_2,f3,5,045,0.0,Kontrollerad sänkning av kroppen
2a_2,f3,5,059,0.0402,Kontrollerad sänkning av kroppen
2a_2,f3,5,074,0.5414,Kontrollerad sänkning av kroppen
2a_2,f3,5,091,0.5321,Kontrollerad sänkning av kroppen
2a_2,f3,5,030,1.0,Kontrollerad sänkning av kroppen
2a_2,f3,5,047,0.5887,Kontrollerad sänkning av kroppen
2a_2,f3,5,061,0.0,Kontrollerad sänkning av kroppen
2a_2,f3,5,076,0.7524,Kontrollerad sänkning av kroppen
2a_2,f3,5,093,0.4751,Kontrollerad sänkning av kroppen
2a_2,f3,7,028,0.269,Förflyttar bäckenet bakåt/nedåt kontrollerat och symmetriskt
2a_2,f3,7,045,0.6558,Förflyttar bäckenet bakåt/nedåt kontrollerat och symmetriskt
2a_2,f3,7,059,0.1736,Förflyttar bäckenet bakåt/nedåt kontrollerat och symmetriskt
2a_2,f3,7,074,0.6961,Förflyttar bäckenet bakåt/nedåt kontrollerat och symmetriskt
2a_2,f3,7,091,0.4428,Förflyttar bäckenet bakåt/nedåt kontrollerat och symmetriskt
2a_2,f3,7,030,0.1049,Förflyttar bäckenet bakåt/nedåt kontrollerat och symmetriskt
2a_2,f3,7,047,0.4602,Förflyttar bäckenet bakåt/nedåt kontrollerat och symmetriskt
