Index,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
478,"-0,076","0,212","0,284","0,165","0,015","0,049","0,128","-0,100","-0,527","-0,041","0,454","0,063","0,160","-0,127","-0,190","-0,085","0,043","0,020","0,207","-0,169","0,148"
479,"-0,015","0,036","0,152","0,165","0,196","0,020","0,068","-0,100","-0,524","0,208","0,298","-0,037","0,030","0,000","-0,208","-0,028","0,176","-0,091","0,029","-0,193","0,183"
480,"-0,137","0,033","-0,041","0,162","-0,004","-0,071","0,075","-0,071","-0,405","0,066","0,202","-0,017","-0,004","-0,151","-0,001","-0,019","-0,007","-0,006","0,071","-0,225","0,058"
481,"-0,076","-0,028","-0,213","0,162","-0,004","-0,071","-0,037","0,032","-0,235","0,028","-0,045","0,013","-0,004","-0,026","0,054","0,131","-0,061","-0,094","0,143","0,019","-0,039"
482,"-0,137","-0,048","-0,271","0,043","0,016","0,052","-0,209","0,077","-0,047","-0,062","-0,307","-0,024","-0,022","0,239","-0,007","0,121","-0,146","-0,102","0,176","0,219","-0,049"
483,"-0,015","-0,143","-0,173","0,101","-0,004","-0,070","-0,141","0,164","0,054","-0,033","-0,403","0,086","-0,016","0,067","-0,023","0,140","-0,102","-0,139","0,266","0,252","-0,204"
484,"0,046","-0,048","-0,271","0,286","0,065","-0,024","-0,068","0,029","0,270","0,038","-0,355","0,076","-0,065","-0,029","0,060","0,129","-0,187","-0,146","0,302","0,375","-0,253"
485,"-0,076","-0,106","-0,251","0,162","-0,065","-0,061","-0,050","0,041","0,581","0,049","-0,299","0,055","-0,189","0,176","0,135","0,121","-0,146","-0,102","0,247","0,170","-0,042"
486,"-0,015","-0,048","-0,271","-0,021","0,056","-0,077","-0,055","0,264","0,464","-0,012","-0,004","-0,076","0,002","0,176","0,203","-0,041","-0,177","-0,021","0,351","0,070","-0,219"
487,"0,046","0,013","-0,098","0,042","0,006","-0,008","-0,119","0,072","0,452","0,063","0,123","-0,052","-0,053","0,127","0,247","-0,193","-0,106","-0,115","0,158","-0,115","-0,059"
