Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z
64,"1,000","0,001","-0,001","-0,002","1,000","-0,004","-0,004","-0,002","1,000","-0,005","0,000","-0,002","1,000","0,000","-0,002","-0,002","1,000","-0,002","0,001","-0,002","1,000","0,000","0,000","-0,002","1,000","0,000","0,001","-0,002"
65,"1,000","-0,001","-0,004","-0,002","1,000","-0,004","-0,001","-0,002","1,000","-0,002","0,001","-0,002","1,000","-0,001","0,001","-0,002","1,000","-0,005","0,002","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,003","0,001","-0,002"
66,"1,000","0,000","-0,001","-0,002","1,000","-0,001","-0,002","-0,002","1,000","0,000","-0,001","-0,002","1,000","0,002","0,000","-0,002","1,000","-0,001","0,002","-0,002","1,000","0,002","0,001","-0,002","1,000","-0,004","0,004","-0,002"
67,"1,000","0,000","0,002","-0,002","1,000","0,001","-0,004","-0,002","1,000","-0,003","-0,001","-0,002","1,000","0,000","-0,002","-0,002","1,000","-0,001","-0,001","-0,002","1,000","-0,001","0,000","-0,002","1,000","-0,003","0,001","-0,002"
68,"1,000","0,001","0,000","-0,002","1,000","0,001","-0,001","-0,002","1,000","0,000","-0,002","-0,002","1,000","-0,002","0,000","-0,002","1,000","0,000","0,001","-0,002","1,000","0,002","-0,001","-0,002","1,000","-0,005","-0,002","-0,002"
69,"1,000","-0,001","0,001","-0,002","1,000","-0,001","0,001","-0,002","1,000","-0,002","-0,004","-0,002","1,000","0,000","-0,002","-0,002","1,000","-0,001","-0,002","-0,002","1,000","0,000","0,001","-0,003","1,000","-0,002","-0,002","-0,002"
70,"1,000","0,000","-0,002","-0,002","1,000","0,001","-0,001","-0,002","1,000","0,000","-0,002","-0,002","1,000","-0,002","0,000","-0,002","1,000","0,002","-0,001","-0,002","1,000","0,002","0,002","-0,003","1,000","0,000","-0,001","-0,002"
71,"1,000","0,000","-0,002","-0,002","1,000","0,002","-0,001","-0,003","1,000","-0,001","-0,001","-0,002","1,000","-0,002","0,000","-0,002","1,000","0,002","-0,001","-0,002","1,000","0,002","0,002","-0,003","1,000","0,001","-0,001","-0,002"
72,"1,000","0,000","-0,001","-0,002","1,000","0,002","0,000","-0,003","1,000","-0,001","-0,001","-0,002","1,000","-0,001","0,000","-0,002","1,000","0,001","-0,001","-0,002","1,000","0,002","0,002","-0,003","1,000","0,001","-0,001","-0,002"
73,"1,000","0,000","-0,001","-0,002","1,000","0,002","0,000","-0,003","1,000","0,000","-0,001","-0,002","1,000","-0,002","0,000","-0,002","1,000","0,001","-0,001","-0,002","1,000","0,002","0,002","-0,003","1,000","0,001","-0,001","-0,002"
74,"1,000","-0,001","-0,001","-0,002","1,000","0,002","0,000","-0,003","1,000","-0,001","-0,002","-0,002","1,000","-0,002","0,000","-0,002","1,000","0,001","-0,001","-0,002","1,000","0,002","0,001","-0,003","1,000","0,000","-0,001","-0,002"
75,"1,000","0,000","-0,002","-0,002","1,000","0,002","-0,001","-0,003","1,000","0,000","-0,001","-0,002","1,000","-0,002","0,000","-0,002","1,000","0,001","-0,001","-0,002","1,000","0,002","0,001","-0,003","1,000","0,000","-0,001","-0,002"
76,"1,000","-0,001","-0,002","-0,002","1,000","0,002","-0,001","-0,003","1,000","-0,001","-0,001","-0,002","1,000","-0,002","0,000","-0,002","1,000","0,001","-0,001","-0,002","1,000","0,001","0,001","-0,003","1,000","0,000","-0,001","-0,002"
77,"1,000","-0,001","-0,001","-0,002","1,000","0,002","-0,001","-0,003","1,000","0,000","-0,001","-0,002","1,000","-0,002","0,000","-0,002","1,000","0,001","-0,002","-0,002","1,000","0,001","0,001","-0,003","1,000","0,000","-0,001","-0,002"
78,"1,000","-0,001","-0,001","-0,002","1,000","0,001","-0,001","-0,003","1,000","0,000","-0,002","-0,002","1,000","-0,001","0,000","-0,002","1,000","0,001","-0,001","-0,002","1,000","0,001","0,000","-0,003","1,000","-0,001","-0,001","-0,002"
79,"1,000","0,000","-0,001","-0,002","1,000","0,001","-0,001","-0,003","1,000","-0,001","-0,002","-0,002","1,000","-0,001","0,000","-0,002","1,000","0,001","-0,001","-0,002","1,000","0,001","0,000","-0,003","1,000","0,000","-0,001","-0,002"
80,"1,000","0,000","-0,002","-0,002","1,000","0,001","-0,001","-0,003","1,000","-0,001","-0,002","-0,002","1,000","-0,001","0,000","-0,002","1,000","0,001","-0,002","-0,002","1,000","0,001","0,000","-0,003","1,000","0,000","-0,001","-0,002"
81,"1,000","0,000","-0,001","-0,002","1,000","0,001","-0,001","-0,003","1,000","-0,001","-0,001","-0,002","1,000","-0,001","0,000","-0,002","1,000","0,001","-0,001","-0,002","1,000","0,001","0,000","-0,003","1,000","0,000","-0,001","-0,002"
