Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z
2718,"1,000","0,016","-0,015","-0,007","1,000","0,007","0,013","0,003","0,993","0,107","-0,051","0,004","1,000","0,015","-0,011","0,009","0,995","0,100","-0,007","0,009","0,982","0,189","-0,004","-0,020","0,999","-0,006","-0,049","0,022"
2719,"1,000","0,015","-0,014","-0,007","1,000","0,007","0,013","0,002","0,993","0,106","-0,051","0,004","1,000","0,014","-0,011","0,009","0,995","0,100","-0,007","0,010","0,982","0,190","-0,004","-0,020","0,999","-0,005","-0,048","0,023"
2720,"1,000","0,015","-0,014","-0,007","1,000","0,008","0,013","0,001","0,993","0,106","-0,050","0,003","1,000","0,013","-0,011","0,009","0,995","0,099","-0,007","0,012","0,981","0,191","-0,003","-0,020","0,999","-0,005","-0,049","0,023"
2721,"1,000","0,014","-0,013","-0,007","1,000","0,008","0,013","0,000","0,993","0,105","-0,050","0,003","1,000","0,013","-0,011","0,009","0,995","0,099","-0,007","0,013","0,981","0,191","-0,003","-0,020","0,998","-0,005","-0,049","0,024"
2722,"1,000","0,014","-0,012","-0,007","1,000","0,008","0,014","-0,002","0,993","0,105","-0,049","0,002","1,000","0,012","-0,012","0,009","0,995","0,098","-0,007","0,014","0,981","0,191","-0,003","-0,020","0,998","-0,004","-0,050","0,025"
2723,"1,000","0,014","-0,010","-0,007","1,000","0,007","0,015","-0,003","0,993","0,104","-0,049","0,001","1,000","0,012","-0,013","0,009","0,995","0,098","-0,007","0,015","0,981","0,190","-0,003","-0,020","0,998","-0,004","-0,051","0,025"
2724,"1,000","0,014","-0,009","-0,007","1,000","0,007","0,016","-0,004","0,993","0,104","-0,048","0,000","1,000","0,012","-0,014","0,010","0,995","0,098","-0,008","0,015","0,982","0,190","-0,003","-0,021","0,998","-0,004","-0,052","0,026"
2725,"1,000","0,014","-0,009","-0,007","1,000","0,007","0,018","-0,005","0,993","0,104","-0,047","-0,001","1,000","0,011","-0,015","0,010","0,995","0,097","-0,009","0,016","0,982","0,189","-0,003","-0,021","0,998","-0,003","-0,054","0,026"
2726,"1,000","0,013","-0,007","-0,007","1,000","0,007","0,019","-0,007","0,993","0,104","-0,046","-0,001","1,000","0,011","-0,016","0,009","0,995","0,097","-0,009","0,015","0,982","0,188","-0,003","-0,021","0,998","-0,003","-0,055","0,026"
2727,"1,000","0,012","-0,006","-0,007","1,000","0,008","0,021","-0,008","0,993","0,105","-0,046","-0,002","1,000","0,011","-0,016","0,009","0,995","0,097","-0,010","0,015","0,982","0,187","-0,003","-0,022","0,998","-0,003","-0,056","0,026"
2728,"1,000","0,011","-0,006","-0,007","1,000","0,008","0,022","-0,008","0,993","0,105","-0,045","-0,003","1,000","0,010","-0,017","0,009","0,995","0,097","-0,011","0,015","0,982","0,186","-0,003","-0,022","0,998","-0,003","-0,057","0,026"
