Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z
661,"0,998","0,046","-0,031","-0,012","0,717","-0,694","0,070","-0,004","0,987","0,110","-0,110","-0,030","0,999","0,036","0,004","0,010","0,992","0,116","0,041","0,022","0,999","-0,034","-0,030","-0,030","0,709","-0,702","0,064","-0,024"
662,"0,998","0,047","-0,031","-0,012","0,717","-0,693","0,070","-0,004","0,988","0,109","-0,110","-0,030","0,999","0,036","0,004","0,010","0,992","0,115","0,040","0,023","0,999","-0,032","-0,031","-0,032","0,710","-0,701","0,065","-0,025"
663,"0,998","0,047","-0,031","-0,012","0,718","-0,693","0,071","-0,004","0,988","0,108","-0,110","-0,030","0,999","0,036","0,003","0,010","0,993","0,113","0,040","0,022","0,998","-0,031","-0,031","-0,034","0,710","-0,700","0,065","-0,025"
664,"0,998","0,048","-0,032","-0,012","0,718","-0,692","0,072","-0,005","0,988","0,106","-0,110","-0,030","0,999","0,036","0,003","0,011","0,993","0,111","0,040","0,022","0,998","-0,030","-0,031","-0,035","0,711","-0,700","0,064","-0,025"
665,"0,998","0,048","-0,032","-0,012","0,719","-0,691","0,073","-0,007","0,988","0,105","-0,110","-0,030","0,999","0,036","0,002","0,011","0,993","0,109","0,040","0,022","0,998","-0,030","-0,031","-0,037","0,712","-0,699","0,063","-0,024"
666,"0,998","0,048","-0,032","-0,013","0,720","-0,690","0,075","-0,009","0,988","0,103","-0,109","-0,031","0,999","0,036","0,001","0,011","0,993","0,107","0,040","0,023","0,998","-0,029","-0,032","-0,039","0,713","-0,698","0,062","-0,023"
667,"0,998","0,048","-0,032","-0,013","0,721","-0,689","0,077","-0,011","0,988","0,102","-0,109","-0,032","0,999","0,035","0,001","0,011","0,993","0,105","0,041","0,024","0,998","-0,029","-0,032","-0,040","0,713","-0,698","0,062","-0,023"
668,"0,998","0,048","-0,032","-0,013","0,721","-0,688","0,078","-0,012","0,988","0,101","-0,109","-0,032","0,999","0,035","0,000","0,011","0,994","0,103","0,041","0,025","0,998","-0,029","-0,032","-0,042","0,714","-0,697","0,061","-0,022"
669,"0,998","0,048","-0,033","-0,013","0,722","-0,687","0,079","-0,013","0,989","0,100","-0,109","-0,032","0,999","0,035","-0,001","0,011","0,994","0,102","0,041","0,026","0,998","-0,029","-0,032","-0,043","0,715","-0,696","0,061","-0,021"
670,"0,998","0,049","-0,033","-0,013","0,723","-0,686","0,080","-0,014","0,989","0,099","-0,109","-0,032","0,999","0,034","-0,001","0,011","0,994","0,100","0,041","0,026","0,998","-0,029","-0,032","-0,045","0,715","-0,696","0,061","-0,021"
671,"0,998","0,049","-0,033","-0,013","0,723","-0,686","0,080","-0,014","0,989","0,098","-0,109","-0,032","0,999","0,034","-0,002","0,011","0,994","0,100","0,041","0,026","0,998","-0,030","-0,032","-0,046","0,716","-0,696","0,061","-0,021"
672,"0,998","0,049","-0,033","-0,013","0,724","-0,685","0,080","-0,015","0,989","0,097","-0,110","-0,033","0,999","0,034","-0,002","0,011","0,994","0,099","0,041","0,026","0,998","-0,031","-0,032","-0,047","0,716","-0,695","0,062","-0,021"
673,"0,998","0,049","-0,034","-0,013","0,725","-0,684","0,080","-0,015","0,989","0,096","-0,110","-0,034","0,999","0,033","-0,003","0,011","0,994","0,098","0,041","0,026","0,998","-0,032","-0,032","-0,047","0,717","-0,694","0,062","-0,021"
674,"0,998","0,049","-0,033","-0,013","0,726","-0,683","0,080","-0,016","0,989","0,096","-0,111","-0,035","0,999","0,033","-0,004","0,011","0,994","0,097","0,041","0,026","0,998","-0,034","-0,032","-0,048","0,717","-0,693","0,063","-0,022"
675,"0,998","0,048","-0,033","-0,013","0,727","-0,682","0,080","-0,016","0,989","0,095","-0,111","-0,036","0,999","0,033","-0,004","0,011","0,994","0,096","0,040","0,026","0,998","-0,035","-0,032","-0,048","0,719","-0,692","0,063","-0,023"
676,"0,998","0,048","-0,034","-0,013","0,728","-0,681","0,080","-0,017","0,989","0,095","-0,112","-0,037","0,999","0,033","-0,004","0,011","0,994","0,095","0,040","0,026","0,998","-0,037","-0,032","-0,048","0,721","-0,690","0,063","-0,024"
677,"0,998","0,048","-0,034","-0,013","0,729","-0,679","0,081","-0,018","0,989","0,094","-0,112","-0,038","0,999","0,033","-0,004","0,011","0,995","0,093","0,039","0,025","0,998","-0,040","-0,032","-0,048","0,723","-0,688","0,063","-0,024"
678,"0,998","0,047","-0,034","-0,013","0,731","-0,678","0,081","-0,018","0,989","0,094","-0,112","-0,039","0,999","0,032","-0,004","0,011","0,995","0,091","0,039","0,026","0,997","-0,042","-0,032","-0,048","0,725","-0,685","0,063","-0,024"
679,"0,998","0,047","-0,034","-0,013","0,732","-0,676","0,081","-0,019","0,989","0,094","-0,112","-0,039","0,999","0,032","-0,005","0,011","0,995","0,089","0,039","0,026","0,997","-0,044","-0,032","-0,048","0,728","-0,682","0,062","-0,023"
680,"0,998","0,047","-0,035","-0,013","0,735","-0,673","0,081","-0,019","0,989","0,093","-0,112","-0,039","0,999","0,032","-0,005","0,011","0,995","0,087","0,039","0,027","0,997","-0,047","-0,032","-0,048","0,731","-0,680","0,062","-0,023"
681,"0,998","0,046","-0,035","-0,013","0,737","-0,671","0,081","-0,020","0,989","0,093","-0,112","-0,039","0,999","0,032","-0,005","0,011","0,995","0,085","0,039","0,027","0,997","-0,050","-0,032","-0,048","0,734","-0,676","0,061","-0,023"
682,"0,998","0,047","-0,036","-0,013","0,739","-0,668","0,081","-0,020","0,989","0,092","-0,112","-0,039","0,999","0,032","-0,006","0,011","0,995","0,083","0,038","0,028","0,997","-0,053","-0,032","-0,048","0,737","-0,673","0,060","-0,023"
683,"0,998","0,047","-0,036","-0,013","0,742","-0,666","0,080","-0,020","0,989","0,092","-0,112","-0,039","0,999","0,032","-0,006","0,011","0,996","0,080","0,038","0,028","0,997","-0,057","-0,032","-0,047","0,741","-0,668","0,059","-0,024"
684,"0,998","0,047","-0,037","-0,013","0,745","-0,663","0,079","-0,019","0,989","0,092","-0,112","-0,038","0,999","0,032","-0,006","0,011","0,996","0,078","0,038","0,027","0,997","-0,061","-0,032","-0,047","0,746","-0,663","0,059","-0,025"
685,"0,998","0,047","-0,037","-0,013","0,748","-0,659","0,078","-0,018","0,989","0,091","-0,111","-0,037","0,999","0,032","-0,006","0,011","0,996","0,075","0,037","0,026","0,996","-0,066","-0,032","-0,046","0,751","-0,657","0,060","-0,026"
686,"0,998","0,047","-0,038","-0,013","0,751","-0,655","0,076","-0,017","0,989","0,090","-0,111","-0,036","0,999","0,032","-0,006","0,011","0,996","0,072","0,036","0,025","0,996","-0,071","-0,032","-0,045","0,757","-0,650","0,061","-0,028"
687,"0,998","0,047","-0,038","-0,012","0,756","-0,650","0,074","-0,014","0,989","0,088","-0,110","-0,035","0,999","0,032","-0,005","0,011","0,997","0,068","0,035","0,024","0,996","-0,076","-0,033","-0,045","0,763","-0,643","0,061","-0,029"
688,"0,998","0,048","-0,038","-0,012","0,762","-0,644","0,071","-0,011","0,990","0,087","-0,109","-0,035","0,999","0,031","-0,005","0,011","0,997","0,065","0,035","0,022","0,995","-0,081","-0,033","-0,044","0,768","-0,636","0,062","-0,031"
689,"0,998","0,047","-0,038","-0,012","0,768","-0,637","0,066","-0,007","0,990","0,084","-0,108","-0,035","0,999","0,031","-0,005","0,011","0,997","0,062","0,034","0,021","0,995","-0,085","-0,034","-0,044","0,774","-0,629","0,064","-0,033"
690,"0,998","0,047","-0,038","-0,012","0,776","-0,628","0,061","-0,002","0,990","0,082","-0,106","-0,035","0,999","0,032","-0,006","0,011","0,997","0,059","0,034","0,021","0,994","-0,090","-0,035","-0,044","0,780","-0,621","0,065","-0,036"
691,"0,998","0,047","-0,038","-0,012","0,783","-0,620","0,054","0,004","0,991","0,079","-0,105","-0,035","0,999","0,031","-0,006","0,011","0,998","0,056","0,033","0,020","0,994","-0,094","-0,035","-0,045","0,787","-0,612","0,067","-0,039"
692,"0,998","0,046","-0,038","-0,012","0,791","-0,610","0,047","0,011","0,991","0,075","-0,103","-0,035","0,999","0,031","-0,005","0,011","0,998","0,052","0,031","0,020","0,993","-0,100","-0,036","-0,045","0,793","-0,604","0,070","-0,043"
