Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z
92,"0,520","-0,291","0,037","-0,340","-0,182","0,055","0,783","0,227","-0,051","0,163","0,556","0,075","-0,195","-0,064","0,020","-0,643","-0,143","0,110","-1,049","-0,063","-0,097"
93,"0,523","-0,287","0,058","-0,342","-0,254","0,045","0,748","0,255","-0,062","0,174","0,615","0,076","-0,194","-0,109","0,035","-0,638","-0,177","0,113","-1,070","-0,008","-0,110"
94,"0,503","-0,322","0,078","-0,310","-0,296","0,034","0,794","0,299","-0,071","0,155","0,640","0,076","-0,223","-0,133","0,040","-0,637","-0,209","0,117","-1,067","0,054","-0,108"
95,"0,554","-0,369","0,093","-0,300","-0,293","0,028","0,810","0,287","-0,087","0,124","0,641","0,076","-0,211","-0,119","0,045","-0,619","-0,243","0,123","-1,026","0,105","-0,104"
96,"0,509","-0,383","0,109","-0,288","-0,279","0,024","0,748","0,238","-0,105","0,068","0,613","0,100","-0,210","-0,126","0,019","-0,576","-0,260","0,132","-0,950","0,130","-0,093"
97,"0,500","-0,351","0,126","-0,282","-0,237","0,014","0,739","0,186","-0,121","0,073","0,644","0,118","-0,197","-0,148","0,001","-0,535","-0,244","0,142","-0,868","0,114","-0,082"
98,"0,522","-0,281","0,157","-0,233","-0,194","0,017","0,752","0,125","-0,162","0,138","0,640","0,131","-0,120","-0,134","-0,008","-0,501","-0,224","0,153","-0,789","0,090","-0,076"
99,"0,465","-0,251","0,196","-0,249","-0,170","0,020","0,681","0,092","-0,210","0,163","0,677","0,132","-0,048","-0,149","0,005","-0,469","-0,202","0,164","-0,722","0,075","-0,080"
100,"0,461","-0,216","0,240","-0,252","-0,182","0,028","0,610","0,104","-0,266","0,148","0,706","0,130","-0,039","-0,205","0,028","-0,437","-0,184","0,173","-0,697","0,080","-0,090"
101,"0,431","-0,205","0,284","-0,211","-0,202","0,037","0,612","0,124","-0,322","0,189","0,706","0,136","-0,055","-0,240","0,042","-0,415","-0,209","0,179","-0,719","0,105","-0,102"
102,"0,368","-0,165","0,328","-0,185","-0,245","0,029","0,600","0,110","-0,360","0,178","0,647","0,141","-0,086","-0,223","0,051","-0,408","-0,241","0,185","-0,749","0,147","-0,107"
103,"0,304","-0,179","0,366","-0,211","-0,307","0,008","0,537","0,153","-0,381","0,129","0,678","0,137","-0,147","-0,200","0,060","-0,400","-0,272","0,192","-0,778","0,149","-0,104"
104,"0,306","-0,166","0,396","-0,207","-0,364","-0,011","0,525","0,198","-0,395","0,168","0,625","0,136","-0,156","-0,174","0,061","-0,409","-0,301","0,197","-0,820","0,176","-0,100"
105,"0,305","-0,171","0,417","-0,152","-0,338","-0,021","0,511","0,162","-0,409","0,137","0,619","0,124","-0,143","-0,182","0,072","-0,371","-0,302","0,201","-0,748","0,157","-0,096"
106,"0,277","-0,159","0,440","-0,132","-0,291","-0,026","0,490","0,092","-0,428","0,166","0,680","0,111","-0,117","-0,193","0,085","-0,336","-0,290","0,205","-0,690","0,120","-0,094"
107,"0,251","-0,120","0,463","-0,124","-0,257","-0,025","0,438","0,065","-0,452","0,187","0,681","0,122","-0,076","-0,249","0,081","-0,302","-0,285","0,208","-0,632","0,131","-0,099"
108,"0,283","-0,117","0,481","-0,128","-0,223","-0,025","0,424","0,083","-0,471","0,183","0,676","0,144","-0,053","-0,258","0,072","-0,276","-0,267","0,212","-0,603","0,145","-0,106"
109,"0,322","-0,177","0,486","-0,144","-0,159","-0,024","0,429","0,089","-0,481","0,145","0,712","0,163","-0,098","-0,291","0,063","-0,285","-0,234","0,217","-0,620","0,144","-0,109"
110,"0,393","-0,153","0,486","-0,147","-0,149","-0,027","0,434","0,069","-0,482","0,167","0,648","0,164","-0,060","-0,290","0,066","-0,256","-0,228","0,223","-0,573","0,161","-0,107"
111,"0,431","-0,173","0,491","-0,211","-0,138","-0,023","0,447","0,060","-0,493","0,115","0,629","0,150","-0,100","-0,234","0,087","-0,293","-0,215","0,227","-0,631","0,116","-0,108"
112,"0,435","-0,210","0,507","-0,272","-0,157","-0,010","0,455","0,086","-0,524","0,121","0,613","0,133","-0,164","-0,214","0,103","-0,327","-0,229","0,232","-0,699","0,121","-0,104"
113,"0,495","-0,193","0,531","-0,315","-0,192","-0,011","0,453","0,099","-0,550","0,131","0,609","0,134","-0,095","-0,225","0,098","-0,331","-0,262","0,238","-0,671","0,143","-0,093"
114,"0,495","-0,231","0,545","-0,369","-0,218","-0,031","0,446","0,118","-0,549","0,149","0,684","0,144","-0,064","-0,234","0,076","-0,349","-0,289","0,244","-0,676","0,141","-0,079"
115,"0,489","-0,253","0,552","-0,412","-0,273","-0,054","0,442","0,161","-0,540","0,208","0,730","0,158","-0,021","-0,238","0,061","-0,361","-0,317","0,250","-0,674","0,141","-0,075"
116,"0,547","-0,222","0,553","-0,469","-0,300","-0,064","0,423","0,136","-0,536","0,207","0,731","0,178","-0,017","-0,230","0,066","-0,376","-0,343","0,253","-0,724","0,146","-0,095"
117,"0,547","-0,170","0,556","-0,441","-0,346","-0,066","0,421","0,122","-0,541","0,187","0,724","0,198","-0,079","-0,240","0,073","-0,370","-0,376","0,257","-0,761","0,161","-0,118"
118,"0,485","-0,154","0,560","-0,375","-0,346","-0,060","0,417","0,088","-0,554","0,247","0,708","0,204","-0,055","-0,279","0,074","-0,327","-0,387","0,259","-0,733","0,203","-0,126"
119,"0,464","-0,105","0,570","-0,319","-0,318","-0,050","0,403","0,069","-0,577","0,249","0,755","0,208","-0,104","-0,331","0,070","-0,290","-0,365","0,262","-0,724","0,204","-0,125"
120,"0,400","-0,076","0,584","-0,259","-0,299","-0,036","0,389","0,062","-0,604","0,230","0,753","0,232","-0,165","-0,316","0,048","-0,249","-0,353","0,264","-0,711","0,170","-0,123"
121,"0,409","-0,137","0,592","-0,212","-0,258","-0,016","0,395","0,064","-0,630","0,208","0,713","0,248","-0,154","-0,293","0,023","-0,209","-0,345","0,264","-0,632","0,149","-0,122"
122,"0,399","-0,141","0,599","-0,215","-0,195","-0,006","0,346","0,014","-0,645","0,208","0,722","0,267","-0,129","-0,274","-0,009","-0,191","-0,315","0,265","-0,571","0,122","-0,117"
123,"0,333","-0,143","0,600","-0,228","-0,146","0,003","0,329","-0,005","-0,656","0,129","0,746","0,283","-0,135","-0,236","-0,030","-0,217","-0,295","0,268","-0,572","0,079","-0,113"
124,"0,381","-0,152","0,600","-0,179","-0,126","0,004","0,383","0,041","-0,660","0,102","0,739","0,297","-0,115","-0,179","-0,027","-0,203","-0,264","0,273","-0,562","0,008","-0,123"
125,"0,405","-0,217","0,598","-0,159","-0,129","-0,007","0,424","0,111","-0,653","0,171","0,741","0,291","-0,119","-0,178","-0,015","-0,207","-0,232","0,282","-0,603","-0,029","-0,133"
126,"0,402","-0,211","0,596","-0,179","-0,095","-0,018","0,427","0,085","-0,649","0,220","0,775","0,277","-0,106","-0,228","0,015","-0,203","-0,200","0,293","-0,610","-0,030","-0,143"
127,"0,444","-0,155","0,610","-0,249","-0,079","-0,020","0,427","0,063","-0,669","0,198","0,794","0,266","-0,117","-0,272","0,047","-0,240","-0,187","0,304","-0,676","-0,020","-0,151"
128,"0,518","-0,160","0,631","-0,302","-0,056","-0,015","0,446","0,016","-0,705","0,206","0,789","0,267","-0,141","-0,292","0,057","-0,273","-0,203","0,316","-0,754","-0,008","-0,154"
129,"0,525","-0,132","0,656","-0,359","-0,081","-0,018","0,457","0,039","-0,738","0,257","0,842","0,281","-0,144","-0,289","0,051","-0,302","-0,206","0,329","-0,802","-0,041","-0,155"
