Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z
204,"0,258","0,162","0,115","-0,312","-0,009","-0,091","0,095","0,050","-0,139","0,094","-0,076","-0,033","-0,318","0,066","-0,003","-0,120","0,083","0,242","-0,436","-0,216","0,031"
205,"0,232","0,189","0,114","-0,332","-0,052","-0,099","0,111","0,052","-0,134","0,092","-0,095","-0,033","-0,318","0,080","-0,004","-0,146","0,070","0,244","-0,428","-0,204","0,030"
206,"0,260","0,169","0,116","-0,332","-0,093","-0,108","0,163","0,063","-0,130","0,149","-0,118","-0,028","-0,261","0,103","-0,008","-0,171","0,051","0,245","-0,429","-0,209","0,030"
207,"0,272","0,175","0,119","-0,284","-0,137","-0,120","0,159","0,072","-0,127","0,089","-0,146","-0,025","-0,272","0,129","-0,011","-0,134","0,039","0,248","-0,369","-0,222","0,031"
208,"0,256","0,234","0,125","-0,308","-0,156","-0,133","0,156","0,083","-0,125","0,021","-0,140","-0,019","-0,271","0,145","-0,013","-0,160","0,055","0,251","-0,360","-0,242","0,032"
209,"0,260","0,232","0,136","-0,333","-0,200","-0,149","0,144","0,098","-0,127","-0,002","-0,146","-0,015","-0,235","0,186","-0,011","-0,191","0,044","0,254","-0,357","-0,235","0,033"
210,"0,275","0,178","0,149","-0,286","-0,224","-0,163","0,144","0,169","-0,131","-0,042","-0,155","-0,013","-0,290","0,148","-0,008","-0,154","0,049","0,256","-0,352","-0,225","0,032"
211,"0,226","0,159","0,163","-0,281","-0,211","-0,177","0,140","0,164","-0,134","-0,038","-0,182","-0,010","-0,280","0,167","-0,006","-0,157","0,016","0,257","-0,321","-0,185","0,030"
212,"0,243","0,099","0,174","-0,317","-0,143","-0,187","0,129","0,157","-0,134","-0,073","-0,199","-0,008","-0,266","0,165","-0,001","-0,184","0,033","0,255","-0,333","-0,162","0,022"
213,"0,226","0,093","0,173","-0,340","-0,109","-0,194","0,138","0,146","-0,125","-0,088","-0,220","-0,006","-0,222","0,161","0,004","-0,209","0,014","0,252","-0,334","-0,107","0,013"
214,"0,214","0,088","0,165","-0,302","-0,040","-0,202","0,133","0,138","-0,109","-0,098","-0,244","-0,009","-0,207","0,145","0,010","-0,177","0,032","0,251","-0,313","-0,085","0,006"
215,"0,199","0,083","0,156","-0,256","0,010","-0,205","0,128","0,134","-0,094","-0,072","-0,241","-0,013","-0,198","0,137","0,018","-0,141","0,035","0,248","-0,286","-0,047","-0,001"
216,"0,154","0,054","0,149","-0,235","0,083","-0,209","0,138","0,136","-0,082","-0,021","-0,256","-0,016","-0,190","0,131","0,021","-0,140","0,068","0,246","-0,296","-0,044","-0,003"
217,"0,100","0,031","0,145","-0,188","0,143","-0,213","0,139","0,131","-0,076","-0,001","-0,235","-0,017","-0,155","0,109","0,021","-0,112","0,087","0,247","-0,266","-0,032","-0,004"
218,"0,049","-0,010","0,143","-0,229","0,188","-0,216","0,113","0,125","-0,074","0,047","-0,279","-0,018","-0,159","0,115","0,020","-0,145","0,092","0,247","-0,313","-0,011","-0,003"
