Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z
99,"-0,414","0,118","-0,042","0,158","0,316","0,019","-0,180","-0,312","-0,021","0,139","0,293","0,212","-0,059","0,048","-0,147","-0,353","0,056","0,064","-0,129","-0,304","-0,074"
100,"-0,457","0,068","-0,033","0,223","0,353","0,011","-0,167","-0,318","-0,021","0,182","0,300","0,211","0,001","0,012","-0,148","-0,319","0,062","0,062","-0,051","-0,301","-0,074"
101,"-0,425","0,048","-0,029","0,301","0,345","-0,004","-0,092","-0,337","-0,009","0,189","0,277","0,213","0,068","0,035","-0,153","-0,285","0,052","0,062","0,017","-0,307","-0,070"
102,"-0,447","0,027","-0,030","0,295","0,273","-0,018","-0,083","-0,268","0,006","0,177","0,315","0,214","0,058","0,048","-0,154","-0,290","0,016","0,061","0,038","-0,296","-0,072"
103,"-0,426","0,030","-0,030","0,318","0,207","-0,021","-0,066","-0,270","0,011","0,220","0,307","0,214","0,090","0,112","-0,153","-0,279","-0,017","0,060","0,066","-0,298","-0,072"
104,"-0,366","0,054","-0,024","0,378","0,205","-0,014","-0,003","-0,284","0,000","0,227","0,313","0,211","0,093","0,113","-0,154","-0,248","-0,030","0,058","0,116","-0,316","-0,070"
105,"-0,380","-0,005","-0,017","0,408","0,253","-0,010","0,005","-0,286","-0,011","0,231","0,355","0,212","0,090","0,064","-0,159","-0,217","-0,016","0,058","0,168","-0,306","-0,065"
106,"-0,355","-0,015","-0,020","0,359","0,289","-0,014","-0,029","-0,253","-0,002","0,268","0,307","0,211","0,087","0,064","-0,158","-0,230","0,015","0,057","0,146","-0,304","-0,067"
107,"-0,407","-0,065","-0,030","0,289","0,306","-0,015","-0,094","-0,231","0,011","0,221","0,305","0,211","0,061","0,061","-0,149","-0,260","0,027","0,054","0,113","-0,285","-0,077"
108,"-0,403","-0,009","-0,038","0,275","0,378","-0,003","-0,119","-0,297","0,009","0,155","0,298","0,209","0,037","0,113","-0,143","-0,266","0,062","0,052","0,114","-0,357","-0,083"
