Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z
89,"0,002","0,274","0,323","-0,526","0,427","1,808","0,118","-0,009","-0,770","0,608","-0,332","0,439","-0,608","0,281","1,619","0,129","0,215","0,811","1,065","0,374","0,814"
90,"0,186","0,201","0,284","-0,765","0,487","1,230","-0,247","0,050","-0,796","-0,272","-0,038","0,087","-0,646","0,322","0,553","-0,232","0,176","0,563","0,273","0,615","1,443"
91,"0,042","0,462","0,262","-0,409","0,055","-0,083","-0,294","0,086","-1,048","-0,853","0,052","-0,076","-0,629","0,301","-0,188","-0,659","0,114","0,564","-0,581","0,423","1,606"
92,"-0,082","0,658","0,359","-0,179","-0,296","-0,182","-0,399","0,176","-1,369","-0,745","0,067","0,007","-0,022","0,445","-0,078","-1,143","0,265","0,346","-1,373","1,070","2,512"
93,"-0,143","0,534","0,301","-0,408","-0,448","-0,625","-0,437","0,011","-1,784","-0,610","-0,261","0,027","0,156","0,552","0,153","-1,631","0,143","0,355","-0,825","0,778","1,636"
94,"-0,055","0,065","0,250","-0,231","-0,162","-0,739","-0,379","0,078","-1,727","-0,692","-0,259","-0,137","-0,082","0,493","-0,151","-1,632","0,092","0,425","-1,131","0,134","0,322"
95,"0,166","0,147","0,100","-0,637","0,290","0,056","-0,210","-0,078","-1,456","-0,876","0,045","-0,223","0,042","0,171","-0,210","-1,575","0,000","0,626","-0,460","0,325","0,296"
96,"-0,111","-0,024","0,242","-1,086","0,355","0,467","-0,030","-0,253","-1,367","-0,428","-0,078","-0,063","-0,136","0,602","2,312","-1,335","-0,091","0,830","0,089","0,166","-0,306"
97,"-0,075","0,369","0,262","-1,439","-0,045","0,057","-0,027","-0,199","-1,434","-0,082","0,112","-0,053","-0,366","0,604","1,685","-1,033","-0,122","1,026","0,577","0,273","-0,087"
98,"0,111","0,536","0,354","-1,368","0,265","1,367","0,230","-0,454","-2,744","-0,102","-0,382","-0,024","-0,175","0,654","1,307","-0,608","-0,051","1,085","1,065","0,323","0,432"
