Index,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
78,"0,336","0,000","-0,016","-0,222","-0,117","-0,582","0,385","0,173","-0,030","-0,166","0,057","0,026","-0,017","-0,057","0,056","0,349","0,021","-0,079","0,234","-0,226","-0,005"
79,"0,351","-0,004","-0,019","-0,252","-0,137","-0,585","0,383","0,170","-0,029","-0,179","0,048","0,028","-0,034","-0,018","0,059","0,319","0,045","-0,080","0,186","-0,273","-0,006"
80,"0,365","0,051","-0,016","-0,227","-0,155","-0,587","0,407","0,196","-0,028","-0,167","0,033","0,030","0,034","-0,012","0,061","0,339","0,059","-0,085","0,203","-0,326","-0,005"
81,"0,385","0,085","-0,010","-0,205","-0,130","-0,590","0,378","0,182","-0,026","-0,158","-0,025","0,029","0,056","-0,004","0,060","0,406","0,077","-0,093","0,195","-0,320","-0,004"
82,"0,394","0,081","-0,005","-0,173","-0,129","-0,592","0,417","0,129","-0,023","-0,103","-0,052","0,027","0,048","0,004","0,062","0,429","0,114","-0,098","0,243","-0,290","-0,006"
83,"0,392","0,081","-0,003","-0,148","-0,146","-0,594","0,382","0,143","-0,018","-0,055","-0,059","0,024","0,073","-0,016","0,060","0,401","0,108","-0,101","0,239","-0,288","-0,009"
84,"0,420","0,079","-0,005","-0,128","-0,117","-0,597","0,339","0,094","-0,015","-0,022","-0,055","0,021","0,025","0,032","0,062","0,453","0,078","-0,100","0,247","-0,229","-0,010"
85,"0,367","0,037","-0,004","-0,124","-0,083","-0,597","0,297","0,045","-0,015","-0,038","-0,061","0,018","-0,023","0,082","0,064","0,446","0,118","-0,100","0,240","-0,162","-0,012"
86,"0,308","0,005","-0,003","-0,098","-0,063","-0,598","0,296","0,043","-0,020","-0,048","-0,075","0,016","-0,054","0,124","0,064","0,393","0,131","-0,100","0,300","-0,148","-0,007"
87,"0,240","0,011","-0,001","-0,133","-0,050","-0,599","0,364","0,043","-0,025","-0,117","-0,087","0,016","0,007","0,153","0,063","0,333","0,104","-0,104","0,300","-0,144","-0,002"
88,"0,171","0,035","0,000","-0,158","-0,022","-0,599","0,429","0,027","-0,028","-0,173","-0,132","0,020","0,066","0,128","0,063","0,328","0,113","-0,108","0,308","-0,097","0,001"
89,"0,166","0,073","-0,002","-0,149","0,011","-0,599","0,448","0,047","-0,028","-0,138","-0,185","0,025","0,072","0,116","0,060","0,330","0,087","-0,110","0,303","-0,095","0,004"
90,"0,223","0,090","-0,005","-0,186","0,006","-0,597","0,405","0,094","-0,026","-0,140","-0,171","0,031","0,070","0,053","0,055","0,320","0,076","-0,111","0,239","-0,116","0,005"
91,"0,253","0,106","-0,008","-0,153","0,006","-0,595","0,449","0,057","-0,021","-0,104","-0,204","0,036","0,107","0,071","0,050","0,337","0,057","-0,108","0,306","-0,110","0,002"
92,"0,208","0,142","-0,010","-0,122","-0,003","-0,593","0,445","0,057","-0,017","-0,082","-0,226","0,038","0,096","0,098","0,048","0,294","0,085","-0,106","0,307","-0,139","-0,002"
93,"0,219","0,206","-0,007","-0,139","-0,033","-0,590","0,423","0,113","-0,016","-0,104","-0,228","0,037","0,102","0,099","0,048","0,339","0,050","-0,103","0,265","-0,194","-0,006"
94,"0,191","0,212","-0,003","-0,120","-0,061","-0,586","0,386","0,121","-0,015","-0,092","-0,235","0,033","0,123","0,053","0,047","0,293","0,052","-0,099","0,256","-0,197","-0,011"
95,"0,202","0,237","0,002","-0,091","-0,051","-0,583","0,453","0,116","-0,011","-0,086","-0,271","0,027","0,146","0,093","0,044","0,287","0,054","-0,093","0,318","-0,189","-0,016"
96,"0,227","0,219","0,006","-0,118","-0,027","-0,581","0,446","0,103","-0,013","-0,118","-0,263","0,022","0,091","0,057","0,043","0,339","0,014","-0,089","0,317","-0,145","-0,015"
97,"0,197","0,201","0,006","-0,085","-0,026","-0,580","0,472","0,053","-0,015","-0,083","-0,230","0,019","0,094","0,052","0,040","0,277","0,013","-0,086","0,348","-0,111","-0,012"
98,"0,186","0,196","0,006","-0,053","-0,022","-0,579","0,419","0,073","-0,018","-0,041","-0,199","0,019","0,037","0,022","0,040","0,237","0,012","-0,084","0,352","-0,103","-0,008"
99,"0,141","0,164","0,002","-0,026","-0,041","-0,577","0,373","0,075","-0,023","-0,020","-0,145","0,024","0,003","0,011","0,042","0,173","-0,009","-0,084","0,361","-0,147","-0,005"
100,"0,125","0,094","-0,002","-0,056","-0,062","-0,576","0,362","0,075","-0,028","-0,053","-0,087","0,030","0,024","0,032","0,042","0,168","0,057","-0,087","0,329","-0,203","-0,001"
101,"0,124","0,059","-0,005","-0,025","-0,073","-0,576","0,416","0,120","-0,034","0,010","-0,056","0,035","0,081","0,013","0,041","0,169","0,064","-0,089","0,390","-0,237","0,006"
102,"0,155","0,071","-0,010","-0,059","-0,063","-0,574","0,428","0,093","-0,037","-0,016","-0,097","0,042","0,052","0,075","0,039","0,223","0,063","-0,090","0,392","-0,227","0,009"
103,"0,157","0,072","-0,016","-0,084","-0,037","-0,572","0,437","0,098","-0,035","-0,057","-0,150","0,047","0,046","0,083","0,036","0,246","0,056","-0,087","0,354","-0,235","0,007"
104,"0,218","0,106","-0,019","-0,061","-0,014","-0,571","0,420","0,085","-0,027","-0,002","-0,189","0,047","0,053","0,083","0,035","0,308","0,026","-0,084","0,345","-0,232","-0,003"
105,"0,255","0,141","-0,017","-0,086","-0,041","-0,571","0,415","0,092","-0,023","0,011","-0,162","0,044","0,103","0,099","0,039","0,339","0,015","-0,083","0,287","-0,255","-0,011"
106,"0,230","0,197","-0,012","-0,056","-0,028","-0,571","0,464","0,129","-0,023","0,014","-0,197","0,039","0,149","0,077","0,045","0,310","-0,007","-0,082","0,354","-0,251","-0,016"
107,"0,195","0,140","-0,010","-0,080","-0,058","-0,572","0,509","0,118","-0,028","-0,022","-0,138","0,031","0,199","0,036","0,050","0,307","-0,007","-0,078","0,352","-0,251","-0,015"
108,"0,199","0,145","-0,011","-0,104","-0,033","-0,572","0,481","0,129","-0,033","-0,012","-0,151","0,025","0,201","0,037","0,053","0,246","-0,020","-0,072","0,306","-0,204","-0,012"
109,"0,239","0,135","-0,013","-0,109","-0,067","-0,573","0,460","0,094","-0,039","0,000","-0,086","0,020","0,206","0,039","0,055","0,310","-0,050","-0,066","0,274","-0,239","-0,009"
110,"0,240","0,131","-0,012","-0,078","-0,065","-0,574","0,467","0,097","-0,043","0,062","-0,068","0,015","0,252","0,079","0,060","0,275","-0,030","-0,066","0,278","-0,247","-0,008"
111,"0,208","0,115","-0,015","-0,098","-0,035","-0,576","0,449","0,161","-0,050","0,038","-0,063","0,014","0,212","0,048","0,067","0,238","-0,018","-0,065","0,252","-0,251","-0,006"
112,"0,220","0,081","-0,019","-0,125","-0,012","-0,577","0,432","0,161","-0,057","-0,010","-0,059","0,016","0,167","0,084","0,073","0,281","0,027","-0,066","0,224","-0,263","-0,004"
