Index,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
807,"0,997","0,042","-0,039","-0,053","1,000","0,007","0,009","-0,002","0,998","0,044","0,014","0,038","0,736","-0,671","0,082","-0,041","0,999","0,051","0,002","-0,002","0,999","0,039","0,000","-0,007","0,754","-0,654","-0,041","0,054"
808,"0,997","0,041","-0,039","-0,055","1,000","-0,002","0,009","-0,002","0,998","0,042","0,014","0,039","0,740","-0,666","0,081","-0,043","0,999","0,051","0,001","-0,002","0,999","0,039","0,000","-0,007","0,759","-0,647","-0,042","0,056"
809,"0,997","0,040","-0,039","-0,057","1,000","-0,010","0,010","-0,001","0,998","0,039","0,014","0,040","0,744","-0,661","0,081","-0,045","0,999","0,052","0,001","-0,002","0,999","0,039","0,000","-0,007","0,764","-0,641","-0,044","0,059"
810,"0,997","0,039","-0,039","-0,058","1,000","-0,019","0,011","-0,001","0,998","0,036","0,013","0,041","0,749","-0,656","0,081","-0,047","0,999","0,052","0,000","-0,002","0,999","0,040","0,000","-0,007","0,770","-0,634","-0,046","0,061"
811,"0,997","0,038","-0,039","-0,060","1,000","-0,027","0,013","-0,001","0,999","0,032","0,013","0,042","0,754","-0,649","0,082","-0,049","0,999","0,053","0,000","-0,002","0,999","0,040","0,000","-0,007","0,776","-0,626","-0,047","0,062"
812,"0,997","0,037","-0,039","-0,061","0,999","-0,036","0,014","0,000","0,999","0,029","0,014","0,043","0,760","-0,643","0,083","-0,052","0,999","0,053","0,000","-0,002","0,999","0,040","0,001","-0,007","0,781","-0,619","-0,048","0,063"
813,"0,997","0,035","-0,039","-0,062","0,999","-0,045","0,015","0,000","0,999","0,025","0,014","0,044","0,766","-0,636","0,084","-0,055","0,999","0,054","-0,001","-0,002","0,999","0,041","0,000","-0,006","0,787","-0,612","-0,049","0,063"
814,"0,997","0,033","-0,039","-0,063","0,998","-0,054","0,017","0,001","0,999","0,021","0,015","0,045","0,772","-0,628","0,084","-0,057","0,999","0,054","-0,002","-0,002","0,999","0,041","0,000","-0,006","0,793","-0,604","-0,050","0,062"
815,"0,997","0,031","-0,039","-0,064","0,998","-0,064","0,018","0,002","0,999","0,018","0,015","0,045","0,778","-0,619","0,085","-0,060","0,998","0,055","-0,003","-0,002","0,999","0,041","-0,001","-0,006","0,798","-0,598","-0,050","0,061"
816,"0,997","0,028","-0,039","-0,065","0,997","-0,074","0,019","0,003","0,999","0,015","0,015","0,045","0,785","-0,610","0,085","-0,062","0,998","0,056","-0,004","-0,002","0,999","0,042","-0,002","-0,005","0,803","-0,591","-0,049","0,060"
