Index,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
1238,"-0,096","-0,893","0,616","-0,060","-0,132","0,982","-0,080","-0,071","0,998","0,019","0,391","0,924","0,016","-0,006","0,955","-0,351","-0,883","0,159","-0,037","-0,055","1,004"
1239,"-0,111","-0,895","0,606","-0,053","-0,131","0,986","-0,058","-0,073","1,001","-0,003","0,388","0,917","0,026","-0,010","0,946","-0,329","-0,881","0,161","-0,028","-0,064","1,011"
1240,"-0,106","-0,896","0,603","-0,040","-0,129","0,992","-0,062","-0,074","1,008","-0,020","0,389","0,916","0,038","-0,008","0,942","-0,308","-0,892","0,157","-0,036","-0,067","1,015"
1241,"-0,107","-0,893","0,600","-0,037","-0,125","1,002","-0,069","-0,071","1,013","-0,031","0,392","0,914","0,033","0,000","0,946","-0,300","-0,895","0,151","-0,049","-0,067","1,009"
1242,"-0,110","-0,892","0,598","-0,038","-0,128","1,005","-0,104","-0,043","0,998","-0,044","0,398","0,909","0,025","-0,006","0,939","-0,293","-0,893","0,127","-0,078","-0,069","1,024"
1243,"-0,104","-0,899","0,600","-0,034","-0,121","1,008","-0,151","-0,058","1,001","-0,041","0,393","0,910","-0,007","-0,006","0,944","-0,300","-0,907","0,123","-0,104","-0,068","1,013"
1244,"-0,105","-0,901","0,603","-0,042","-0,130","1,010","-0,150","-0,010","0,976","-0,042","0,388","0,913","0,006","-0,015","0,949","-0,302","-0,913","0,126","-0,125","-0,062","1,009"
1245,"-0,101","-0,910","0,611","-0,034","-0,128","0,998","-0,150","-0,024","0,992","-0,031","0,389","0,919","0,009","-0,010","0,950","-0,305","-0,929","0,132","-0,131","-0,056","1,006"
1246,"-0,094","-0,912","0,614","-0,033","-0,133","0,998","-0,124","-0,033","0,987","-0,016","0,403","0,928","0,009","-0,019","0,944","-0,302","-0,942","0,127","-0,130","-0,051","1,016"
1247,"-0,086","-0,926","0,623","-0,025","-0,140","0,998","-0,100","-0,004","0,998","-0,003","0,400","0,935","0,025","0,000","0,945","-0,304","-0,945","0,128","-0,112","-0,037","1,026"
