Index,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
1904,"-1,611","6,134","17,051","-0,531","0,176","1,013","-0,809","0,114","0,701","0,154","4,406","9,093","-0,934","0,022","0,786","-7,420","-15,303","1,271","0,133","1,117","-0,927"
1905,"-0,940","5,493","14,622","0,024","0,022","1,144","-0,847","-0,216","0,159","-0,442","4,716","9,637","-0,440","-1,293","0,819","-6,356","-14,603","1,220","-0,115","1,092","-0,962"
1906,"-0,453","4,390","10,934","0,348","-0,139","1,483","-0,968","-0,273","0,181","-0,643","4,212","9,028","-0,237","-1,606","0,866","-4,062","-11,386","0,722","-0,457","1,262","-0,678"
1907,"0,581","2,900","6,739","0,485","-0,254","1,759","-1,071","-0,254","0,498","-0,984","3,402","7,668","-0,163","-1,266","1,148","-2,624","-6,756","0,886","-0,610","1,304","-0,259"
1908,"1,798","1,129","1,607","0,797","-0,522","1,937","-1,103","-0,307","1,019","-0,734","2,427","5,438","-1,240","-1,181","1,461","-1,235","-1,705","-0,029","-0,625","1,575","0,294"
1909,"2,164","-0,034","-2,774","0,568","-0,631","2,234","-1,202","-0,449","1,441","-0,668","1,619","3,021","-1,293","-1,117","1,568","1,905","3,656","-0,912","-0,511","1,666","1,019"
1910,"3,075","-1,393","-5,913","-0,166","-0,929","2,299","-1,115","-0,520","1,896","-0,781","0,321","1,179","-0,595","-1,626","1,565","3,428","11,987","-1,779","-0,515","1,554","1,880"
1911,"3,015","-1,872","-8,271","-0,363","-1,049","2,091","-1,344","-0,513","2,161","-0,648","-0,647","-0,829","-0,422","-2,124","1,224","4,833","12,994","-2,005","-0,438","1,441","2,160"
1912,"3,501","-3,146","-11,895","-0,147","-1,222","1,681","-1,279","-0,617","2,247","-0,836","-1,798","-3,520","-0,366","-2,476","1,014","7,213","16,974","-1,909","-0,260","1,112","2,204"
1913,"3,799","-5,383","-16,725","-0,253","-1,117","0,900","-1,294","-0,855","2,058","-1,441","-2,796","-5,784","-0,482","-2,377","0,516","6,775","19,463","-2,051","-0,497","0,996","2,369"
1914,"2,947","-5,482","-18,247","-0,394","-1,018","0,566","-1,309","-0,740","1,776","-1,182","-3,311","-7,891","-0,753","-1,658","-0,017","7,000","16,098","-2,058","-0,200","0,819","2,308"
1915,"2,890","-4,277","-15,507","-0,546","-0,672","-0,023","-1,262","-1,049","0,591","-1,983","-3,063","-8,491","-0,442","-0,827","-0,812","6,923","15,696","-2,232","0,216","0,743","2,175"
1916,"3,193","-3,816","-13,013","-1,064","-0,378","-0,575","-1,185","-1,176","-0,138","-2,947","-2,321","-8,390","-0,951","-0,764","-0,964","6,053","14,541","-2,198","0,494","0,490","1,876"
1917,"2,766","-3,695","-12,342","-1,345","0,056","-1,307","-1,298","-1,212","-1,005","-2,689","-1,973","-7,896","-1,793","-0,581","-1,321","5,710","11,827","-1,854","0,417","-0,055","0,998"
1918,"2,888","-3,792","-12,956","-1,075","0,321","-1,965","-1,335","-1,071","-1,671","-1,996","-1,270","-7,217","-1,390","-0,443","-1,515","4,698","10,314","-1,960","0,259","-0,913","-0,039"
1919,"2,280","-3,315","-12,027","-0,927","0,411","-2,568","-1,235","-0,811","-2,124","-1,928","-1,394","-6,758","-0,395","-0,209","-1,886","3,932","7,812","-1,835","-0,017","-1,685","-1,047"
1920,"2,160","-2,401","-9,375","-0,524","0,544","-3,010","-1,224","-0,411","-2,040","-2,108","-1,870","-6,269","-1,145","-0,040","-1,947","3,342","7,571","-1,899","0,341","-2,178","-1,852"
1921,"2,099","-1,876","-7,423","-0,235","0,593","-3,295","-1,144","0,137","-1,872","-2,151","-1,911","-5,269","-1,678","0,952","-1,909","3,300","7,225","-1,422","0,149","-2,499","-2,715"
1922,"1,914","-2,068","-7,418","-0,136","0,320","-3,608","-1,122","0,642","-1,626","-2,625","-1,603","-4,726","-1,489","1,551","-1,587","3,451","7,629","-1,544","-0,308","-2,974","-3,819"
1923,"1,853","-2,522","-9,005","-0,209","0,097","-3,733","-0,795","1,084","-1,383","-2,521","-2,012","-5,411","-1,671","1,863","-1,415","4,256","7,584","-1,239","-0,372","-3,714","-4,434"
1924,"1,670","-3,003","-10,842","-0,167","-0,455","-3,903","-0,525","1,541","-1,077","-2,005","-2,627","-6,708","-1,649","2,066","-1,111","4,586","8,324","-1,124","-0,160","-3,997","-4,781"
1925,"1,306","-3,018","-11,421","-0,121","-0,872","-4,047","-0,437","1,873","-1,737","-1,373","-3,171","-8,432","-1,066","2,297","-1,306","4,665","7,128","-1,604","-0,388","-3,998","-4,545"
1926,"0,758","-2,767","-10,928","-0,129","-0,963","-4,148","-0,174","2,172","-2,526","-0,864","-3,813","-10,083","-0,370","2,348","-1,682","4,166","7,097","-1,656","-0,390","-3,923","-3,728"
1927,"0,697","-2,101","-8,769","-0,616","-1,131","-4,071","0,234","2,501","-2,953","-0,748","-3,805","-10,390","-0,244","2,981","-1,966","3,404","6,560","-1,451","-0,302","-3,469","-2,650"
