Index,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
223,"0,124","-0,363","0,011","-0,511","-0,119","-0,234","-0,030","-0,031","-0,038","-0,143","0,202","-0,095","-0,511","0,026","0,040","-0,255","0,258","0,073","-0,035","-0,036","0,043"
224,"0,118","-0,298","0,008","-0,544","-0,111","-0,232","-0,017","0,005","-0,036","-0,167","0,162","-0,093","-0,501","0,043","0,041","-0,261","0,193","0,074","-0,092","-0,059","0,039"
225,"0,104","-0,231","0,005","-0,549","-0,145","-0,231","-0,025","0,001","-0,032","-0,181","0,163","-0,089","-0,471","0,038","0,039","-0,289","0,134","0,076","-0,125","-0,118","0,035"
226,"0,090","-0,260","0,002","-0,580","-0,153","-0,229","-0,078","-0,028","-0,034","-0,250","0,175","-0,085","-0,456","0,052","0,038","-0,241","0,136","0,077","-0,194","-0,128","0,036"
227,"0,127","-0,277","-0,003","-0,566","-0,119","-0,228","-0,066","-0,044","-0,037","-0,208","0,128","-0,079","-0,410","0,011","0,039","-0,223","0,201","0,077","-0,203","-0,071","0,037"
228,"0,194","-0,276","-0,001","-0,531","-0,115","-0,226","-0,047","-0,019","-0,041","-0,137","0,137","-0,079","-0,452","0,004","0,039","-0,176","0,156","0,076","-0,134","-0,063","0,038"
229,"0,244","-0,256","0,004","-0,564","-0,122","-0,225","-0,011","0,022","-0,042","-0,137","0,158","-0,080","-0,392","-0,026","0,038","-0,171","0,093","0,073","-0,164","-0,103","0,038"
230,"0,187","-0,263","0,007","-0,597","-0,121","-0,224","-0,061","0,020","-0,042","-0,199","0,145","-0,080","-0,384","-0,055","0,033","-0,167","0,100","0,071","-0,224","-0,075","0,041"
231,"0,231","-0,312","0,008","-0,564","-0,136","-0,222","-0,090","-0,006","-0,039","-0,144","0,184","-0,081","-0,368","0,011","0,031","-0,172","0,150","0,071","-0,226","-0,099","0,039"
232,"0,173","-0,278","0,006","-0,596","-0,131","-0,220","-0,119","-0,013","-0,040","-0,216","0,176","-0,080","-0,419","-0,035","0,030","-0,194","0,155","0,073","-0,265","-0,061","0,038"
233,"0,177","-0,278","0,000","-0,562","-0,142","-0,219","-0,154","0,032","-0,038","-0,182","0,221","-0,074","-0,425","-0,070","0,030","-0,215","0,099","0,075","-0,236","-0,106","0,035"
234,"0,174","-0,271","-0,005","-0,540","-0,172","-0,218","-0,135","0,078","-0,040","-0,131","0,251","-0,068","-0,419","-0,104","0,031","-0,283","0,081","0,075","-0,228","-0,171","0,035"
235,"0,173","-0,239","-0,009","-0,503","-0,174","-0,218","-0,103","0,098","-0,039","-0,067","0,240","-0,063","-0,380","-0,144","0,029","-0,279","0,079","0,072","-0,165","-0,160","0,035"
236,"0,135","-0,221","-0,012","-0,534","-0,162","-0,217","-0,139","0,080","-0,038","-0,106","0,196","-0,056","-0,348","-0,103","0,028","-0,344","0,088","0,069","-0,229","-0,166","0,033"
237,"0,164","-0,228","-0,012","-0,502","-0,141","-0,217","-0,138","0,082","-0,040","-0,054","0,149","-0,056","-0,354","-0,044","0,029","-0,326","0,088","0,068","-0,176","-0,173","0,034"
238,"0,170","-0,236","-0,010","-0,504","-0,106","-0,218","-0,113","0,060","-0,043","-0,025","0,102","-0,060","-0,329","-0,024","0,031","-0,345","0,143","0,068","-0,145","-0,151","0,037"
239,"0,230","-0,210","-0,003","-0,473","-0,089","-0,218","-0,078","0,071","-0,047","0,042","0,087","-0,067","-0,317","-0,024","0,033","-0,322","0,080","0,068","-0,088","-0,111","0,038"
240,"0,190","-0,229","0,005","-0,504","-0,104","-0,219","-0,016","0,072","-0,046","-0,021","0,089","-0,075","-0,273","-0,042","0,032","-0,342","0,143","0,068","-0,089","-0,141","0,039"
241,"0,193","-0,267","0,008","-0,501","-0,070","-0,220","-0,047","0,069","-0,043","-0,047","0,076","-0,078","-0,307","-0,039","0,031","-0,289","0,134","0,067","-0,104","-0,136","0,038"
