Index,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
1298,"0,171","0,056","1,011","0,064","-0,025","1,006","0,138","-0,927","0,389","0,149","0,088","1,030","0,471","-0,899","0,026","0,042","0,008","0,958","-0,062","0,461","0,881"
1299,"0,173","0,071","1,005","0,060","-0,022","1,009","0,139","-0,929","0,395","0,160","0,087","1,032","0,475","-0,912","0,024","0,048","0,005","0,962","-0,066","0,455","0,884"
1300,"0,194","0,044","1,006","0,052","-0,022","1,004","0,138","-0,926","0,397","0,171","0,080","1,038","0,475","-0,910","0,018","0,053","0,005","0,961","-0,069","0,460","0,888"
1301,"0,179","0,052","1,009","0,051","-0,021","1,010","0,143","-0,932","0,398","0,186","0,077","1,040","0,472","-0,913","0,014","0,043","0,006","0,957","-0,072","0,457","0,892"
1302,"0,177","0,047","1,018","0,047","-0,024","1,009","0,139","-0,932","0,402","0,188","0,084","1,047","0,472","-0,911","0,022","0,041","0,004","0,950","-0,065","0,464","0,893"
1303,"0,165","0,054","1,022","0,046","-0,027","1,006","0,141","-0,938","0,402","0,184","0,083","1,053","0,468","-0,926","0,025","0,032","0,007","0,956","-0,064","0,465","0,890"
1304,"0,158","0,052","1,016","0,057","-0,029","1,007","0,137","-0,938","0,407","0,162","0,078","1,039","0,473","-0,936","0,016","0,028","0,010","0,956","-0,069","0,467","0,891"
1305,"0,158","0,055","1,014","0,061","-0,022","1,008","0,136","-0,936","0,400","0,148","0,085","1,037","0,465","-0,930","0,014","0,027","0,014","0,954","-0,067","0,464","0,891"
1306,"0,168","0,062","1,016","0,059","-0,027","1,009","0,130","-0,937","0,403","0,153","0,083","1,045","0,461","-0,933","0,010","0,036","0,007","0,957","-0,068","0,461","0,889"
1307,"0,168","0,067","1,006","0,067","-0,025","1,013","0,130","-0,948","0,403","0,154","0,086","1,032","0,463","-0,944","0,015","0,036","0,013","0,960","-0,071","0,457","0,889"
1308,"0,174","0,055","1,004","0,065","-0,025","1,006","0,128","-0,942","0,402","0,152","0,085","1,030","0,460","-0,949","0,005","0,044","0,010","0,955","-0,073","0,455","0,886"
1309,"0,177","0,064","1,007","0,056","-0,028","1,007","0,127","-0,947","0,400","0,163","0,093","1,042","0,459","-0,948","0,001","0,032","0,006","0,961","-0,071","0,457","0,888"
1310,"0,184","0,075","1,010","0,058","-0,030","1,003","0,131","-0,943","0,400","0,171","0,093","1,042","0,460","-0,946","0,004","0,042","0,005","0,954","-0,069","0,463","0,885"
1311,"0,175","0,069","1,011","0,051","-0,028","1,004","0,127","-0,941","0,395","0,165","0,092","1,037","0,457","-0,938","0,007","0,034","0,015","0,964","-0,066","0,458","0,885"
1312,"0,170","0,065","1,005","0,053","-0,031","1,004","0,123","-0,937","0,394","0,162","0,096","1,039","0,449","-0,931","-0,002","0,031","0,007","0,949","-0,068","0,456","0,891"
1313,"0,157","0,068","1,005","0,056","-0,029","1,008","0,125","-0,935","0,397","0,168","0,102","1,039","0,445","-0,929","0,007","0,029","0,014","0,959","-0,065","0,453","0,895"
1314,"0,159","0,066","1,011","0,056","-0,032","1,004","0,123","-0,936","0,391","0,162","0,105","1,039","0,440","-0,929","0,005","0,031","0,015","0,954","-0,065","0,459","0,892"
1315,"0,162","0,059","1,012","0,061","-0,023","1,008","0,122","-0,936","0,390","0,152","0,095","1,042","0,438","-0,926","0,011","0,026","0,018","0,956","-0,071","0,457","0,894"
1316,"0,159","0,055","1,017","0,063","-0,031","1,006","0,122","-0,935","0,396","0,147","0,095","1,039","0,445","-0,924","0,010","0,014","0,016","0,950","-0,076","0,464","0,889"
1317,"0,146","0,050","1,018","0,062","-0,030","1,011","0,119","-0,942","0,399","0,143","0,095","1,040","0,448","-0,922","0,019","0,020","0,016","0,960","-0,079","0,450","0,896"
1318,"0,153","0,078","1,007","0,058","-0,028","1,009","0,119","-0,934","0,394","0,153","0,090","1,042","0,450","-0,922","0,013","0,026","0,014","0,963","-0,074","0,454","0,885"
1319,"0,178","0,067","1,011","0,060","-0,026","1,008","0,123","-0,935","0,397","0,156","0,083","1,034","0,437","-0,927","0,006","0,036","0,011","0,962","-0,075","0,456","0,885"
1320,"0,194","0,067","1,006","0,059","-0,025","1,007","0,119","-0,934","0,398","0,167","0,080","1,031","0,433","-0,928","0,006","0,046","0,005","0,956","-0,073","0,459","0,890"
1321,"0,187","0,062","1,005","0,052","-0,023","1,005","0,119","-0,935","0,395","0,180","0,085","1,037","0,437","-0,933","0,011","0,037","0,010","0,967","-0,069","0,461","0,891"
1322,"0,182","0,072","1,003","0,052","-0,030","1,001","0,126","-0,939","0,398","0,186","0,089","1,046","0,443","-0,926","0,014","0,029","0,014","0,950","-0,064","0,460","0,892"
1323,"0,164","0,060","1,014","0,051","-0,032","1,004","0,125","-0,938","0,397","0,180","0,092","1,041","0,451","-0,933","0,010","0,027","0,008","0,953","-0,065","0,457","0,889"
1324,"0,161","0,084","0,994","0,057","-0,032","0,999","0,128","-0,932","0,397","0,155","0,093","1,041","0,458","-0,923","0,010","0,021","0,018","0,958","-0,073","0,456","0,889"
1325,"0,153","0,066","1,013","0,059","-0,029","1,001","0,128","-0,944","0,398","0,150","0,095","1,046","0,455","-0,921","0,012","0,026","0,013","0,952","-0,064","0,459","0,886"
1326,"0,158","0,054","1,020","0,058","-0,034","1,005","0,126","-0,929","0,396","0,141","0,101","1,035","0,444","-0,922","0,015","0,026","0,017","0,959","-0,068","0,461","0,883"
1327,"0,148","0,062","1,011","0,063","-0,031","1,006","0,124","-0,928","0,398","0,145","0,103","1,039","0,439","-0,927","0,012","0,023","0,016","0,954","-0,073","0,459","0,885"
1328,"0,153","0,059","1,018","0,062","-0,030","1,006","0,125","-0,928","0,402","0,141","0,097","1,039","0,440","-0,920","0,016","0,019","0,018","0,956","-0,075","0,462","0,887"
1329,"0,157","0,077","1,006","0,060","-0,026","1,003","0,118","-0,933","0,402","0,144","0,098","1,046","0,448","-0,916","0,027","0,020","0,014","0,953","-0,076","0,462","0,886"
1330,"0,162","0,060","1,021","0,061","-0,027","1,011","0,119","-0,936","0,405","0,146","0,097","1,049","0,453","-0,921","0,027","0,029","0,012","0,952","-0,075","0,461","0,885"
1331,"0,156","0,046","1,023","0,061","-0,017","1,011","0,121","-0,936","0,405","0,150","0,096","1,044","0,451","-0,921","0,021","0,023","0,012","0,951","-0,074","0,463","0,891"
1332,"0,146","0,047","1,011","0,057","-0,028","1,011","0,121","-0,937","0,406","0,157","0,094","1,041","0,446","-0,928","0,014","0,016","0,012","0,950","-0,075","0,466","0,895"
1333,"0,128","0,024","1,028","0,061","-0,016","1,014","0,119","-0,938","0,406","0,155","0,099","1,052","0,443","-0,932","0,016","0,016","0,008","0,950","-0,076","0,464","0,898"
1334,"0,127","0,052","1,020","0,064","-0,024","1,018","0,125","-0,939","0,404","0,143","0,106","1,048","0,442","-0,927","0,022","0,020","0,008","0,950","-0,078","0,468","0,892"
1335,"0,156","0,059","1,020","0,067","-0,021","1,015","0,115","-0,938","0,408","0,136","0,104","1,046","0,441","-0,933","0,017","0,029","0,012","0,958","-0,084","0,470","0,885"
1336,"0,177","0,069","1,002","0,076","-0,022","1,016","0,119","-0,940","0,404","0,151","0,091","1,040","0,448","-0,927","0,023","0,044","0,004","0,960","-0,082","0,461","0,886"
1337,"0,200","0,072","1,007","0,076","-0,022","1,012","0,118","-0,938","0,411","0,169","0,088","1,038","0,446","-0,926","0,023","0,045","0,006","0,958","-0,087","0,464","0,885"
1338,"0,195","0,076","1,003","0,074","-0,017","1,010","0,120","-0,929","0,407","0,186","0,098","1,036","0,443","-0,919","0,026","0,054","0,000","0,957","-0,085","0,470","0,885"
1339,"0,184","0,063","1,006","0,067","-0,020","1,007","0,124","-0,924","0,416","0,191","0,101","1,035","0,443","-0,918","0,036","0,062","0,003","0,965","-0,080","0,469","0,887"
1340,"0,177","0,059","1,007","0,066","-0,018","1,003","0,125","-0,923","0,408","0,181","0,094","1,032","0,448","-0,915","0,042","0,062","0,000","0,960","-0,078","0,467","0,885"
1341,"0,186","0,053","1,005","0,061","-0,012","0,999","0,136","-0,930","0,418","0,180","0,091","1,025","0,448","-0,914","0,034","0,071","-0,005","0,957","-0,069","0,473","0,882"
1342,"0,194","0,046","1,010","0,062","-0,024","0,992","0,132","-0,919","0,414","0,182","0,085","1,028","0,447","-0,916","0,035","0,076","-0,004","0,954","-0,062","0,467","0,885"
1343,"0,197","0,041","1,017","0,065","-0,019","0,994","0,138","-0,913","0,422","0,178","0,074","1,034","0,459","-0,917","0,042","0,074","-0,008","0,957","-0,056","0,469","0,880"
1344,"0,178","0,060","1,001","0,062","-0,017","0,995","0,140","-0,915","0,423","0,183","0,079","1,031","0,461","-0,917","0,045","0,079","-0,005","0,961","-0,052","0,473","0,878"
1345,"0,196","0,089","0,994","0,061","-0,022","0,999","0,135","-0,912","0,423","0,185","0,072","1,025","0,465","-0,915","0,047","0,092","-0,001","0,959","-0,048","0,470","0,876"
1346,"0,199","0,062","1,000","0,058","-0,020","0,994","0,139","-0,917","0,422","0,194","0,082","1,025","0,461","-0,905","0,043","0,081","-0,005","0,962","-0,046","0,475","0,875"
1347,"0,208","0,060","0,995","0,058","-0,026","0,992","0,140","-0,916","0,420","0,196","0,096","1,027","0,453","-0,914","0,048","0,080","-0,008","0,952","-0,050","0,472","0,876"
