Index,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
73,"0,346","-0,175","0,056","0,038","-0,190","-0,278","-0,260","0,305","0,022","0,392","0,095","-0,022","-0,507","-0,589","-0,072","0,084","0,241","-0,071","0,253","-0,283","0,028"
74,"0,339","-0,130","0,055","0,040","-0,223","-0,281","-0,204","0,270","0,018","0,366","0,114","-0,016","-0,458","-0,542","-0,076","0,105","0,183","-0,082","0,275","-0,285","0,033"
75,"0,409","-0,132","0,055","0,006","-0,213","-0,285","-0,136","0,253","0,015","0,367","0,110","-0,011","-0,435","-0,490","-0,080","0,139","0,217","-0,092","0,276","-0,274","0,040"
76,"0,416","-0,108","0,052","-0,027","-0,214","-0,290","-0,087","0,208","0,013","0,305","0,095","-0,006","-0,384","-0,448","-0,085","0,156","0,240","-0,099","0,276","-0,261","0,049"
77,"0,468","-0,069","0,052","-0,061","-0,212","-0,296","-0,065","0,184","0,013","0,289","0,064","-0,008","-0,353","-0,418","-0,086","0,208","0,260","-0,103","0,229","-0,228","0,055"
78,"0,407","-0,039","0,050","-0,091","-0,196","-0,303","-0,109","0,229","0,004","0,225","0,034","-0,014","-0,395","-0,417","-0,081","0,210","0,223","-0,100","0,175","-0,232","0,064"
79,"0,379","0,023","0,047","-0,103","-0,164","-0,307","-0,091","0,230","-0,001","0,203","-0,032","-0,017","-0,404","-0,474","-0,080","0,210","0,163","-0,097","0,170","-0,166","0,069"
80,"0,320","-0,012","0,048","-0,104","-0,129","-0,314","-0,039","0,249","-0,001","0,168","-0,053","-0,023","-0,348","-0,422","-0,080","0,186","0,152","-0,099","0,184","-0,163","0,073"
81,"0,319","-0,015","0,051","-0,109","-0,096","-0,321","-0,006","0,275","-0,004","0,132","-0,099","-0,027","-0,313","-0,379","-0,080","0,223","0,204","-0,106","0,172","-0,161","0,079"
82,"0,310","-0,025","0,051","-0,098","-0,066","-0,327","-0,003","0,243","-0,002","0,113","-0,145","-0,027","-0,309","-0,372","-0,082","0,248","0,197","-0,113","0,153","-0,117","0,082"
83,"0,322","-0,047","0,053","-0,070","-0,045","-0,333","0,051","0,255","0,007","0,117","-0,140","-0,029","-0,254","-0,320","-0,085","0,257","0,214","-0,120","0,201","-0,126","0,077"
84,"0,322","-0,015","0,060","-0,099","-0,029","-0,337","0,085","0,200","0,011","0,053","-0,171","-0,033","-0,225","-0,265","-0,082","0,292","0,236","-0,126","0,177","-0,075","0,074"
85,"0,319","0,049","0,067","-0,093","0,005","-0,341","0,092","0,153","0,008","0,039","-0,238","-0,037","-0,191","-0,214","-0,075","0,277","0,201","-0,130","0,163","-0,013","0,075"
86,"0,262","0,013","0,068","-0,129","0,005","-0,344","0,121","0,096","0,002","-0,026","-0,217","-0,039","-0,160","-0,161","-0,066","0,216","0,219","-0,131","0,132","0,021","0,079"
87,"0,260","-0,055","0,062","-0,097","-0,005","-0,347","0,103","0,084","-0,006","0,010","-0,173","-0,036","-0,209","-0,214","-0,060","0,176","0,260","-0,131","0,174","0,044","0,085"
88,"0,276","-0,016","0,053","-0,083","-0,036","-0,348","0,168","0,079","-0,011","0,008","-0,172","-0,030","-0,167","-0,189","-0,059","0,186","0,272","-0,126","0,217","0,028","0,088"
89,"0,283","-0,030","0,045","-0,072","-0,069","-0,348","0,134","0,051","-0,008","0,050","-0,154","-0,025","-0,163","-0,120","-0,062","0,168","0,263","-0,124","0,194","-0,008","0,087"
90,"0,235","0,017","0,040","-0,044","-0,045","-0,348","0,151","0,063","0,004","0,061","-0,209","-0,020","-0,162","-0,124","-0,065","0,165","0,266","-0,122","0,213","-0,019","0,079"
91,"0,253","0,024","0,039","-0,032","-0,014","-0,346","0,203","0,062","0,009","0,069","-0,274","-0,016","-0,156","-0,124","-0,065","0,215","0,310","-0,121","0,249","-0,009","0,072"
92,"0,254","0,024","0,048","-0,049","0,014","-0,344","0,161","0,024","0,007","0,016","-0,316","-0,020","-0,160","-0,098","-0,063","0,250","0,284","-0,123","0,219","0,054","0,069"
93,"0,259","0,030","0,055","-0,010","0,014","-0,340","0,178","0,003","0,000","0,024","-0,335","-0,024","-0,104","-0,085","-0,057","0,277","0,329","-0,124","0,239","0,086","0,069"
94,"0,205","-0,003","0,062","0,026","-0,001","-0,335","0,153","-0,007","-0,003","0,036","-0,297","-0,030","-0,135","-0,149","-0,055","0,254","0,302","-0,119","0,274","0,107","0,068"
