Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
3734,"-0,890","-1,266","1,796","1,976","-2,251","-0,727","0,217","0,101","-0,856","-1,058","-0,147","1,729","1,789","2,013","0,392","-0,176","0,248","-0,065","-0,499","-0,999","0,077"
3735,"-0,884","-1,249","1,796","2,018","-2,269","-0,727","0,218","0,110","-0,852","-1,017","-0,109","1,730","1,795","1,967","0,383","-0,183","0,265","-0,055","-0,470","-0,992","0,078"
3736,"-0,907","-1,264","1,794","2,062","-2,314","-0,728","0,191","0,147","-0,848","-1,018","-0,117","1,731","1,791","2,031","0,381","-0,197","0,203","-0,050","-0,504","-1,013","0,077"
3737,"-0,919","-1,222","1,795","2,109","-2,331","-0,726","0,195","0,163","-0,847","-0,988","-0,116","1,731","1,756","2,048","0,377","-0,239","0,175","-0,048","-0,488","-1,040","0,077"
3738,"-0,927","-1,189","1,795","2,104","-2,305","-0,721","0,193","0,125","-0,849","-1,057","-0,136","1,730","1,813","2,008","0,379","-0,247","0,198","-0,045","-0,527","-1,053","0,076"
3739,"-0,913","-1,176","1,794","2,092","-2,282","-0,717","0,206","0,066","-0,850","-1,111","-0,162","1,730","1,865","1,995","0,380","-0,255","0,246","-0,040","-0,547","-1,081","0,076"
3740,"-0,938","-1,205","1,791","2,079","-2,290","-0,719","0,179","0,076","-0,847","-1,137","-0,131","1,734","1,895","2,054","0,385","-0,236","0,253","-0,038","-0,586","-1,081","0,074"
3741,"-0,947","-1,249","1,789","2,075","-2,269","-0,720","0,180","0,088","-0,846","-1,142","-0,121","1,739","1,943","2,052","0,388","-0,205","0,313","-0,039","-0,621","-1,059","0,072"
3742,"-0,964","-1,277","1,789","2,113","-2,256","-0,720","0,211","0,087","-0,848","-1,157","-0,097","1,741","1,932","2,094","0,393","-0,264","0,312","-0,042","-0,660","-1,057","0,071"
3743,"-0,923","-1,314","1,791","2,099","-2,239","-0,716","0,148","0,077","-0,851","-1,124","-0,078","1,743","1,928","2,108","0,398","-0,261","0,304","-0,050","-0,649","-1,024","0,071"
