Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
1101,"1,977","-12,846","-1,110","4,277","-0,733","5,739","-12,525","-25,538","8,610","-4,342","6,985","21,668","4,348","-4,471","-8,812","2,544","-1,020","-12,029","-1,774","-3,398","2,067"
1102,"2,711","-11,495","1,345","3,646","-0,924","2,032","-11,388","-15,045","9,433","-2,281","4,172","21,809","4,463","-6,073","-11,007","1,676","-1,740","-12,026","-1,724","-4,476","1,987"
1103,"2,146","-9,804","4,128","3,434","-0,427","3,274","-11,236","-14,394","10,148","-1,867","0,992","19,803","4,529","-7,094","-11,020","-0,602","-2,494","-13,203","-1,856","-5,314","1,861"
1104,"0,961","-8,767","5,893","3,545","-0,407","6,765","-10,167","-13,235","9,015","-4,068","-0,025","14,974","4,590","-7,427","-9,773","-0,816","-2,953","-14,078","-1,844","-5,535","2,283"
1105,"-0,076","-9,136","5,923","3,537","-0,864","5,731","-9,583","-13,614","8,920","-7,233","-0,566","6,550","4,541","-6,847","-7,592","0,247","-2,252","-14,424","-2,379","-5,513","2,672"
1106,"-1,317","-10,147","5,146","3,042","-1,617","-1,387","-10,157","-12,237","7,844","-9,593","-0,783","-2,801","4,186","-6,245","-6,642","1,846","-1,178","-13,912","-2,003","-5,153","2,893"
1107,"-2,957","-10,941","3,740","2,867","-1,663","-5,931","-7,560","-10,461","6,250","-10,660","-0,084","-8,119","3,470","-6,562","-8,176","2,003","-0,212","-13,152","-1,680","-4,264","3,251"
1108,"-3,751","-11,551","2,499","2,155","-2,696","-7,639","-5,031","-6,486","5,127","-10,672","1,118","-9,292","2,810","-7,149","-10,837","-0,527","-0,850","-11,899","-1,795","-3,569","3,291"
1109,"-2,922","-11,973","1,786","1,909","-2,558","-6,635","-5,521","-3,332","3,584","-9,382","2,199","-7,611","1,961","-8,070","-13,345","-2,215","-2,607","-10,971","-1,917","-3,032","3,179"
1110,"-1,448","-11,562","2,876","1,181","-2,064","-5,079","-4,714","0,158","0,975","-5,889","2,798","-5,950","1,042","-8,828","-14,441","-2,603","-3,715","-10,857","-1,728","-2,517","3,248"
1111,"-0,452","-10,174","4,936","-0,023","-1,913","-4,899","-1,642","5,574","0,440","-1,723","2,428","-4,191","0,103","-8,869","-13,967","-3,810","-3,094","-11,893","-1,047","-2,160","3,458"
1112,"-0,580","-8,755","6,208","-1,335","-1,212","-5,694","-1,504","5,991","1,263","1,105","1,058","-0,801","-0,736","-8,309","-11,884","-4,323","-1,254","-12,582","-1,055","-2,450","3,272"
1113,"-1,957","-7,645","6,819","-2,226","-0,706","-4,998","-2,340","3,557","2,270","3,388","1,378","4,277","-1,471","-7,201","-9,447","-4,145","0,936","-11,793","-0,879","-3,086","3,216"
1114,"-3,136","-7,410","5,882","-2,556","-0,887","-3,104","-1,976","1,842","2,238","3,697","1,776","7,918","-2,397","-6,177","-6,869","-4,056","0,803","-10,369","-0,833","-3,356","2,836"
1115,"-3,973","-7,983","4,231","-3,225","-1,164","-3,529","-2,014","0,130","3,505","4,375","1,117","8,016","-2,978","-5,569","-5,041","-5,021","-0,344","-9,465","-0,707","-3,331","2,951"
1116,"-3,932","-8,624","3,436","-3,105","-1,630","-7,084","-3,046","-2,237","3,942","3,318","0,199","6,209","-3,404","-5,570","-5,062","-6,601","-1,713","-9,484","-0,330","-3,030","3,185"
1117,"-4,303","-8,525","3,510","-3,083","-2,784","-13,432","-4,085","-3,972","6,067","1,106","-0,216","3,521","-3,792","-6,047","-5,832","-6,979","-2,239","-9,452","-0,427","-2,696","3,865"
1118,"-4,162","-8,246","4,391","-2,662","-2,997","-14,506","-6,496","-7,765","7,810","-2,099","-0,487","-0,626","-3,926","-6,265","-6,793","-6,477","-1,064","-8,627","-0,843","-2,628","4,177"
1119,"-4,275","-8,071","5,498","-2,279","-2,204","-10,892","-7,074","-7,641","7,248","-4,528","-0,821","-4,490","-4,268","-6,405","-7,278","-7,395","0,266","-8,173","-0,780","-2,794","4,273"
1120,"-5,094","-7,354","5,963","-1,294","-0,258","-1,882","-4,972","-2,645","2,426","-6,179","-1,047","-6,226","-4,493","-6,760","-7,630","-5,936","0,077","-6,715","-0,244","-3,412","4,014"
1121,"-5,223","-6,975","4,757","-1,208","0,630","-0,255","-2,072","5,098","1,106","-6,311","-0,679","-4,963","-4,788","-6,836","-6,604","-4,264","-0,954","-4,503","-0,524","-4,226","3,139"
1122,"-4,878","-6,809","3,856","-1,204","-0,574","-3,145","-3,770","4,292","1,271","-5,014","-1,187","-3,474","-4,930","-6,990","-4,975","-4,263","-2,262","-3,085","-0,736","-4,703","2,376"
1123,"-5,488","-6,491","5,145","-1,524","0,372","-4,926","-3,677","4,683","1,030","-3,184","-1,316","-3,575","-5,069","-7,448","-4,592","-7,060","-3,468","-3,999","-0,829","-4,837","1,472"
1124,"-6,408","-5,140","7,717","-2,168","-0,064","-6,137","-3,314","5,578","1,682","-0,625","-0,889","-2,441","-4,726","-7,443","-4,130","-9,816","-4,114","-5,778","-0,663","-4,525","0,899"
1125,"-6,689","-3,340","9,618","-2,736","-0,054","-5,756","-4,262","7,464","1,427","1,668","-1,346","-0,410","-4,340","-6,662","-2,114","-10,086","-3,970","-7,414","-1,171","-4,233","0,229"
1126,"-6,428","-2,041","10,431","-3,402","-0,204","-7,712","-4,758","8,932","1,594","2,503","-1,452","1,251","-3,819","-5,464","-0,404","-7,621","-3,008","-7,823","-1,676","-3,559","-0,399"
1127,"-6,113","-1,686","10,175","-3,593","-0,075","-9,845","-4,730","9,477","0,852","2,879","-1,016","1,240","-3,246","-4,133","0,251","-7,060","-1,127","-8,868","-1,743","-3,001","-0,705"
1128,"-6,588","-2,349","8,642","-3,697","-0,266","-10,170","-3,567","8,964","0,470","2,595","-0,553","0,437","-2,378","-3,457","-1,305","-6,612","-0,497","-9,375","-1,747","-2,431","-0,953"
1129,"-6,011","-3,768","5,555","-3,459","-0,420","-8,163","-2,237","9,327","-0,155","2,471","0,145","-0,121","-1,690","-3,085","-4,117","-5,368","0,069","-9,567","-1,434","-2,024","-0,803"
1130,"-4,831","-5,501","2,687","-3,073","-0,408","-5,957","-1,900","7,095","-0,558","2,073","0,921","-0,907","-0,991","-3,151","-7,118","-3,516","0,492","-9,340","-1,543","-1,588","-0,519"
1131,"-3,924","-6,876","0,386","-2,660","-0,857","-6,042","-0,815","6,821","-1,740","1,837","1,278","-2,261","-0,360","-2,761","-8,792","-1,853","1,458","-9,046","-1,474","-1,358","-0,322"
1132,"-3,306","-7,759","-1,008","-2,466","-1,221","-6,932","0,054","4,449","-1,796","0,785","1,008","-4,572","0,358","-2,047","-9,794","-0,329","2,584","-7,626","-1,945","-1,132","0,145"
1133,"-2,749","-8,507","-2,392","-1,681","-1,118","-3,979","0,038","1,011","-0,973","-1,249","0,612","-6,848","0,903","-1,637","-10,970","0,068","4,021","-6,399","-2,176","-1,053","0,511"
1134,"-2,170","-9,071","-4,307","-1,292","-1,062","-2,785","-0,199","-3,641","-0,028","-2,658","-0,015","-8,100","1,236","-1,113","-11,553","1,389","3,812","-5,278","-1,543","-0,915","1,145"
1135,"-1,362","-9,130","-7,262","-1,309","-0,929","-2,434","0,603","-6,292","0,612","-2,734","-1,108","-6,686","1,639","-0,272","-12,354","3,709","4,383","-4,989","-1,726","-1,033","1,177"
1136,"-0,959","-8,935","-9,419","-1,284","0,121","1,236","0,501","-9,386","2,346","-2,325","-1,226","-3,146","1,666","0,192","-12,935","4,724","5,148","-4,835","-1,673","-1,442","1,015"
1137,"-0,254","-8,780","-10,168","-1,199","0,463","-0,160","-2,477","-14,082","3,083","-0,040","-0,411","0,958","1,681","0,643","-12,049","4,011","5,864","-4,869","-1,860","-1,586","0,928"
1138,"0,464","-8,422","-8,569","-1,433","1,025","2,951","-2,588","-14,350","2,451","2,423","0,861","3,570","1,953","0,583","-11,381","3,819","5,943","-4,333","-1,257","-1,629","0,728"
1139,"0,351","-6,879","-4,983","-1,968","1,473","6,122","-1,021","-8,308","1,947","3,123","1,186","5,541","2,265","0,983","-7,855","2,273","4,640","-4,238","-0,528","-1,588","0,631"
1140,"0,108","-5,326","-1,211","-2,426","1,121","5,936","-1,948","-5,904","1,752","3,394","0,973","6,674","2,647","1,022","-4,474","2,835","2,548","-3,972","-0,726","-1,618","0,207"
1141,"0,082","-3,428","1,779","-2,074","1,338","4,220","-1,869","-3,477","1,011","3,444","1,200","6,560","2,933","0,905","-1,624","3,432","1,700","-3,530","-0,858","-1,681","-0,086"
1142,"-0,273","-2,208","4,036","-1,490","1,434","3,439","-1,677","-2,818","0,780","2,521","0,898","5,680","3,239","0,802","0,841","3,535","1,068","-4,108","-0,982","-1,693","-0,142"
1143,"-1,072","-1,903","5,452","-1,037","0,851","2,687","-1,726","-1,657","0,268","1,099","0,226","3,875","3,462","0,842","2,496","1,856","0,890","-4,662","-0,965","-1,590","0,335"
1144,"-1,209","-2,098","5,785","-0,577","1,267","4,426","-2,143","1,737","-1,395","-1,522","-1,225","1,947","3,788","0,220","2,123","2,279","0,295","-3,986","-0,894","-1,764","0,682"
1145,"-1,118","-2,400","5,187","-0,319","1,167","4,540","-1,520","6,048","-1,894","-3,074","-2,142","-0,796","3,892","-0,465","1,312","3,932","-0,904","-3,011","-1,310","-1,815","1,020"
1146,"-0,848","-2,181","4,588","-0,320","0,340","-0,493","-1,044","9,547","-2,595","-3,158","-2,448","-4,611","4,105","-1,309","-0,465","4,759","-1,677","-2,096","-1,986","-2,088","0,916"
1147,"-0,275","-1,944","5,375","-0,741","0,030","-2,948","-1,586","8,605","-2,094","-2,163","-2,074","-6,889","4,281","-1,812","-1,517","2,498","-1,917","-2,891","-2,102","-2,346","1,163"
