Index,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z
1328,"-0,243","0,441","0,849","-0,186","0,035","0,970","-0,214","-0,021","0,899","-0,180","-0,042","0,997","-0,157","-1,069","0,326","-0,456","-0,914","-0,140","-0,058","0,041","0,983"
1329,"-0,227","0,439","0,835","-0,212","0,042","0,970","-0,240","-0,012","0,914","-0,185","-0,042","0,993","-0,133","-1,074","0,323","-0,448","-0,979","-0,102","-0,066","0,040","0,980"
1330,"-0,191","0,444","0,841","-0,227","0,045","0,977","-0,238","0,044","0,862","-0,200","-0,035","0,995","-0,123","-1,077","0,324","-0,457","-1,002","-0,118","-0,058","0,041","0,979"
1331,"-0,157","0,450","0,849","-0,209","0,050","0,984","-0,259","-0,006","0,862","-0,223","-0,003","0,990","-0,109","-1,074","0,328","-0,455","-1,008","-0,163","-0,045","0,043","0,983"
1332,"-0,156","0,464","0,868","-0,174","0,052","0,975","-0,249","0,020","0,899","-0,206","0,003","1,011","-0,111","-1,068","0,315","-0,442","-0,987","-0,181","-0,035","0,043","0,987"
1333,"-0,189","0,449","0,868","-0,144","0,057","0,967","-0,236","-0,001","0,880","-0,178","-0,002","0,999","-0,117","-1,058","0,307","-0,423","-0,970","-0,194","-0,032","0,047","0,988"
1334,"-0,212","0,430","0,844","-0,167","0,047","0,984","-0,246","0,007","0,863","-0,139","-0,012","1,003","-0,111","-1,059","0,312","-0,397","-0,943","-0,198","-0,042","0,053","0,988"
1335,"-0,207","0,423","0,822","-0,187","0,040","0,987","-0,215","0,001","0,882","-0,118","-0,005","1,002","-0,104","-1,058","0,314","-0,372","-0,939","-0,179","-0,063","0,054","0,987"
1336,"-0,192","0,432","0,815","-0,180","0,029","0,989","-0,227","-0,003","0,874","-0,107","-0,010","1,002","-0,101","-1,055","0,297","-0,348","-0,966","-0,147","-0,075","0,052","0,986"
1337,"-0,169","0,425","0,833","-0,159","0,036","0,981","-0,190","-0,002","0,898","-0,104","-0,014","0,987","-0,095","-1,049","0,274","-0,357","-0,975","-0,143","-0,070","0,050","0,974"
