Index,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z
2133,"-0,132","0,234","1,002","-0,035","0,140","1,004","-0,149","-0,040","0,941","-0,050","0,070","1,042","-0,094","0,149","1,010","0,152","-0,101","0,981","-0,048","-0,159","0,997"
2134,"-0,132","0,237","1,005","-0,036","0,139","0,985","-0,144","-0,049","0,932","-0,040","0,091","1,034","-0,089","0,152","1,013","0,136","-0,111","0,988","-0,060","-0,168","0,994"
2135,"-0,133","0,234","1,006","-0,023","0,132","0,977","-0,147","-0,064","0,930","-0,029","0,096","1,016","-0,099","0,157","1,018","0,158","-0,116","0,966","-0,067","-0,172","1,008"
2136,"-0,146","0,225","1,027","-0,039","0,136","0,978","-0,143","-0,061","0,937","-0,022","0,101","0,999","-0,108","0,152","1,013","0,179","-0,121","0,951","-0,079","-0,171","1,011"
2137,"-0,153","0,235","1,045","-0,041","0,131","0,995","-0,128","-0,056","0,937","-0,016","0,105","0,988","-0,109","0,155","1,018","0,182","-0,118","0,950","-0,083","-0,175","1,010"
2138,"-0,164","0,243","1,043","-0,042","0,132","0,993","-0,118","-0,060","0,938","-0,012","0,106","1,007","-0,120","0,145","1,013","0,171","-0,117","0,985","-0,083","-0,175","1,008"
2139,"-0,166","0,252","1,047","-0,039","0,136","0,996","-0,132","-0,055","0,935","-0,006","0,104","1,024","-0,134","0,146","1,006","0,145","-0,112","0,990","-0,089","-0,168","1,003"
2140,"-0,168","0,274","1,048","-0,016","0,134","0,993","-0,128","-0,066","0,941","-0,006","0,105","1,029","-0,156","0,148","1,016","0,145","-0,105","0,947","-0,091","-0,159","1,001"
2141,"-0,173","0,290","1,039","-0,010","0,128","0,988","-0,103","-0,062","0,942","-0,005","0,097","1,026","-0,171","0,125","1,013","0,148","-0,066","0,946","-0,094","-0,163","1,000"
2142,"-0,179","0,293","1,032","-0,011","0,133","0,983","-0,135","-0,061","0,931","0,009","0,093","1,002","-0,120","0,070","1,018","0,041","-0,181","0,915","-0,098","-0,157","0,998"
2143,"-0,184","0,289","1,027","-0,034","0,132","0,992","-0,132","-0,055","0,941","0,008","0,090","0,996","0,002","0,146","0,991","0,198","-0,136","0,906","-0,103","-0,152","0,998"
2144,"-0,175","0,290","1,024","-0,057","0,130","0,998","-0,120","-0,077","0,933","0,003","0,087","0,989","-0,046","0,093","0,987","0,364","-0,199","0,934","-0,111","-0,162","0,995"
2145,"-0,146","0,275","1,009","-0,056","0,130","0,993","-0,151","-0,056","0,934","-0,008","0,091","0,994","-0,093","0,051","1,037","0,187","-0,095","0,928","-0,112","-0,159","0,990"
2146,"-0,117","0,257","0,976","-0,051","0,129","0,991","-0,143","-0,063","0,931","-0,023","0,085","0,993","-0,087","0,063","1,034","0,148","-0,086","0,953","-0,108","-0,159","0,976"
2147,"-0,115","0,248","0,979","-0,046","0,117","0,993","-0,146","-0,080","0,920","-0,034","0,081","1,005","-0,129","0,030","1,015","0,146","-0,254","0,845","-0,112","-0,158","0,975"
2148,"-0,113","0,243","0,987","-0,034","0,137","0,985","-0,123","-0,061","0,946","-0,043","0,077","1,004","-0,119","-0,028","1,005","0,038","-0,358","0,715","-0,115","-0,156","0,979"
2149,"-0,103","0,220","0,986","-0,038","0,134","0,995","-0,118","-0,050","0,939","-0,044","0,078","1,007","-0,139","-0,014","0,984","0,232","-0,317","1,029","-0,111","-0,150","0,978"
2150,"-0,090","0,191","0,979","-0,047","0,135","0,988","-0,159","-0,053","0,921","-0,040","0,079","1,015","-0,164","-0,021","0,994","0,185","-0,230","0,992","-0,113","-0,161","0,983"
2151,"-0,084","0,170","0,976","-0,051","0,140","0,987","-0,149","-0,048","0,941","-0,035","0,086","1,014","-0,135","-0,009","1,004","0,178","-0,107","0,944","-0,117","-0,156","0,985"
2152,"-0,098","0,160","0,969","-0,050","0,137","0,983","-0,156","-0,067","0,931","-0,032","0,091","1,011","-0,122","-0,007","1,003","0,142","-0,074","0,888","-0,118","-0,159","0,978"
2153,"-0,116","0,150","0,970","-0,050","0,136","0,978","-0,164","-0,075","0,926","-0,024","0,079","0,999","-0,129","0,005","1,001","0,099","-0,049","0,930","-0,111","-0,160","0,973"
2154,"-0,137","0,143","0,948","-0,046","0,136","0,983","-0,114","-0,049","0,951","-0,018","0,080","0,999","-0,133","0,005","1,009","0,084","-0,019","0,969","-0,116","-0,158","0,981"
2155,"-0,152","0,139","0,930","-0,047","0,153","0,984","-0,178","-0,020","0,931","-0,007","0,079","1,003","-0,159","0,010","1,023","0,121","0,002","0,993","-0,112","-0,154","0,978"
2156,"-0,160","0,145","0,922","-0,048","0,130","1,003","-0,248","-0,079","0,883","0,000","0,083","1,010","-0,164","-0,017","0,998","0,118","-0,088","1,002","-0,107","-0,160","0,969"
2157,"-0,156","0,139","0,933","-0,043","0,119","0,984","-0,146","-0,046","0,957","0,003","0,073","1,014","-0,153","-0,033","0,990","0,137","-0,183","0,907","-0,102","-0,164","0,970"
2158,"-0,146","0,146","0,950","-0,015","0,122","0,983","-0,164","-0,079","0,911","0,009","0,068","1,003","-0,156","-0,047","1,024","0,146","-0,229","0,896","-0,104","-0,159","0,970"
2159,"-0,146","0,146","0,973","-0,032","0,114","0,988","-0,147","-0,058","0,934","0,009","0,059","0,996","-0,137","-0,075","1,012","0,108","-0,247","0,943","-0,107","-0,156","0,971"
2160,"-0,143","0,155","0,989","-0,046","0,128","0,996","-0,164","-0,066","0,924","0,006","0,067","0,986","-0,106","-0,098","0,984","0,091","-0,304","0,912","-0,102","-0,161","0,987"
2161,"-0,140","0,160","1,002","-0,062","0,120","1,001","-0,172","-0,058","0,922","0,007","0,073","0,994","-0,098","-0,112","0,989","0,078","-0,322","0,899","-0,105","-0,163","0,995"
2162,"-0,138","0,177","1,005","-0,051","0,142","0,982","-0,166","-0,069","0,924","-0,004","0,068","0,995","-0,100","-0,106","1,003","0,056","-0,309","0,892","-0,105","-0,165","0,993"
2163,"-0,136","0,201","0,986","-0,054","0,132","0,981","-0,178","-0,059","0,922","-0,016","0,073","0,997","-0,099","-0,111","1,020","0,060","-0,276","0,918","-0,104","-0,162","1,000"
2164,"-0,125","0,216","0,964","-0,065","0,139","0,986","-0,176","-0,067","0,917","-0,022","0,070","1,001","-0,106","-0,110","1,016","0,067","-0,245","0,922","-0,101","-0,176","0,994"
2165,"-0,119","0,220","0,957","-0,059","0,135","0,985","-0,171","-0,062","0,925","-0,030","0,070","1,009","-0,119","-0,100","1,009","0,063","-0,204","0,923","-0,098","-0,172","0,993"
2166,"-0,123","0,207","0,948","-0,051","0,134","0,985","-0,164","-0,068","0,929","-0,033","0,071","1,015","-0,118","-0,088","1,005","0,066","-0,165","0,926","-0,104","-0,178","0,992"
2167,"-0,127","0,188","0,945","-0,044","0,125","0,989","-0,159","-0,070","0,929","-0,033","0,078","1,034","-0,121","-0,073","1,005","0,075","-0,123","0,941","-0,109","-0,173","0,985"
2168,"-0,130","0,151","0,950","-0,032","0,134","0,992","-0,155","-0,064","0,931","-0,027","0,076","1,046","-0,106","-0,062","1,001","0,092","-0,106","0,942","-0,110","-0,165","0,986"
2169,"-0,143","0,129","0,952","-0,021","0,109","0,988","-0,158","-0,062","0,938","-0,020","0,065","1,036","-0,114","-0,059","0,992","0,120","-0,079","0,985","-0,126","-0,172","0,986"
2170,"-0,156","0,108","0,963","-0,026","0,114","0,991","-0,160","-0,072","0,929","-0,015","0,059","1,013","-0,105","-0,053","0,991","0,124","-0,110","0,965","-0,122","-0,173","0,982"
2171,"-0,161","0,097","0,977","-0,024","0,100","0,996","-0,153","-0,068","0,940","-0,007","0,055","0,997","-0,111","-0,048","0,985","0,167","-0,093","0,893","-0,118","-0,167","0,980"
2172,"-0,164","0,107","0,978","-0,040","0,102","0,998","-0,171","-0,063","0,928","-0,001","0,058","1,002","-0,106","-0,034","0,981","0,171","-0,041","0,916","-0,117","-0,163","0,975"
2173,"-0,165","0,108","0,986","-0,051","0,097","1,002","-0,162","-0,059","0,936","0,003","0,053","0,999","-0,096","-0,013","0,968","0,178","-0,001","0,918","-0,112","-0,159","0,974"
