Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
168,"-0,235","-0,014","-0,038","0,032","0,043","-0,383","0,089","-0,492","0,912","0,274","-0,080","-0,054","-0,404","0,081","-0,192","0,355","-0,266","0,234","0,433","-0,074","-0,132"
169,"-0,195","0,027","-0,034","-0,001","0,074","-0,403","0,073","-0,471","0,912","0,310","-0,117","-0,034","-0,428","0,044","-0,180","0,357","-0,230","0,209","0,465","-0,081","-0,132"
170,"-0,252","0,052","-0,033","0,035","0,069","-0,423","0,054","-0,463","0,916","0,313","-0,172","-0,020","-0,502","0,053","-0,165","0,357","-0,223","0,189","0,447","-0,110","-0,132"
171,"-0,262","0,061","-0,031","0,024","0,075","-0,438","0,026","-0,477","0,921","0,340","-0,225","-0,012","-0,548","0,094","-0,154","0,292","-0,223","0,171","0,450","-0,143","-0,132"
172,"-0,247","0,008","-0,023","-0,039","0,089","-0,444","0,011","-0,440","0,922","0,293","-0,217","-0,009","-0,548","0,123","-0,153","0,261","-0,192","0,157","0,432","-0,110","-0,134"
173,"-0,185","0,036","-0,018","-0,049","0,095","-0,435","-0,005","-0,432","0,918","0,297","-0,260","-0,013","-0,486","0,108","-0,155","0,261","-0,190","0,148","0,464","-0,124","-0,136"
174,"-0,148","0,037","-0,024","-0,011","0,062","-0,409","-0,012","-0,428","0,910","0,348","-0,229","-0,030","-0,460","0,048","-0,149","0,240","-0,143","0,144","0,485","-0,096","-0,138"
175,"-0,159","0,046","-0,029","-0,010","0,091","-0,384","-0,077","-0,455","0,901","0,361","-0,219","-0,048","-0,418","0,005","-0,145","0,258","-0,158","0,141","0,462","-0,072","-0,139"
176,"-0,114","0,065","-0,028","-0,068","0,091","-0,364","-0,084","-0,444","0,892","0,362","-0,190","-0,061","-0,381","0,000","-0,144","0,301","-0,155","0,137","0,490","-0,056","-0,139"
177,"-0,088","0,017","-0,024","-0,067","0,094","-0,349","-0,112","-0,492","0,875","0,392","-0,136","-0,065","-0,351","0,051","-0,143","0,334","-0,202","0,128","0,487","-0,022","-0,140"
178,"-0,152","-0,018","-0,014","-0,017","0,086","-0,336","-0,040","-0,497","0,844","0,377","-0,085","-0,060","-0,351","0,083","-0,141","0,395","-0,232","0,112","0,453","-0,003","-0,141"
179,"-0,221","-0,008","-0,008","0,035","0,072","-0,318","-0,024","-0,532","0,799","0,360","-0,065","-0,050","-0,365","0,065","-0,134","0,402","-0,240","0,095","0,417","-0,017","-0,142"
180,"-0,210","-0,041","-0,011","0,046","0,108","-0,312","-0,010","-0,550","0,757","0,371","-0,072","-0,032","-0,356","0,082","-0,119","0,412","-0,197","0,076","0,449","-0,010","-0,143"
181,"-0,240","-0,031","-0,011","0,050","0,124","-0,313","0,032","-0,496","0,723","0,333","-0,123","-0,018","-0,400","0,083","-0,110","0,377","-0,193","0,062","0,443","-0,044","-0,141"
182,"-0,302","-0,019","-0,011","0,050","0,132","-0,310","0,039","-0,482","0,697","0,270","-0,138","-0,016","-0,404","0,054","-0,104","0,373","-0,147","0,055","0,409","-0,048","-0,137"
183,"-0,253","-0,048","-0,005","0,057","0,138","-0,300","0,084","-0,429","0,674","0,250","-0,113","-0,018","-0,379","0,081","-0,101","0,392","-0,171","0,048","0,415","-0,014","-0,132"
184,"-0,209","-0,006","0,012","0,038","0,092","-0,283","0,050","-0,437","0,647","0,266","-0,115","-0,025","-0,368","0,057","-0,105","0,329","-0,145","0,038","0,420","-0,047","-0,127"
185,"-0,145","-0,006","0,021","0,039","0,087","-0,263","0,011","-0,453","0,619","0,330","-0,101","-0,033","-0,370","0,048","-0,104","0,292","-0,106","0,030","0,449","-0,037","-0,123"
186,"-0,118","0,006","0,024","0,053","0,066","-0,251","0,009","-0,393","0,589","0,365","-0,128","-0,031","-0,370","0,080","-0,101","0,246","-0,082","0,026","0,444","-0,068","-0,120"
187,"-0,119","0,009","0,027","0,061","0,090","-0,243","-0,041","-0,431","0,552","0,399","-0,161","-0,020","-0,335","0,108","-0,098","0,295","-0,108","0,019","0,440","-0,099","-0,117"
188,"-0,182","0,022","0,023","0,004","0,067","-0,240","-0,105","-0,424","0,514","0,339","-0,161","0,000","-0,332","0,121","-0,086","0,348","-0,139","0,009","0,406","-0,117","-0,117"
189,"-0,217","0,018","0,019","0,049","0,111","-0,239","-0,033","-0,418","0,482","0,328","-0,221","0,017","-0,337","0,124","-0,075","0,360","-0,140","0,000","0,387","-0,145","-0,117"
190,"-0,218","0,022","0,012","0,098","0,134","-0,233","0,038","-0,392","0,454","0,315","-0,281","0,024","-0,283","0,123","-0,069","0,399","-0,141","-0,003","0,356","-0,171","-0,117"
191,"-0,235","0,071","0,002","0,111","0,152","-0,221","0,082","-0,344","0,435","0,261","-0,328","0,016","-0,305","0,093","-0,064","0,328","-0,120","0,002","0,324","-0,197","-0,117"
192,"-0,259","0,075","-0,008","0,109","0,176","-0,202","0,116","-0,317","0,426","0,207","-0,312","-0,004","-0,340","0,084","-0,056","0,298","-0,096","0,003","0,302","-0,174","-0,115"
193,"-0,235","0,066","-0,013","0,082","0,175","-0,181","0,118","-0,313","0,417","0,193","-0,259","-0,025","-0,333","0,088","-0,045","0,291","-0,093","-0,001","0,292","-0,147","-0,114"
194,"-0,209","0,017","-0,009","0,055","0,157","-0,159","0,074","-0,286","0,408","0,185","-0,202","-0,044","-0,321","0,088","-0,043","0,232","-0,052","-0,005","0,278","-0,119","-0,113"
