Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
52,"-0,147","-0,523","-0,084","0,111","0,084","-0,180","0,417","0,064","-0,223","-0,353","-0,049","0,191","-0,063","-0,045","-0,281","0,097","0,142","0,028","0,578","-0,180","-0,214"
53,"-0,267","-0,367","-0,200","0,002","0,116","-0,105","0,203","0,047","-0,080","-0,201","0,419","0,088","-0,131","-0,071","-0,205","0,013","0,200","-0,063","0,215","-0,104","-0,156"
54,"-0,020","0,114","-0,290","0,042","0,005","-0,196","0,088","-0,095","-0,087","0,207","1,052","-0,041","-0,201","0,040","-0,133","-0,170","0,322","-0,061","-0,025","-0,134","-0,016"
55,"-0,081","0,133","-0,232","-0,137","0,013","-0,164","-0,042","-0,197","-0,139","-0,032","0,964","-0,219","-0,263","-0,015","-0,110","-0,236","0,288","-0,228","0,101","0,011","0,071"
56,"-0,020","0,056","-0,271","0,002","0,116","-0,105","-0,059","-0,026","-0,144","0,261","0,770","-0,160","-0,324","-0,016","-0,115","-0,197","0,193","-0,201","0,160","-0,003","0,010"
57,"0,098","-0,274","-0,100","-0,111","-0,043","-0,004","-0,265","-0,129","0,002","0,229","0,296","-0,051","-0,281","0,073","0,050","-0,119","0,004","-0,148","0,097","-0,016","-0,048"
58,"-0,026","-0,410","0,072","-0,193","-0,094","-0,100","-0,215","-0,038","-0,016","0,093","-0,096","-0,153","-0,208","0,016","-0,051","-0,265","-0,059","-0,301","0,038","0,117","-0,014"
59,"-0,027","-0,353","0,246","-0,086","-0,071","-0,202","-0,254","-0,038","0,083","0,149","-0,391","-0,332","-0,144","-0,066","-0,069","-0,262","0,159","-0,369","-0,084","-0,001","0,018"
60,"0,035","-0,142","0,306","-0,141","-0,178","-0,138","-0,327","-0,004","0,054","-0,036","-0,368","-0,284","-0,011","-0,121","-0,164","-0,303","0,036","-0,327","-0,021","-0,047","0,089"
61,"0,097","0,050","0,308","-0,066","-0,264","-0,042","-0,292","-0,039","0,181","-0,090","-0,320","-0,360","0,048","-0,174","-0,129","-0,229","0,024","-0,199","0,040","-0,048","0,087"
62,"0,283","0,339","0,216","-0,045","-0,211","0,065","-0,239","-0,079","0,126","-0,028","-0,016","-0,115","-0,136","-0,231","-0,117","-0,199","-0,025","-0,133","0,162","-0,108","0,097"
63,"0,039","0,341","0,214","-0,038","-0,074","0,066","-0,121","-0,068","0,096","0,109","0,215","-0,163","0,041","-0,198","-0,046","-0,195","-0,111","-0,028","0,412","-0,009","0,253"
64,"0,284","0,532","0,217","0,046","-0,079","0,190","-0,145","-0,109","0,238","-0,017","0,322","-0,006","0,113","-0,255","-0,147","0,024","-0,151","0,072","0,589","-0,052","0,069"
65,"0,101","0,514","0,158","0,059","-0,107","0,270","0,055","-0,051","0,051","0,108","0,302","-0,058","0,122","-0,177","-0,259","-0,140","-0,121","-0,003","0,654","0,035","0,172"
66,"0,163","0,399","0,003","-0,006","0,005","0,228","0,055","-0,051","0,051","-0,104","0,144","0,283","0,228","-0,223","-0,082","-0,160","-0,119","-0,107","0,836","-0,026","0,180"
67,"0,100","0,053","-0,078","0,123","0,081","0,234","0,129","-0,086","0,080","0,143","0,030","0,133","0,163","0,048","-0,098","0,104","-0,122","0,057","0,832","0,125","0,020"
68,"-0,022","0,054","-0,078","0,050","0,112","0,164","0,241","-0,120","0,010","-0,067","-0,215","0,369","0,150","0,053","0,037","0,300","0,018","0,129","0,714","0,213","0,128"
69,"-0,023","-0,215","-0,119","0,103","-0,027","0,152","0,232","-0,034","0,007","0,055","-0,221","0,376","0,024","-0,110","0,113","0,274","-0,021","0,169","0,286","0,083","0,111"
70,"0,039","-0,177","-0,196","0,180","0,133","0,196","0,150","0,086","-0,024","0,056","-0,148","0,422","0,326","0,086","0,108","0,281","0,110","0,206","0,221","0,056","-0,006"
71,"-0,023","-0,330","-0,275","0,137","0,027","-0,019","0,029","-0,101","-0,073","0,060","-0,089","0,408","0,010","0,084","0,214","0,322","0,233","0,165","0,341","0,041","-0,069"
72,"-0,022","-0,195","-0,254","0,148","0,054","0,035","-0,059","-0,026","-0,144","0,114","-0,137","0,484","-0,058","0,059","0,291","-0,020","0,298","0,197","0,465","0,054","-0,014"
73,"0,039","-0,137","-0,272","0,053","0,032","-0,143","-0,009","0,066","-0,162","0,070","-0,218","0,125","0,000","0,196","0,292","0,008","0,159","0,081","0,526","0,054","-0,016"
74,"-0,020","0,114","-0,290","0,032","-0,021","-0,250","-0,098","-0,026","-0,046","0,324","-0,126","0,053","0,076","0,246","0,133","-0,013","0,162","-0,023","0,404","0,173","-0,040"
