Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
114,"-0,079","0,005","0,138","0,026","-0,046","-0,297","-0,042","0,207","-0,176","-0,006","-0,383","-0,001","0,027","0,292","0,103","0,083","0,198","-0,125","0,272","0,143","-0,158"
115,"0,110","0,214","0,006","-0,045","-0,012","-0,367","-0,005","0,035","-0,097","0,134","-0,165","-0,107","0,038","0,101","-0,006","0,084","-0,023","-0,070","0,272","0,143","-0,158"
116,"0,049","0,312","0,102","0,059","0,163","-0,125","-0,058","0,072","-0,039","0,089","0,148","-0,118","-0,019","0,019","-0,038","0,068","0,113","-0,129","0,330","0,070","-0,208"
117,"0,233","0,366","0,086","0,059","0,163","-0,125","-0,026","0,036","-0,181","0,176","0,488","-0,254","-0,070","-0,036","-0,152","0,109","0,018","-0,108","0,336","0,155","-0,102"
118,"0,296","0,404","0,010","0,068","0,188","-0,070","-0,007","0,164","-0,052","0,178","0,634","-0,162","-0,057","-0,173","-0,288","0,084","-0,023","-0,070","0,461","0,046","-0,024"
119,"0,295","0,327","-0,028","0,086","0,236","0,041","-0,043","0,029","0,001","0,116","0,723","-0,060","0,004","-0,172","-0,283","0,218","-0,003","-0,059","0,641","-0,028","-0,080"
120,"0,230","0,174","0,086","-0,024","0,209","0,138","0,035","0,163","0,116","0,093","0,526","0,171","-0,057","-0,173","-0,288","0,124","-0,118","-0,049","0,394","-0,097","-0,114"
121,"-0,015","0,101","0,043","-0,013","0,178","0,218","-0,024","0,158","0,130","-0,037","0,341","0,145","0,056","-0,253","-0,169","0,294","-0,021","0,068","0,400","-0,072","0,005"
122,"0,165","0,001","0,142","-0,009","0,010","0,291","0,035","0,163","0,116","-0,111","0,252","0,288","-0,006","-0,117","-0,174","0,109","0,098","0,078","0,279","-0,071","0,011"
123,"0,104","-0,017","0,083","-0,113","0,119","0,395","-0,089","0,109","0,102","-0,117","0,047","0,209","-0,024","0,046","0,016","-0,070","0,044","0,001","0,035","-0,008","0,012"
