Index,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z
724,"0,999","0,011","0,046","0,017","0,998","-0,027","0,053","0,016","1,000","-0,006","0,008","-0,004","0,999","0,015","0,046","-0,003","0,997","-0,030","0,043","0,049","1,000","-0,016","-0,004","0,010","0,999","-0,020","0,024","-0,007"
725,"0,999","0,013","0,046","0,018","0,998","-0,027","0,053","0,016","1,000","-0,006","0,009","-0,004","0,999","0,015","0,047","-0,003","0,997","-0,031","0,043","0,051","1,000","-0,017","-0,005","0,011","0,999","-0,020","0,024","-0,007"
726,"0,999","0,014","0,046","0,018","0,998","-0,027","0,054","0,016","1,000","-0,006","0,009","-0,004","0,999","0,015","0,048","-0,003","0,997","-0,032","0,043","0,053","1,000","-0,017","-0,004","0,012","0,999","-0,021","0,024","-0,007"
727,"0,999","0,015","0,047","0,019","0,998","-0,026","0,054","0,017","1,000","-0,006","0,009","-0,004","0,999","0,015","0,048","-0,003","0,997","-0,032","0,043","0,054","1,000","-0,018","-0,004","0,013","0,999","-0,021","0,024","-0,007"
728,"0,999","0,016","0,047","0,019","0,998","-0,026","0,055","0,017","1,000","-0,006","0,009","-0,004","0,999","0,015","0,049","-0,002","0,997","-0,033","0,044","0,055","1,000","-0,019","-0,004","0,013","0,999","-0,021","0,024","-0,006"
729,"0,999","0,017","0,047","0,020","0,998","-0,026","0,056","0,019","1,000","-0,007","0,009","-0,003","0,999","0,015","0,049","-0,002","0,997","-0,034","0,044","0,056","1,000","-0,020","-0,003","0,014","0,999","-0,022","0,024","-0,006"
730,"0,998","0,019","0,048","0,020","0,998","-0,026","0,056","0,020","1,000","-0,007","0,007","-0,003","0,999","0,015","0,050","-0,001","0,997","-0,035","0,045","0,058","1,000","-0,020","-0,003","0,014","0,999","-0,022","0,024","-0,006"
731,"0,998","0,020","0,048","0,020","0,998","-0,026","0,056","0,022","1,000","-0,008","0,006","-0,003","0,999","0,014","0,051","-0,001","0,997","-0,036","0,045","0,059","1,000","-0,021","-0,003","0,015","0,999","-0,022","0,024","-0,006"
732,"0,998","0,022","0,049","0,021","0,998","-0,025","0,057","0,023","1,000","-0,008","0,005","-0,003","0,999","0,014","0,051","0,000","0,996","-0,037","0,046","0,060","1,000","-0,022","-0,004","0,015","0,999","-0,023","0,023","-0,005"
733,"0,998","0,023","0,050","0,021","0,998","-0,025","0,057","0,024","1,000","-0,008","0,004","-0,002","0,999","0,013","0,052","0,001","0,996","-0,038","0,047","0,062","1,000","-0,024","-0,004","0,016","0,999","-0,023","0,023","-0,005"
