Index,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z
417,"1,000","-0,010","0,003","-0,002","1,000","-0,003","0,005","-0,002","1,000","-0,004","0,006","-0,002","1,000","-0,005","0,004","-0,003","1,000","-0,001","0,005","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,005","0,001","-0,002"
418,"1,000","-0,010","0,002","-0,002","1,000","-0,002","0,005","-0,002","1,000","-0,003","0,006","-0,002","1,000","-0,005","0,004","-0,003","1,000","-0,001","0,005","-0,002","1,000","-0,001","0,003","-0,002","1,000","-0,005","0,001","-0,002"
419,"1,000","-0,010","0,002","-0,002","1,000","-0,002","0,005","-0,002","1,000","-0,004","0,006","-0,002","1,000","-0,005","0,004","-0,003","1,000","-0,002","0,005","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,005","0,000","-0,002"
420,"1,000","-0,010","0,003","-0,002","1,000","-0,002","0,005","-0,002","1,000","-0,003","0,006","-0,002","1,000","-0,005","0,004","-0,002","1,000","-0,001","0,005","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,005","0,001","-0,002"
421,"1,000","-0,011","0,003","-0,002","1,000","-0,002","0,005","-0,002","1,000","-0,003","0,006","-0,002","1,000","-0,004","0,003","-0,002","1,000","-0,001","0,004","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,005","0,001","-0,002"
422,"1,000","-0,011","0,003","-0,002","1,000","-0,002","0,005","-0,002","1,000","-0,004","0,006","-0,002","1,000","-0,004","0,003","-0,002","1,000","-0,002","0,004","-0,002","1,000","0,000","0,002","-0,002","1,000","-0,004","0,001","-0,002"
423,"1,000","-0,011","0,003","-0,002","1,000","-0,002","0,004","-0,002","1,000","-0,004","0,006","-0,002","1,000","-0,004","0,003","-0,002","1,000","-0,002","0,004","-0,002","1,000","-0,001","0,003","-0,002","1,000","-0,004","0,000","-0,002"
424,"1,000","-0,011","0,003","-0,002","1,000","-0,002","0,005","-0,002","1,000","-0,004","0,006","-0,002","1,000","-0,004","0,003","-0,002","1,000","-0,002","0,004","-0,002","1,000","-0,001","0,003","-0,002","1,000","-0,004","0,001","-0,002"
425,"1,000","-0,010","0,004","-0,002","1,000","-0,003","0,005","-0,002","1,000","-0,004","0,006","-0,002","1,000","-0,005","0,003","-0,002","1,000","-0,002","0,004","-0,002","1,000","-0,001","0,003","-0,002","1,000","-0,004","0,001","-0,002"
426,"1,000","-0,010","0,004","-0,002","1,000","-0,003","0,005","-0,002","1,000","-0,004","0,006","-0,002","1,000","-0,005","0,003","-0,002","1,000","-0,002","0,004","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,004","0,001","-0,002"
427,"1,000","-0,010","0,004","-0,002","1,000","-0,003","0,005","-0,002","1,000","-0,004","0,006","-0,002","1,000","-0,005","0,003","-0,002","1,000","-0,002","0,004","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,004","0,001","-0,002"
428,"1,000","-0,010","0,004","-0,002","1,000","-0,003","0,005","-0,002","1,000","-0,004","0,006","-0,002","1,000","-0,005","0,003","-0,002","1,000","-0,002","0,005","-0,002","1,000","0,000","0,003","-0,002","1,000","-0,004","0,001","-0,002"
