Index,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z
356,"0,002","-0,004","0,882","-0,003","-0,004","1,008","-0,001","0,005","0,951","0,002","0,004","0,951","0,000","-0,007","1,043","0,000","-0,001","0,962","0,003","0,001","1,003"
357,"0,000","0,000","0,882","0,001","0,002","1,008","0,002","0,005","0,947","0,006","0,000","0,949","0,000","0,002","1,040","-0,003","-0,004","0,961","0,006","-0,004","1,007"
358,"-0,002","-0,003","0,880","-0,003","-0,005","1,007","0,002","0,003","0,947","0,000","-0,004","0,951","0,006","-0,001","1,041","-0,005","0,003","0,962","0,004","0,005","1,006"
359,"-0,002","-0,002","0,887","-0,005","-0,007","1,000","0,004","0,001","0,946","0,004","-0,001","0,949","0,000","0,004","1,042","-0,002","0,000","0,966","0,003","-0,008","1,008"
360,"-0,004","-0,004","0,889","-0,002","-0,009","1,008","-0,004","0,002","0,946","0,003","-0,002","0,953","-0,001","-0,002","1,043","0,002","-0,001","0,959","0,001","0,003","1,012"
361,"-0,001","-0,001","0,881","-0,003","-0,005","1,002","-0,001","0,000","0,945","-0,001","0,003","0,949","0,002","-0,004","1,046","-0,002","-0,003","0,955","0,005","-0,003","1,011"
362,"-0,003","-0,002","0,884","-0,003","-0,003","1,009","-0,004","0,002","0,948","0,001","0,009","0,951","0,003","-0,011","1,044","0,001","-0,003","0,964","-0,002","0,003","1,015"
363,"0,003","-0,002","0,887","-0,002","0,004","1,008","0,004","0,006","0,952","0,005","0,001","0,945","0,003","0,000","1,044","0,001","-0,005","0,956","0,000","0,000","1,013"
364,"0,000","0,002","0,880","0,000","-0,006","1,009","-0,001","0,002","0,949","0,002","0,001","0,956","0,000","-0,001","1,043","0,003","0,001","0,955","-0,006","0,008","1,009"
365,"-0,003","0,002","0,885","-0,002","-0,003","1,002","0,000","0,001","0,942","0,005","-0,002","0,949","-0,001","0,003","1,039","-0,004","0,000","0,964","-0,007","0,003","1,009"
366,"-0,003","0,008","0,880","-0,002","-0,004","1,007","-0,001","0,005","0,948","0,001","0,000","0,954","-0,001","0,002","1,042","-0,001","0,002","0,958","0,002","0,001","1,008"
367,"-0,005","0,006","0,881","-0,002","-0,001","1,009","-0,002","0,004","0,945","0,001","0,005","0,955","-0,002","0,006","1,041","0,000","0,002","0,955","0,006","0,007","1,004"
368,"-0,003","0,008","0,883","-0,003","-0,004","1,012","0,002","0,003","0,950","0,001","0,006","0,954","-0,001","0,001","1,040","-0,003","0,002","0,961","-0,001","0,001","1,004"
369,"-0,004","0,005","0,880","0,000","0,005","1,009","0,000","-0,002","0,942","0,001","0,011","0,958","0,000","0,005","1,039","-0,002","0,002","0,959","-0,001","-0,001","1,006"
370,"-0,007","0,004","0,879","-0,002","0,006","1,008","0,000","0,003","0,945","0,000","0,002","0,949","-0,002","0,001","1,045","-0,001","-0,001","0,964","0,003","0,001","1,003"
371,"-0,001","0,004","0,880","0,000","-0,005","1,007","0,000","0,002","0,946","0,001","0,012","0,949","-0,004","0,003","1,039","0,000","0,001","0,958","0,005","-0,005","1,005"
372,"-0,004","0,005","0,884","-0,005","0,001","1,008","-0,001","0,003","0,948","-0,002","0,008","0,948","0,001","-0,006","1,038","-0,001","0,004","0,958","0,006","0,000","1,003"
373,"-0,001","0,002","0,879","0,000","-0,005","1,005","0,003","0,003","0,953","-0,002","0,007","0,948","-0,004","0,001","1,040","0,000","0,000","0,956","0,007","-0,006","1,004"
374,"-0,003","-0,001","0,886","-0,003","0,001","1,007","-0,001","0,000","0,941","0,002","0,004","0,944","0,000","-0,009","1,048","0,000","0,002","0,957","0,008","-0,007","1,001"
375,"0,004","-0,007","0,885","-0,005","-0,006","1,010","-0,003","-0,002","0,945","0,000","0,005","0,952","-0,001","0,000","1,041","-0,002","-0,002","0,959","0,008","-0,003","1,007"
376,"0,007","0,002","0,887","-0,001","0,001","1,008","-0,001","0,003","0,951","0,001","-0,004","0,953","-0,003","-0,006","1,047","-0,002","-0,001","0,960","0,008","-0,006","1,007"
377,"-0,002","-0,007","0,882","0,000","0,000","1,005","0,003","-0,001","0,946","0,002","-0,005","0,952","0,000","-0,007","1,041","-0,004","0,003","0,959","0,005","-0,007","1,006"
378,"0,000","-0,009","0,886","-0,004","-0,002","1,011","0,002","0,005","0,948","-0,001","-0,006","0,949","0,001","-0,004","1,047","-0,003","-0,001","0,962","0,005","-0,009","1,009"
379,"-0,002","-0,006","0,879","-0,004","-0,008","1,009","0,001","-0,001","0,948","0,002","-0,006","0,949","0,000","-0,007","1,041","-0,002","-0,004","0,959","0,006","-0,002","1,007"
380,"0,001","-0,005","0,884","0,000","-0,008","1,007","-0,002","0,001","0,948","0,001","-0,001","0,956","0,002","-0,002","1,040","-0,004","0,001","0,959","0,010","-0,004","1,008"
381,"-0,001","-0,013","0,878","-0,005","-0,006","1,007","0,000","0,000","0,951","0,000","-0,002","0,955","0,003","-0,006","1,041","-0,002","0,004","0,955","0,003","-0,007","1,007"
382,"-0,002","-0,002","0,885","-0,004","-0,011","1,009","-0,003","0,001","0,943","0,003","-0,002","0,949","-0,001","-0,009","1,044","0,001","0,002","0,965","0,005","-0,005","1,009"
383,"-0,003","-0,005","0,882","0,000","-0,006","1,008","-0,004","0,004","0,948","0,002","-0,004","0,946","0,006","-0,004","1,040","-0,001","-0,002","0,959","0,007","0,000","1,002"
384,"-0,003","0,001","0,888","-0,003","-0,002","1,005","-0,002","0,002","0,949","0,004","-0,001","0,951","0,004","0,000","1,044","-0,002","-0,003","0,955","0,003","-0,009","1,004"
385,"-0,001","0,000","0,883","0,000","-0,005","1,006","0,002","0,000","0,946","-0,002","0,000","0,950","-0,001","-0,007","1,043","-0,003","0,001","0,964","0,000","-0,005","1,009"
386,"-0,001","-0,004","0,875","-0,002","0,003","1,006","-0,002","0,001","0,945","0,004","0,003","0,951","0,001","0,002","1,040","0,003","-0,003","0,963","0,001","0,000","1,005"
387,"-0,001","0,004","0,884","-0,002","-0,005","1,010","-0,003","0,000","0,946","-0,001","0,003","0,951","0,002","-0,005","1,041","0,002","0,003","0,956","0,003","0,000","1,002"
388,"0,003","0,003","0,877","-0,001","-0,002","1,010","-0,001","-0,003","0,943","0,004","0,008","0,953","-0,001","-0,004","1,042","0,003","-0,002","0,959","0,003","-0,001","1,005"
389,"0,000","0,000","0,881","-0,003","-0,004","1,011","0,003","0,002","0,944","0,002","0,003","0,950","0,003","0,001","1,041","-0,001","0,002","0,956","0,004","0,000","0,997"
390,"0,005","0,008","0,887","-0,003","-0,001","1,007","-0,001","0,001","0,946","0,001","0,008","0,952","0,002","0,001","1,044","0,000","0,002","0,958","0,006","-0,001","1,005"
391,"0,002","0,004","0,882","0,000","-0,002","1,006","0,001","0,001","0,946","0,002","0,004","0,954","-0,001","0,000","1,042","-0,001","-0,002","0,957","0,004","0,002","1,005"
392,"0,001","0,006","0,883","0,000","-0,002","1,009","0,000","-0,002","0,948","0,001","0,003","0,953","0,000","0,001","1,038","-0,001","0,000","0,958","0,004","0,002","1,004"
393,"0,001","0,002","0,882","-0,001","0,002","1,006","0,000","-0,001","0,943","0,005","-0,001","0,958","0,001","0,001","1,038","-0,003","0,002","0,960","0,001","0,005","1,011"
394,"-0,002","0,001","0,881","-0,003","-0,002","1,008","-0,002","-0,002","0,943","0,004","-0,001","0,949","0,003","0,001","1,038","-0,001","-0,002","0,961","0,006","0,001","1,010"
395,"-0,001","0,002","0,882","0,000","-0,004","1,009","-0,003","0,000","0,944","0,007","0,004","0,952","0,003","0,002","1,041","0,001","0,001","0,955","0,002","-0,004","1,009"
396,"-0,003","0,000","0,882","-0,002","-0,002","1,008","0,003","0,006","0,946","0,008","-0,001","0,945","-0,003","0,001","1,040","0,001","-0,001","0,954","0,007","0,002","1,010"
397,"-0,007","-0,004","0,884","-0,003","0,000","1,007","0,001","0,001","0,950","0,001","0,001","0,952","0,000","-0,001","1,046","-0,004","-0,004","0,957","0,002","-0,001","1,007"
398,"-0,003","0,005","0,888","-0,001","-0,007","1,008","0,002","0,002","0,947","0,007","0,005","0,951","-0,001","0,000","1,039","-0,003","0,005","0,960","0,006","0,003","1,010"
399,"-0,002","0,000","0,888","-0,004","-0,005","1,007","-0,001","0,002","0,950","0,002","0,002","0,946","-0,003","0,002","1,045","-0,004","0,000","0,963","0,002","-0,004","1,009"
400,"-0,009","0,004","0,880","-0,005","0,006","1,005","-0,003","0,002","0,943","0,002","0,003","0,950","-0,002","-0,003","1,043","-0,001","0,000","0,959","0,000","0,001","1,007"
401,"-0,001","0,002","0,879","-0,003","-0,003","1,008","-0,001","0,002","0,944","0,001","0,006","0,953","-0,002","0,003","1,041","-0,002","0,001","0,957","0,002","0,001","1,005"
402,"-0,001","0,001","0,884","-0,003","-0,005","1,009","-0,001","0,000","0,949","-0,001","0,009","0,954","0,002","-0,005","1,043","-0,002","-0,002","0,956","0,008","0,007","1,004"
403,"-0,001","-0,002","0,881","-0,006","-0,004","1,013","0,000","0,003","0,946","-0,004","0,003","0,954","-0,001","-0,004","1,041","-0,003","-0,002","0,958","0,006","-0,001","1,004"
404,"-0,002","0,000","0,886","0,002","0,000","1,009","-0,002","0,000","0,944","-0,001","0,008","0,950","-0,001","-0,003","1,046","-0,005","0,000","0,959","-0,003","0,002","1,001"
405,"-0,003","0,001","0,882","0,003","-0,001","1,009","0,000","-0,001","0,943","-0,007","0,002","0,951","0,001","-0,002","1,042","-0,002","-0,002","0,956","0,000","-0,001","1,004"
406,"0,000","-0,001","0,889","-0,001","-0,004","1,010","0,002","0,003","0,947","-0,004","0,004","0,951","-0,001","0,000","1,044","-0,004","-0,001","0,957","0,004","-0,004","1,009"
407,"0,003","0,000","0,881","0,001","0,001","1,006","0,002","0,000","0,945","-0,004","0,000","0,948","0,000","0,004","1,043","-0,002","0,007","0,964","-0,002","-0,005","1,009"
408,"-0,001","-0,002","0,889","-0,002","-0,001","1,004","-0,004","0,000","0,947","0,000","-0,001","0,951","-0,003","-0,007","1,042","0,000","-0,003","0,963","0,000","-0,002","1,001"
409,"-0,003","0,000","0,889","-0,004","-0,005","1,006","-0,001","0,000","0,943","-0,003","-0,002","0,950","0,001","-0,005","1,042","-0,004","-0,004","0,957","0,005","-0,006","1,005"
410,"0,000","-0,005","0,885","-0,003","-0,001","1,006","-0,002","0,004","0,947","-0,003","-0,004","0,943","0,000","-0,004","1,047","-0,002","-0,001","0,956","0,005","0,000","1,012"
411,"-0,005","-0,006","0,880","-0,004","-0,006","1,006","-0,003","0,000","0,947","-0,001","0,001","0,950","-0,005","-0,004","1,040","0,000","0,001","0,958","0,002","0,002","1,006"
412,"-0,004","-0,004","0,883","-0,001","-0,009","1,009","-0,001","0,003","0,953","-0,003","0,003","0,955","-0,002","-0,003","1,045","-0,003","0,001","0,962","0,003","0,003","1,008"
413,"-0,002","0,000","0,881","-0,002","-0,007","1,006","-0,001","0,000","0,946","-0,003","0,003","0,953","0,003","-0,003","1,040","0,003","-0,001","0,956","0,004","-0,002","1,008"
414,"-0,008","-0,002","0,884","-0,003","-0,009","1,007","-0,001","0,001","0,944","-0,001","0,001","0,952","0,003","-0,003","1,046","-0,002","0,000","0,957","0,004","0,001","1,009"
415,"-0,001","0,001","0,884","-0,002","-0,004","1,005","0,000","0,002","0,944","0,003","0,003","0,953","0,000","-0,003","1,044","-0,002","0,003","0,961","0,002","0,004","1,007"
416,"-0,003","0,001","0,883","-0,005","-0,006","1,010","-0,003","0,000","0,945","0,000","0,006","0,949","0,000","-0,002","1,038","-0,002","-0,003","0,961","0,001","0,002","1,008"
417,"-0,002","0,004","0,879","-0,005","-0,003","1,009","-0,002","0,002","0,948","0,005","0,007","0,946","-0,001","0,000","1,040","0,001","-0,001","0,964","0,003","0,001","1,007"
418,"-0,004","0,002","0,884","0,001","-0,003","1,006","-0,001","0,005","0,945","0,002","0,005","0,956","0,000","0,000","1,045","-0,003","-0,002","0,959","0,002","0,001","1,005"
419,"-0,001","0,002","0,885","-0,001","0,000","1,008","-0,002","0,001","0,946","0,002","0,003","0,957","-0,002","-0,001","1,043","0,002","-0,002","0,960","0,009","-0,002","1,000"
420,"0,000","0,003","0,883","0,000","0,000","1,008","-0,001","0,003","0,949","0,002","0,003","0,952","0,001","-0,004","1,039","0,002","0,000","0,956","0,010","-0,005","0,997"
421,"0,000","0,002","0,878","0,002","-0,004","1,010","-0,003","-0,002","0,945","0,002","0,002","0,949","0,003","-0,007","1,044","-0,001","0,004","0,956","0,004","-0,002","1,005"
422,"0,001","0,005","0,882","-0,003","-0,005","1,007","0,003","0,002","0,947","0,001","0,007","0,950","0,002","-0,004","1,043","-0,002","-0,002","0,957","0,002","-0,002","1,005"
423,"-0,001","-0,003","0,880","0,000","-0,006","1,009","-0,001","0,000","0,940","0,001","0,001","0,955","-0,002","0,000","1,039","0,000","-0,002","0,956","0,006","-0,006","1,002"
424,"0,000","-0,001","0,885","-0,001","0,001","1,010","0,000","0,003","0,945","0,004","0,001","0,950","-0,002","-0,007","1,045","0,002","-0,003","0,956","0,002","-0,004","1,007"
425,"0,000","-0,003","0,881","0,002","-0,006","1,002","0,001","0,001","0,950","0,001","-0,002","0,948","0,002","-0,005","1,045","-0,007","-0,005","0,962","0,000","-0,001","1,013"
426,"-0,004","-0,006","0,880","0,002","-0,002","1,008","0,003","0,005","0,947","0,004","-0,002","0,952","0,002","-0,002","1,044","-0,004","-0,002","0,957","0,003","-0,003","1,006"
427,"-0,004","-0,004","0,881","0,003","-0,004","1,013","-0,001","0,003","0,945","0,001","0,002","0,953","0,004","-0,003","1,039","0,000","-0,001","0,965","0,004","-0,003","1,005"
