Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
544,"3,227","1,981","1,665","0,359","0,244","0,093","0,658","2,156","0,919","2,942","-2,409","-1,180","0,378","0,607","-0,161","0,152","-1,919","-1,105","3,359","-0,492","0,112"
545,"3,300","1,996","1,685","0,446","0,244","0,052","0,697","2,222","0,964","3,064","-2,457","-1,185","0,401","0,596","-0,148","0,187","-1,990","-1,143","3,447","-0,440","0,101"
546,"3,340","2,008","1,696","0,538","0,239","0,002","0,693","2,333","1,019","3,163","-2,495","-1,189","0,427","0,643","-0,119","0,169","-2,091","-1,187","3,510","-0,382","0,089"
547,"3,407","2,034","1,713","0,574","0,222","-0,061","0,690","2,452","1,090","3,242","-2,538","-1,198","0,446","0,694","-0,071","0,153","-2,207","-1,252","3,608","-0,338","0,079"
548,"3,461","2,059","1,742","0,611","0,270","-0,125","0,650","2,494","1,170","3,348","-2,591","-1,211","0,465","0,741","-0,016","0,201","-2,304","-1,338","3,694","-0,285","0,065"
549,"3,489","2,101","1,792","0,634","0,297","-0,178","0,618","2,613","1,250","3,403","-2,647","-1,231","0,501","0,744","0,019","0,225","-2,362","-1,430","3,745","-0,232","0,049"
550,"3,570","2,182","1,848","0,706","0,372","-0,211","0,642","2,682","1,324","3,505","-2,737","-1,262","0,536","0,730","0,020","0,264","-2,413","-1,497","3,844","-0,209","0,031"
551,"3,634","2,262","1,898","0,726","0,437","-0,239","0,633","2,746","1,398","3,586","-2,816","-1,291","0,544","0,735","-0,003","0,252","-2,541","-1,541","3,942","-0,182","0,010"
552,"3,628","2,326","1,940","0,763","0,438","-0,264","0,656","2,805","1,461","3,608","-2,877","-1,315","0,501","0,743","-0,016","0,222","-2,620","-1,579","3,980","-0,138","-0,013"
553,"3,675","2,419","1,974","0,854","0,433","-0,298","0,718","2,915","1,527","3,740","-2,961","-1,332","0,464","0,769","0,030","0,175","-2,747","-1,672","4,075","-0,128","-0,034"
554,"3,699","2,472","2,012","0,938","0,424","-0,347","0,766","3,005","1,607","3,856","-2,990","-1,347","0,404","0,757","0,086","0,101","-2,896","-1,777","4,143","-0,076","-0,059"
555,"3,762","2,548","2,062","1,027","0,434","-0,405","0,776","3,110","1,701","3,989","-3,033","-1,364","0,409","0,710","0,129","0,067","-3,020","-1,878","4,226","-0,035","-0,083"
556,"3,885","2,610","2,124","1,125","0,451","-0,451","0,784","3,130","1,785","4,133","-3,079","-1,379","0,456","0,682","0,147","0,040","-3,079","-1,965","4,312","0,002","-0,107"
557,"4,004","2,667","2,202","1,299","0,487","-0,483","0,854","3,212","1,853","4,280","-3,113","-1,397","0,520","0,644","0,145","0,066","-3,195","-2,048","4,390","0,050","-0,129"
558,"4,131","2,721","2,286","1,478","0,510","-0,504","0,965","3,292","1,912","4,431","-3,171","-1,423","0,558","0,662","0,141","0,055","-3,358","-2,140","4,473","0,093","-0,148"
559,"4,261","2,757","2,371","1,634","0,527","-0,528","1,026","3,348","1,980","4,573","-3,245","-1,459","0,601","0,704","0,139","0,014","-3,462","-2,227","4,558","0,134","-0,164"
560,"4,391","2,783","2,455","1,797","0,535","-0,569","1,062","3,429","2,074","4,724","-3,317","-1,506","0,647","0,766","0,149","-0,027","-3,633","-2,330","4,647","0,171","-0,175"
561,"4,506","2,810","2,543","1,910","0,605","-0,617","1,137","3,510","2,183","4,820","-3,404","-1,569","0,680","0,839","0,169","-0,001","-3,791","-2,441","4,736","0,198","-0,183"
562,"4,613","2,828","2,631","1,979","0,679","-0,655","1,122","3,564","2,299","4,908","-3,490","-1,648","0,734","0,862","0,192","-0,006","-3,917","-2,553","4,821","0,236","-0,188"
563,"4,714","2,845","2,700","2,057","0,753","-0,671","1,193","3,615","2,396","4,980","-3,560","-1,739","0,787","0,877","0,225","0,047","-4,037","-2,649","4,904","0,278","-0,191"
564,"4,798","2,843","2,752","2,156","0,751","-0,672","1,223","3,695","2,487","5,025","-3,591","-1,838","0,883","0,897","0,262","0,125","-4,107","-2,731","4,960","0,342","-0,193"
565,"4,936","2,874","2,792","2,248","0,746","-0,677","1,290","3,765","2,579","5,103","-3,660","-1,940","1,007","0,918","0,304","0,148","-4,191","-2,807","5,049","0,374","-0,191"
566,"5,046","2,892","2,819","2,370","0,752","-0,691","1,400","3,837","2,678","5,185","-3,707","-2,038","1,106","0,943","0,346","0,214","-4,303","-2,871","5,135","0,413","-0,191"
567,"5,089","2,887","2,832","2,464","0,778","-0,719","1,405","3,898","2,790","5,235","-3,706","-2,130","1,180","0,957","0,389","0,242","-4,352","-2,919","5,181","0,482","-0,194"
568,"5,159","2,935","2,829","2,596","0,795","-0,746","1,469","3,981","2,897","5,339","-3,750","-2,219","1,244","0,963","0,428","0,283","-4,453","-2,948","5,262","0,503","-0,194"
569,"5,229","2,986","2,824","2,736","0,813","-0,762","1,525","4,050","2,993","5,447","-3,797","-2,305","1,308","0,966","0,458","0,343","-4,536","-2,969","5,342","0,521","-0,195"
570,"5,279","3,060","2,823","2,884","0,832","-0,763","1,552","4,062","3,069","5,557","-3,852","-2,386","1,365","0,994","0,481","0,385","-4,603","-2,984","5,413","0,529","-0,194"
571,"5,274","3,124","2,820","3,039","0,812","-0,766","1,589","4,149","3,136","5,607","-3,870","-2,457","1,422","0,998","0,517","0,417","-4,696","-3,012","5,431","0,574","-0,197"
572,"5,336","3,200","2,823","3,195","0,785","-0,786","1,666","4,191","3,202","5,729","-3,893","-2,512","1,473","1,012","0,562","0,511","-4,810","-3,054","5,515","0,609","-0,202"
573,"5,400","3,258","2,841","3,337","0,761","-0,848","1,683","4,260","3,298","5,827","-3,891","-2,549","1,519","0,958","0,587","0,565","-4,896","-3,101","5,590","0,671","-0,210"
574,"5,416","3,319","2,870","3,484","0,755","-0,927","1,758","4,335","3,399","5,878","-3,878","-2,575","1,563","0,893","0,587","0,571","-4,941","-3,136","5,610","0,739","-0,220"
575,"5,507","3,379","2,902","3,578","0,784","-1,003","1,748","4,386","3,502","5,953","-3,873","-2,606","1,610","0,840","0,575","0,566","-4,984","-3,161","5,678","0,811","-0,230"
576,"5,579","3,430","2,936","3,673","0,827","-1,048","1,772","4,447","3,581","5,989","-3,878","-2,646","1,681","0,835","0,558","0,630","-5,115","-3,179","5,720","0,894","-0,239"
577,"5,709","3,489","2,966","3,750","0,887","-1,070","1,773","4,492","3,643","6,048","-3,902","-2,689","1,776","0,837","0,554","0,655","-5,198","-3,211","5,793","0,964","-0,250"
578,"5,819","3,526","2,988","3,854","0,903","-1,079","1,772","4,533","3,692","6,078","-3,893","-2,734","1,914","0,852","0,564","0,742","-5,328","-3,248","5,831","1,050","-0,262"
579,"5,932","3,558","3,010","3,924","0,911","-1,094","1,742","4,577","3,739","6,108","-3,914","-2,775","2,034","0,865","0,586","0,770","-5,423","-3,298","5,864","1,137","-0,274"
580,"6,033","3,589","3,038","4,008","0,897","-1,126","1,737","4,620","3,791","6,129","-3,908","-2,802","2,152","0,826","0,621","0,791","-5,522","-3,374","5,894","1,224","-0,288"
581,"6,130","3,624","3,072","4,126","0,906","-1,186","1,725","4,669","3,863","6,222","-3,935","-2,818","2,257","0,785","0,666","0,843","-5,629","-3,460","5,949","1,310","-0,304"
582,"6,151","3,619","3,100","4,267","0,909","-1,273","1,682","4,752","3,959","6,312","-3,951","-2,822","2,303","0,770","0,697","0,890","-5,740","-3,522","5,989","1,402","-0,323"
583,"6,215","3,590","3,117","4,384","0,940","-1,369","1,645","4,782","4,061","6,440","-3,979","-2,822","2,361","0,790","0,727","0,939","-5,829","-3,575","6,053","1,478","-0,343"
584,"6,272","3,541","3,115","4,496","0,986","-1,449","1,558","4,819","4,157","6,543","-3,998","-2,822","2,453","0,828","0,774","0,996","-5,939","-3,630","6,098","1,567","-0,368"
