Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
103,"-0,040","-0,314","-0,067","0,065","-0,057","0,053","-0,182","0,265","0,014","0,175","0,335","0,030","0,051","0,024","-0,015","0,232","-0,412","-0,200","0,014","0,153","-0,553"
104,"0,023","-0,350","-0,063","0,111","-0,085","0,051","-0,177","0,241","0,017","0,213","0,399","0,035","0,122","0,039","-0,028","0,301","-0,418","-0,199","0,038","0,181","-0,561"
105,"0,010","-0,390","-0,059","0,070","-0,069","0,046","-0,160","0,198","0,020","0,156","0,426","0,040","0,162","0,093","-0,038","0,290","-0,463","-0,197","0,007","0,189","-0,567"
106,"-0,015","-0,417","-0,057","0,012","-0,058","0,047","-0,225","0,188","0,019","0,097","0,431","0,044","0,202","0,122","-0,046","0,358","-0,465","-0,197","-0,024","0,180","-0,572"
107,"0,042","-0,446","-0,056","0,019","-0,054","0,049","-0,230","0,189","0,017","0,152","0,457","0,046","0,198","0,129","-0,052","0,345","-0,477","-0,195","0,012","0,176","-0,576"
108,"0,063","-0,452","-0,060","0,023","-0,029","0,047","-0,294","0,174","0,017","0,200","0,425","0,050","0,233","0,142","-0,054","0,406","-0,464","-0,192","0,025","0,145","-0,580"
109,"0,117","-0,475","-0,064","0,066","-0,013","0,042","-0,314","0,126","0,019","0,266","0,434","0,052","0,290","0,162","-0,057","0,441","-0,490","-0,186","0,057","0,135","-0,581"
110,"0,118","-0,478","-0,073","0,070","-0,028","0,038","-0,375","0,145","0,018","0,291","0,407","0,059","0,338","0,192","-0,061","0,446","-0,487","-0,179","0,044","0,102","-0,584"
111,"0,076","-0,519","-0,081","0,130","-0,070","0,034","-0,360","0,190","0,019","0,289","0,431","0,063","0,315","0,255","-0,063","0,410","-0,531","-0,172","0,008","0,104","-0,586"
112,"0,032","-0,470","-0,089","0,169","-0,039","0,034","-0,286","0,177","0,021","0,268","0,378","0,062","0,304","0,254","-0,064","0,434","-0,530","-0,168","-0,018","0,084","-0,587"
113,"0,016","-0,411","-0,098","0,177","-0,025","0,039","-0,256","0,222","0,022","0,232","0,321","0,058","0,276","0,239","-0,062","0,428","-0,590","-0,168","-0,035","0,056","-0,588"
114,"-0,001","-0,418","-0,104","0,124","-0,007","0,052","-0,252","0,216","0,020","0,220","0,322","0,048","0,236","0,179","-0,049","0,409","-0,537","-0,181","-0,025","0,089","-0,589"
115,"-0,039","-0,411","-0,110","0,111","0,030","0,064","-0,247","0,181","0,016","0,158","0,329","0,038","0,185","0,145","-0,026","0,403","-0,519","-0,201","-0,047","0,111","-0,590"
116,"-0,080","-0,391","-0,113","0,038","0,045","0,075","-0,246","0,193","0,016","0,090","0,322","0,027","0,188","0,082","-0,019","0,383","-0,505","-0,206","-0,076","0,123","-0,589"
117,"-0,123","-0,339","-0,113","0,062","0,021","0,080","-0,182","0,195","0,016","0,054","0,333","0,020","0,151","0,022","-0,017","0,347","-0,523","-0,205","-0,105","0,101","-0,587"
118,"-0,050","-0,340","-0,111","0,005","-0,002","0,079","-0,191","0,215","0,015","0,066","0,364","0,019","0,203","-0,015","-0,022","0,387","-0,474","-0,199","-0,070","0,101","-0,584"
