Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
821,"0,420","0,100","0,182","0,227","0,118","0,320","-0,380","0,186","-0,031","-0,121","-0,070","-0,145","-0,012","-0,084","-0,480","0,134","0,052","0,041","0,064","-0,050","0,161"
822,"0,297","0,212","0,465","0,231","0,010","0,403","-0,255","0,233","-0,008","-0,069","-0,026","-0,226","-0,078","-0,110","-0,349","0,226","0,294","0,102","0,190","-0,037","0,211"
823,"0,234","0,108","0,701","0,121","0,096","0,521","-0,148","0,293","-0,067","-0,166","0,138","-0,062","-0,084","-0,003","-0,189","0,170","0,306","0,080","0,129","-0,094","0,232"
824,"0,050","0,096","0,836","0,176","0,023","0,468","0,000","0,122","-0,037","-0,045","0,134","-0,078","-0,031","-0,013","0,006","0,068","0,290","-0,009","-0,240","-0,220","0,233"
825,"0,050","0,074","0,779","0,193","-0,190","0,008","0,120","0,254","0,001","0,288","0,122","0,134","0,143","0,052","0,248","0,002","0,339","0,015","-0,366","-0,352","0,216"
826,"0,050","-0,027","0,687","0,239","-0,107","-0,199","0,085","0,151","0,082","0,349","0,061","0,141","0,203","0,319","0,303","0,034","0,159","0,011","-0,493","-0,248","0,134"
827,"0,234","-0,015","0,553","0,304","-0,156","-0,133","0,090","0,066","0,068","0,128","-0,123","-0,103","0,264","-0,008","0,269","0,033","0,036","-0,048","-0,306","-0,118","0,146"
828,"-0,006","0,002","0,087","0,210","-0,096","0,176","-0,095","0,013","0,057","0,021","-0,323","-0,420","0,217","-0,047","-0,102","0,033","0,036","-0,048","-0,184","-0,061","0,121"
829,"0,423","-0,099","-0,330","0,226","-0,061","0,355","-0,187","-0,052","-0,111","-0,213","-0,124","-0,373","0,105","-0,052","-0,358","0,022","0,075","-0,002","-0,062","-0,123","0,128"
830,"0,366","-0,206","-0,943","0,104","-0,118","0,377","-0,066","-0,170","0,112","-0,219","0,095","0,018","0,215","-0,164","-0,069","0,075","-0,182","-0,099","-0,011","-0,039","-0,026"
831,"0,426","-0,364","-1,012","0,154","-0,083","0,241","0,053","-0,158","0,087","-0,028","0,157","0,547","0,154","-0,164","-0,072","0,087","-0,098","-0,086","-0,137","-0,170","-0,043"
