movement,phase,aspect_id,aspect_name,video_id,aspect_deviation
2a_2,f1,6,Bäckenet neutralt framåttippat i sagittalplan,061,0.6383
2a_2,f1,6,Bäckenet neutralt framåttippat i sagittalplan,074,0.4943
2a_2,f1,6,Bäckenet neutralt framåttippat i sagittalplan,076,0.7484
2a_2,f1,6,Bäckenet neutralt framåttippat i sagittalplan,091,0.4738
2a_2,f1,6,Bäckenet neutralt framåttippat i sagittalplan,093,0.5179
2a_2,f1,9,Thorakalrygg i neutral kyfos i sagittalplan,028,0.0
2a_2,f1,9,Thorakalrygg i neutral kyfos i sagittalplan,030,0.0
2a_2,f1,9,Thorakalrygg i neutral kyfos i sagittalplan,045,0.628
2a_2,f1,9,Thorakalrygg i neutral kyfos i sagittalplan,047,0.3508
2a_2,f1,9,Thorakalrygg i neutral kyfos i sagittalplan,059,0.105
2a_2,f1,9,Thorakalrygg i neutral kyfos i sagittalplan,061,0.6383
2a_2,f1,9,Thorakalrygg i neutral kyfos i sagittalplan,074,0.6048
2a_2,f1,9,Thorakalrygg i neutral kyfos i sagittalplan,076,0.5644
2a_2,f1,9,Thorakalrygg i neutral kyfos i sagittalplan,091,0.3122
2a_2,f1,9,Thorakalrygg i neutral kyfos i sagittalplan,093,0.8744
2a_2,f1,11,Huvudet symmetrisk position rakt ovanför bålen,028,0.0
2a_2,f1,11,Huvudet symmetrisk position rakt ovanför bålen,030,0.0
2a_2,f1,11,Huvudet symmetrisk position rakt ovanför bålen,045,0.256
2a_2,f1,11,Huvudet symmetrisk position rakt ovanför bålen,047,0.2566
2a_2,f1,11,Huvudet symmetrisk position rakt ovanför bålen,059,0.1044
2a_2,f1,11,Huvudet symmetrisk position rakt ovanför bålen,061,1.0
2a_2,f1,11,Huvudet symmetrisk position rakt ovanför bålen,074,1.0
2a_2,f1,11,Huvudet symmetrisk position rakt ovanför bålen,076,0.2581
2a_2,f1,11,Huvudet symmetrisk position rakt ovanför bålen,091,0.0475
