frame,time,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
32,0,-0.5810326,0.55330545,0.8831919,-0.5412786,0.55345553,0.6863105,-0.53890735,0.5914051,0.51940614,-0.51831824,0.6065159,0.62892115,-0.5325001,0.550157,0.4076964,-0.531666,0.5507382,0.41898388,-0.54656875,0.6805013,0.74885935,-0.5189204,0.6699267,0.6401797,-0.48349363,0.7371574,0.75500685,-0.4536565,0.7152444,0.8663276,-0.4890772,0.8653152,0.83543247,-0.46768808,0.8440669,0.84555244
33,0,-0.582037,0.5528773,0.8265306,-0.54291636,0.5517344,0.6491231,-0.53797543,0.5924331,0.5352428,-0.51793796,0.60674065,0.63420707,-0.5324363,0.55044144,0.55275476,-0.53077114,0.5486101,0.38983825,-0.54694694,0.6818355,0.7994325,-0.5191153,0.67030525,0.6842832,-0.4839824,0.73784566,0.725625,-0.4538457,0.715741,0.858254,-0.4888772,0.8659273,0.8580556,-0.4680053,0.84354913,0.83650535
34,0,-0.58178914,0.5541892,0.6316962,-0.54178125,0.552158,0.67162323,-0.538606,0.5915513,0.4688623,-0.51882476,0.60467577,0.8146736,-0.5330639,0.550037,0.4117733,-0.5306011,0.55053467,0.42373976,-0.5479739,0.6800949,0.5900817,-0.5202593,0.67036,0.8115901,-0.48376867,0.73789054,0.7119998,-0.4545113,0.7151247,0.84289247,-0.48896247,0.8659848,0.8639432,-0.46698314,0.84508574,0.9050012
35,0,-0.5826751,0.5523942,0.7213716,-0.54238296,0.55098224,0.7960389,-0.537038,0.5915927,0.4718802,-0.5179166,0.6067114,0.8179046,-0.53209484,0.54953235,0.49981254,-0.5301972,0.55033594,0.4798535,-0.5496715,0.6770611,0.75782806,-0.5206966,0.6666554,0.8821229,-0.48290417,0.7378371,0.7571335,-0.45329338,0.7150274,0.8774466,-0.48909715,0.86637986,0.8630982,-0.46810997,0.84274,0.92663765
36,0,-0.5827475,0.55276406,0.82086337,-0.5405575,0.5525476,0.74623865,-0.53862363,0.5897202,0.4833164,-0.5178146,0.6047318,0.9023552,-0.53287554,0.55116105,0.67865837,-0.5310052,0.5532391,0.34037635,-0.54749936,0.677661,0.79891974,-0.51997715,0.66703886,0.81688815,-0.48225662,0.7394189,0.7543258,-0.45444238,0.7129133,0.89975476,-0.4878291,0.86580855,0.7559697,-0.46777758,0.8445693,0.8813176
37,0,-0.58311707,0.5520032,0.7197957,-0.54216933,0.5509704,0.80150604,-0.53733253,0.5911455,0.48415825,-0.5173229,0.6068052,0.9344784,-0.5323158,0.54961413,0.54602516,-0.5309241,0.549811,0.38848323,-0.549508,0.6783037,0.838989,-0.5196551,0.6666863,0.7937194,-0.4833406,0.7388505,0.88577914,-0.45330292,0.7138074,0.81363213,-0.4886281,0.8651194,0.8621226,-0.46767703,0.8420815,0.885334
38,0,-0.58278936,0.5526774,0.7489344,-0.54218644,0.5513853,0.64907616,-0.5383639,0.5908063,0.51947546,-0.5183616,0.6072576,0.69805527,-0.533771,0.5490954,0.55971026,-0.531516,0.54867315,0.42928532,-0.54664725,0.67751014,0.7884512,-0.518823,0.6656068,0.59613496,-0.4824409,0.7394927,0.75173616,-0.45435598,0.7137789,0.8843552,-0.48802915,0.8658675,0.88553977,-0.4671609,0.84410715,0.89469606
39,0,-0.58363014,0.5527729,0.92309463,-0.5422871,0.5506366,0.7665783,-0.5364513,0.59095097,0.53682524,-0.5174658,0.6068116,0.6925892,-0.53236675,0.54894334,0.56457305,-0.5308367,0.5531143,0.3202036,-0.5486441,0.6772946,0.8391398,-0.5200764,0.664928,0.92220163,-0.48245558,0.7372164,0.80609536,-0.45344216,0.7134934,0.90450275,-0.48904794,0.8649847,0.879184,-0.46728703,0.8429278,0.9287197
40,0,-0.58141446,0.5540115,0.84323424,-0.541172,0.55249107,0.73787117,-0.538788,0.5899164,0.48739284,-0.5186686,0.6037314,0.8096434,-0.53327286,0.5510961,0.640209,-0.53113824,0.5525382,0.3622132,-0.5469093,0.6815684,0.84438527,-0.5189784,0.66868377,0.68644834,-0.48305064,0.7397972,0.70616424,-0.45422068,0.71410877,0.81491005,-0.48806325,0.865778,0.75242877,-0.46729776,0.84511834,0.9205476
41,0,-0.5826945,0.55309176,0.8764953,-0.5421904,0.55107605,0.7709542,-0.53777665,0.5920995,0.54721993,-0.5175653,0.6071438,0.76209414,-0.5322567,0.550563,0.557333,-0.5304404,0.55052346,0.41863397,-0.54754126,0.67969596,0.69344884,-0.5193776,0.6688134,0.8689785,-0.48359922,0.7374412,0.79229355,-0.4536106,0.7154734,0.8959336,-0.4888299,0.86559665,0.80865985,-0.46726295,0.84422517,0.8559398
