Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
1378,"1,000","0,015","-0,011","-0,001","0,995","0,097","0,009","0,017","0,994","0,104","-0,023","-0,041","0,994","0,104","0,018","-0,022","0,998","0,038","0,037","0,016","0,684","-0,707","0,160","-0,082","0,710","-0,698","-0,089","0,031"
1379,"1,000","0,015","-0,011","0,000","0,995","0,099","0,009","0,018","0,993","0,106","-0,024","-0,041","0,994","0,104","0,017","-0,022","0,998","0,038","0,037","0,016","0,679","-0,711","0,162","-0,084","0,705","-0,703","-0,091","0,034"
1380,"1,000","0,015","-0,012","0,000","0,995","0,101","0,010","0,019","0,993","0,109","-0,024","-0,041","0,994","0,104","0,017","-0,021","0,998","0,038","0,037","0,016","0,676","-0,714","0,164","-0,086","0,701","-0,707","-0,092","0,036"
1381,"1,000","0,015","-0,012","0,000","0,994","0,103","0,010","0,020","0,993","0,111","-0,024","-0,040","0,994","0,105","0,017","-0,021","0,998","0,038","0,037","0,017","0,672","-0,717","0,165","-0,088","0,697","-0,710","-0,094","0,039"
1382,"1,000","0,015","-0,012","0,000","0,994","0,105","0,010","0,021","0,993","0,113","-0,024","-0,040","0,994","0,106","0,017","-0,020","0,998","0,038","0,038","0,017","0,669","-0,719","0,166","-0,089","0,693","-0,713","-0,096","0,041"
1383,"1,000","0,014","-0,013","0,000","0,994","0,107","0,011","0,022","0,992","0,115","-0,024","-0,039","0,994","0,108","0,017","-0,020","0,998","0,037","0,038","0,017","0,666","-0,721","0,167","-0,090","0,691","-0,715","-0,097","0,043"
1384,"1,000","0,013","-0,014","0,001","0,994","0,109","0,011","0,023","0,992","0,117","-0,024","-0,038","0,994","0,110","0,017","-0,019","0,998","0,037","0,039","0,017","0,664","-0,723","0,168","-0,090","0,688","-0,717","-0,099","0,045"
1385,"1,000","0,012","-0,015","0,001","0,993","0,111","0,011","0,024","0,992","0,118","-0,024","-0,037","0,993","0,111","0,017","-0,019","0,998","0,036","0,039","0,017","0,663","-0,724","0,168","-0,090","0,686","-0,719","-0,100","0,047"
1386,"1,000","0,012","-0,015","0,001","0,993","0,112","0,011","0,024","0,992","0,119","-0,024","-0,036","0,993","0,112","0,016","-0,018","0,998","0,035","0,039","0,017","0,662","-0,726","0,167","-0,088","0,684","-0,721","-0,101","0,048"
1387,"1,000","0,011","-0,015","0,001","0,993","0,114","0,011","0,024","0,992","0,120","-0,024","-0,036","0,993","0,112","0,016","-0,018","0,998","0,035","0,040","0,018","0,661","-0,727","0,166","-0,086","0,682","-0,723","-0,101","0,047"
1388,"1,000","0,010","-0,016","0,001","0,993","0,115","0,011","0,024","0,992","0,120","-0,023","-0,035","0,994","0,110","0,016","-0,018","0,998","0,034","0,040","0,018","0,661","-0,727","0,164","-0,085","0,681","-0,724","-0,100","0,047"
1389,"1,000","0,009","-0,017","0,002","0,993","0,116","0,010","0,023","0,992","0,121","-0,023","-0,034","0,994","0,108","0,016","-0,017","0,999","0,032","0,040","0,017","0,661","-0,728","0,163","-0,083","0,680","-0,725","-0,099","0,045"
1390,"1,000","0,009","-0,017","0,002","0,993","0,116","0,010","0,023","0,992","0,121","-0,023","-0,033","0,994","0,106","0,016","-0,017","0,999","0,031","0,040","0,017","0,661","-0,728","0,162","-0,082","0,680","-0,725","-0,099","0,044"
1391,"1,000","0,008","-0,017","0,002","0,993","0,116","0,010","0,022","0,992","0,120","-0,023","-0,032","0,994","0,104","0,016","-0,017","0,999","0,031","0,040","0,017","0,663","-0,727","0,161","-0,081","0,681","-0,725","-0,098","0,043"
1392,"1,000","0,007","-0,017","0,002","0,993","0,116","0,010","0,023","0,992","0,119","-0,022","-0,032","0,994","0,103","0,016","-0,017","0,999","0,030","0,040","0,017","0,664","-0,726","0,160","-0,081","0,682","-0,724","-0,097","0,042"
1393,"1,000","0,007","-0,017","0,002","0,993","0,116","0,011","0,023","0,992","0,118","-0,022","-0,031","0,995","0,102","0,016","-0,017","0,999","0,030","0,039","0,017","0,666","-0,724","0,159","-0,080","0,683","-0,723","-0,095","0,041"
1394,"1,000","0,006","-0,018","0,002","0,993","0,115","0,011","0,024","0,992","0,117","-0,022","-0,031","0,995","0,102","0,016","-0,018","0,999","0,030","0,039","0,018","0,668","-0,722","0,158","-0,080","0,685","-0,721","-0,094","0,039"
1395,"1,000","0,006","-0,018","0,002","0,993","0,114","0,011","0,025","0,993","0,115","-0,022","-0,031","0,995","0,102","0,016","-0,018","0,999","0,029","0,040","0,018","0,671","-0,721","0,157","-0,079","0,687","-0,720","-0,092","0,037"
1396,"1,000","0,006","-0,018","0,002","0,993","0,112","0,012","0,025","0,993","0,114","-0,022","-0,032","0,995","0,101","0,015","-0,019","0,999","0,028","0,040","0,018","0,673","-0,719","0,156","-0,078","0,690","-0,717","-0,090","0,035"
