Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
110,"-0,069","0,261","-0,143","0,167","0,218","-0,210","0,186","-0,019","-0,243","0,600","0,092","-0,026","-0,156","-0,038","0,046","-0,018","0,381","-0,049","-0,057","0,484","0,263"
111,"-0,160","0,273","0,015","0,066","0,051","-0,525","0,039","-0,092","-0,612","0,600","0,311","-0,134","-0,134","0,159","-0,109","-0,034","0,438","-0,342","0,069","0,353","0,154"
112,"-0,180","0,284","-0,068","0,117","0,075","-0,613","-0,026","-0,122","-0,661","0,541","0,393","-0,243","0,057","0,054","-0,142","-0,144","0,647","-0,448","0,220","0,186","0,119"
113,"-0,417","0,255","-0,014","0,263","0,049","-0,410","-0,038","-0,023","-0,857","0,486","0,450","-0,544","0,153","0,138","-0,189","-0,026","0,876","-0,435","0,473","-0,141","0,121"
114,"-0,212","0,181","0,016","0,151","0,216","-0,345","-0,094","-0,046","-0,770","0,426","0,313","-0,547","0,096","0,270","-0,149","0,275","0,795","-0,594","0,589","-0,120","0,092"
115,"-0,226","0,229","-0,019","0,333","0,212","-0,366","-0,026","-0,122","-0,661","0,122","0,310","-0,553","0,220","0,213","-0,156","0,098","0,933","-0,557","0,439","-0,189","0,209"
116,"-0,138","-0,104","-0,084","0,328","0,130","-0,392","0,099","-0,093","-0,616","0,070","0,148","-0,883","0,333","0,317","-0,056","0,142","1,301","-0,615","0,337","-0,030","0,173"
117,"-0,323","0,082","0,030","0,133","0,142","0,043","0,131","0,095","-0,163","0,318","-0,149","-0,935","0,350","0,091","-0,028","0,181","1,880","-0,886","0,099","0,002","0,270"
118,"0,024","0,209","-0,038","0,091","0,282","0,182","0,148","0,163","0,078","0,193","-0,151","-0,801","0,404","0,054","0,173","0,287","2,311","-0,884","0,090","0,155","0,350"
119,"0,082","0,460","0,069","0,104","0,148","0,320","0,104","0,232","0,324","-0,177","-0,184","-0,592","0,490","0,176","0,173","0,477","2,687","-0,973","-0,223","0,536","0,144"
120,"0,002","-0,018","0,296","0,184","0,041","0,505","0,053","0,187","0,494","-0,304","-0,270","-0,350","0,150","0,233","0,052","0,593","3,021","-1,067","-0,526","0,938","-0,005"
121,"0,066","0,066","0,067","0,108","0,040","0,377","0,108","0,073","0,414","-0,122","-0,296","-0,264","0,060","-0,038","0,173","0,726","3,231","-1,109","-0,769","1,284","0,050"
122,"0,071","0,225","0,176","0,038","0,067","0,302","0,217","0,034","0,218","-0,009","-0,188","0,094","0,147","0,083","0,173","0,798","3,377","-1,212","-0,976","1,430","-0,159"
123,"0,062","-0,133","0,222","0,104","0,148","0,320","0,334","0,002","0,157","-0,261","-0,057","0,362","0,023","0,141","0,179","0,991","3,182","-0,956","-0,751","1,389","-0,055"
124,"-0,129","-0,106","0,227","-0,023","-0,122","0,340","0,262","-0,277","0,040","-0,204","0,078","0,501","-0,063","0,019","0,180","1,134","2,827","-0,855","-0,552","1,213","-0,161"
125,"-0,122","-0,191","0,214","-0,144","-0,119","0,354","0,200","-0,223","0,014","-0,387","0,296","0,390","-0,007","0,132","0,259","0,783","1,997","-0,438","-0,257","0,726","0,150"
126,"-0,096","-0,248","0,022","0,092","0,038","0,241","0,244","-0,292","-0,231","-0,876","0,317","0,434","-0,224","0,132","0,132","0,458","1,231","-0,240","-0,250","0,346","0,410"
127,"-0,031","-0,203","0,056","-0,247","-0,042","-0,020","0,012","-0,198","-0,057","-1,053","0,372","0,130","-0,157","0,085","0,106","-0,029","0,297","0,113","-0,208","0,242","0,242"
