Frame,ms,footscan Z_L,footscan Z_R
458.0,1809.97,390.73,430.0
459.0,1813.92,390.73,428.59
460.0,1817.88,391.13,428.38
461.0,1821.83,391.74,427.37
462.0,1825.78,391.54,428.38
463.0,1829.73,392.35,428.59
464.0,1833.68,392.15,428.99
465.0,1837.64,392.15,430.81
466.0,1841.59,392.35,431.02
467.0,1845.54,391.94,431.42
468.0,1849.49,392.55,431.42
469.0,1853.44,391.34,432.43
470.0,1857.39,390.93,432.84
471.0,1861.35,391.13,433.45
472.0,1865.3,391.94,434.46
473.0,1869.25,392.35,435.07
474.0,1873.2,392.55,434.86
475.0,1877.15,392.35,435.07
476.0,1881.11,392.35,435.27
477.0,1885.06,392.55,435.88
478.0,1889.01,392.96,436.48
479.0,1892.96,392.75,436.08
480.0,1896.91,393.16,436.48
481.0,1900.87,393.36,436.48
482.0,1904.82,393.97,436.68
483.0,1908.77,395.59,436.68
484.0,1912.72,397.21,437.29
485.0,1916.67,397.61,439.32
486.0,1920.63,398.22,440.33
487.0,1924.58,398.42,440.73
488.0,1928.53,395.79,440.53
489.0,1932.48,395.59,442.76
490.0,1936.43,396.4,443.37
491.0,1940.38,395.39,443.37
492.0,1944.34,393.36,442.96
493.0,1948.29,391.13,441.14
494.0,1952.24,389.11,442.56
495.0,1956.19,386.68,441.34
496.0,1960.14,387.69,442.56
497.0,1964.1,389.31,443.77
498.0,1968.05,388.3,446.2
