frame,time,nose_x,nose_y,nose_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
37,0,0.47873798,0.48489684,0.6468265,0.52295375,0.545677,0.7102558,0.48048094,0.5403296,0.7758857,0.5212528,0.6434166,0.78856087,0.47886422,0.61877906,0.63102657,0.4824587,0.69447315,0.461504,0.47311047,0.68808365,0.6166009,0.52169067,0.68541497,0.715919,0.4911996,0.67620474,0.5913991,0.46915352,0.7523918,0.532367,0.4403397,0.72893596,0.69828033,0.48492044,0.8700851,0.76796633,0.46719292,0.84270936,0.64342934
38,0,0.47940174,0.48456737,0.62292355,0.52342236,0.5458543,0.7958493,0.48043117,0.54052836,0.6301641,0.5209979,0.6441871,0.8011193,0.47847527,0.6194489,0.6320694,0.48212278,0.69528514,0.55377597,0.472432,0.6895506,0.68045264,0.5222826,0.68378234,0.7008134,0.49239424,0.67748946,0.64055645,0.4688214,0.7518072,0.5685193,0.4405456,0.7269904,0.72108024,0.48474064,0.871094,0.85925174,0.4659949,0.8423741,0.74305284
39,0,0.47887394,0.48517627,0.5975264,0.52304095,0.54553515,0.7594313,0.48065814,0.54063034,0.7811818,0.5212831,0.64382124,0.7962559,0.4787555,0.6190797,0.65216285,0.48224735,0.6943379,0.5397084,0.47310102,0.6884193,0.62035424,0.52209586,0.68547535,0.7257636,0.49166602,0.67712367,0.6292209,0.4687675,0.7527562,0.58538556,0.44025266,0.728486,0.73726904,0.484211,0.8696627,0.79524773,0.46655542,0.84300816,0.676566
40,0,0.47899038,0.48486927,0.5250851,0.52355707,0.5439119,0.87571305,0.47951278,0.5396146,0.5921203,0.5214115,0.6438342,0.89628005,0.4780946,0.61918324,0.77458316,0.48191634,0.69539344,0.6746458,0.47216067,0.6890983,0.7531949,0.5245634,0.6830955,0.77318585,0.49347448,0.67693275,0.751997,0.46812642,0.7514626,0.6809695,0.44016874,0.7273947,0.88379323,0.4838501,0.86777425,0.8716128,0.46583846,0.84193045,0.8363898
41,0,0.47935835,0.48483643,0.7443772,0.52344364,0.5443725,0.72389895,0.47984943,0.5404713,0.7743627,0.5222054,0.6431768,0.8342375,0.47697127,0.6185424,0.4592395,0.48265016,0.69424236,0.5895828,0.47357878,0.6881665,0.6689057,0.5227949,0.6847638,0.8169221,0.49218693,0.67775416,0.70625263,0.4688536,0.7541755,0.56149304,0.44072643,0.7272991,0.8511822,0.48330027,0.8695467,0.7168884,0.46619588,0.84283394,0.78234583
42,0,0.4786584,0.48533112,0.6366884,0.52315,0.54444927,0.8336697,0.48054683,0.53989565,0.7668481,0.52157366,0.64426035,0.8357386,0.4781685,0.6199216,0.7343919,0.48242855,0.69541603,0.6744115,0.47267896,0.6903255,0.7266033,0.5245111,0.6852696,0.7909865,0.4938659,0.6786638,0.71884906,0.46892256,0.7511748,0.5713308,0.4401265,0.72776634,0.85876024,0.4837998,0.8706811,0.82253057,0.46587518,0.84442455,0.7000035
43,0,0.47943223,0.48501548,0.7403889,0.52319235,0.5469181,0.6672546,0.48008546,0.54078835,0.7498036,0.5222484,0.6431018,0.6834999,0.47672737,0.62021476,0.50205636,0.48339015,0.69523877,0.61887294,0.47243884,0.6867725,0.62708926,0.52103287,0.6845937,0.6303576,0.49037996,0.6766156,0.5265792,0.4697133,0.75189084,0.40840486,0.44116783,0.72835904,0.7265932,0.48412913,0.8726115,0.82228345,0.4658837,0.8432159,0.54996365
44,0,0.47998175,0.48386,0.7372523,0.5230849,0.5432147,0.6336556,0.4807524,0.5402407,0.7054219,0.5211962,0.642877,0.8439747,0.47844893,0.61956507,0.44855264,0.4827132,0.6956526,0.56101644,0.47272786,0.68970615,0.721139,0.5227034,0.68358666,0.7131395,0.4926714,0.6775611,0.65721905,0.4679609,0.7505678,0.595508,0.44032925,0.7276346,0.7867731,0.48489004,0.87019473,0.8679479,0.46714008,0.843392,0.78613436
45,0,0.47869447,0.48505533,0.6802346,0.5232999,0.54510486,0.781931,0.48040378,0.5402621,0.77568144,0.52143186,0.64367115,0.8030822,0.47794688,0.6196261,0.59974456,0.4821358,0.69468117,0.5692017,0.47287935,0.6886101,0.64969265,0.52266854,0.6864149,0.79071397,0.49202386,0.67767376,0.65888137,0.4691774,0.75157094,0.62307817,0.4404716,0.7280093,0.7811838,0.48393753,0.8703707,0.776107,0.4670386,0.84229237,0.7012968
46,0,0.47922033,0.48449656,0.49296895,0.5234382,0.54524547,0.8209038,0.48038372,0.5398205,0.77646875,0.5215773,0.6441645,0.81086653,0.47779018,0.62008613,0.6664954,0.48265174,0.69539046,0.6598699,0.4720664,0.6898583,0.67007107,0.5239233,0.68374914,0.7395579,0.4935573,0.6783462,0.69272035,0.4693738,0.75295657,0.51089406,0.43951955,0.7281184,0.81268215,0.4837114,0.8713285,0.83400863,0.46582547,0.8432709,0.7810399
