frame,time,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
47,0,0.572773,0.5403523,0.7110064,0.537942,0.5424765,0.7489092,0.5313813,0.59669936,0.5736743,0.5266609,0.596943,0.75974435,0.53129125,0.54116696,0.43279183,0.5300324,0.5420288,0.52389884,0.554773,0.66904,0.81753343,0.5311049,0.6628369,0.8071591,0.48913845,0.7188064,0.6226477,0.47140643,0.7108389,0.739957,0.49726427,0.8641528,0.82671607,0.47657955,0.84434986,0.9309489
48,0,0.5730095,0.5398105,0.6569744,0.5381865,0.5421473,0.7845234,0.53119236,0.59747404,0.6714748,0.5280508,0.5978019,0.6888641,0.53117394,0.5401302,0.48216185,0.53019994,0.5399959,0.44461888,0.5537008,0.67166775,0.7978049,0.5287481,0.6652693,0.7864001,0.49012586,0.72069293,0.6795556,0.47117615,0.70990294,0.8429404,0.49660125,0.8639459,0.8411172,0.47582224,0.84413713,0.7964236
49,0,0.57341653,0.54021865,0.59374094,0.5379673,0.54187226,0.7992282,0.53114474,0.59561974,0.5794056,0.52779496,0.59680223,0.73143363,0.53115624,0.541331,0.4992597,0.52966964,0.54281616,0.4950288,0.55517507,0.6677005,0.77390003,0.5309649,0.66163313,0.82848096,0.48903766,0.7186707,0.6778369,0.47134253,0.709919,0.79475474,0.4971239,0.8638461,0.80328625,0.47675934,0.84254646,0.7848594
50,1,0.5738127,0.53629464,0.6990906,0.537083,0.54199964,0.9104244,0.53169805,0.5968908,0.6008595,0.5269975,0.5996132,0.859916,0.5314563,0.53849065,0.6407055,0.5301396,0.5379959,0.45761812,0.5554984,0.6689824,0.9151107,0.5296245,0.6621476,0.8595758,0.48968968,0.7197953,0.79630804,0.47095743,0.7097006,0.9117016,0.49726248,0.8626347,0.83925635,0.47630933,0.84429175,0.79422987
51,1,0.57329994,0.5377867,0.78136086,0.53737944,0.54077184,0.7663357,0.53183115,0.59653336,0.56210697,0.5273151,0.5980581,0.82833445,0.532416,0.5408697,0.70798105,0.53005797,0.5378609,0.48541918,0.5551519,0.6691845,0.7927708,0.5307172,0.66399425,0.84161794,0.48858663,0.72032946,0.59311134,0.4708518,0.71175766,0.68164086,0.49718115,0.86338556,0.78855664,0.47636935,0.84294987,0.7626443
52,1,0.57241523,0.5392252,0.7713545,0.537953,0.5403161,0.726694,0.53222245,0.59542835,0.5415663,0.5279867,0.59679455,0.68592477,0.5320475,0.5397492,0.41895303,0.5299225,0.54008454,0.4480362,0.55495507,0.6718584,0.8189782,0.5298539,0.66455734,0.7464891,0.49212345,0.72020894,0.7458936,0.4710318,0.7108323,0.6324425,0.4974372,0.8641157,0.71302176,0.47644705,0.84221274,0.92932665
53,1,0.5731366,0.5388879,0.7069707,0.53795624,0.5425222,0.7668627,0.53210944,0.59570974,0.5337325,0.52648276,0.5966659,0.8154426,0.5316521,0.5405661,0.48705763,0.5297062,0.54071313,0.42855555,0.55569345,0.6691053,0.8310949,0.53129053,0.6632395,0.8287905,0.48976535,0.7190258,0.6849379,0.47099802,0.7103072,0.7467815,0.4976768,0.86341625,0.82185215,0.4766232,0.84384745,0.93315816
54,1,0.572587,0.5391518,0.75197315,0.53925115,0.54073846,0.72467357,0.5311769,0.5962639,0.6735154,0.52702105,0.59579146,0.7136692,0.53185743,0.53969777,0.47772604,0.5307257,0.5395402,0.47615734,0.5537855,0.67193884,0.76897603,0.52921724,0.66438067,0.73744816,0.49043643,0.7190505,0.7273489,0.47110128,0.7096897,0.86639416,0.49708754,0.86526805,0.86492974,0.47634286,0.84407204,0.8764902
55,1,0.573321,0.5408795,0.6423852,0.5380406,0.5420778,0.78651714,0.53074867,0.5969457,0.58124536,0.52680343,0.5964263,0.75419503,0.53070515,0.5425878,0.5738032,0.52995735,0.54158306,0.5278432,0.5549131,0.66996485,0.8079855,0.530692,0.6633885,0.8172053,0.48993695,0.718862,0.6797767,0.4712068,0.7105147,0.7623705,0.4972075,0.86257553,0.8335107,0.47660485,0.8398666,0.90404326
56,1,0.5729921,0.53949505,0.5937288,0.537679,0.54053104,0.650879,0.5306983,0.59691113,0.6648815,0.52681565,0.5963594,0.7498025,0.5312949,0.53855807,0.42967105,0.5306556,0.5381429,0.41525054,0.5538255,0.67175597,0.82402676,0.528905,0.66433495,0.78782266,0.49080536,0.7213768,0.64265,0.4716033,0.71008337,0.8572022,0.4971528,0.864136,0.82006645,0.47682038,0.8435583,0.91722184
