Video,Movement,Joint,Mean Displacement,Std Displacement
DJI_20250425112749_0061_D,stand-to-sit,right_shoulder,0.0011,0.001
DJI_20250425112749_0061_D,stand-to-sit,left_elbow,0.0018,0.0015
DJI_20250425112749_0061_D,stand-to-sit,right_elbow,0.0134,0.0941
DJI_20250425112749_0061_D,stand-to-sit,left_wrist,0.0025,0.0022
DJI_20250425112749_0061_D,stand-to-sit,right_wrist,0.0083,0.0683
DJI_20250425112749_0061_D,stand-to-sit,left_hip,0.0031,0.003
DJI_20250425112749_0061_D,stand-to-sit,right_hip,0.0031,0.0031
DJI_20250425112749_0061_D,stand-to-sit,left_knee,0.0044,0.0038
DJI_20250425112749_0061_D,stand-to-sit,right_knee,0.0048,0.0041
DJI_20250425112749_0061_D,stand-to-sit,left_ankle,0.0046,0.0041
DJI_20250425112749_0061_D,stand-to-sit,right_ankle,0.0049,0.0041
DJI_20250425112749_0061_D,stand-to-sit,left_heel,0.0047,0.0041
DJI_20250425112749_0061_D,stand-to-sit,right_heel,0.005,0.0041
DJI_20250425112749_0061_D,stand-to-sit,left_foot_index,0.0047,0.0043
DJI_20250425112749_0061_D,stand-to-sit,right_foot_index,0.0048,0.0042
DJI_20250425120835_0074_D,stand-to-sit,nose,0.0025,0.0019
DJI_20250425120835_0074_D,stand-to-sit,left_shoulder,0.0018,0.0014
DJI_20250425120835_0074_D,stand-to-sit,right_shoulder,0.0018,0.0014
DJI_20250425120835_0074_D,stand-to-sit,left_elbow,0.0041,0.0039
DJI_20250425120835_0074_D,stand-to-sit,right_elbow,0.0039,0.0035
DJI_20250425120835_0074_D,stand-to-sit,left_wrist,0.0049,0.0041
DJI_20250425120835_0074_D,stand-to-sit,right_wrist,0.023,0.1282
DJI_20250425120835_0074_D,stand-to-sit,left_hip,0.0042,0.0044
DJI_20250425120835_0074_D,stand-to-sit,right_hip,0.0042,0.0044
DJI_20250425120835_0074_D,stand-to-sit,left_knee,0.0098,0.006
DJI_20250425120835_0074_D,stand-to-sit,right_knee,0.0236,0.1166
DJI_20250425120835_0074_D,stand-to-sit,left_ankle,0.0105,0.0075
DJI_20250425120835_0074_D,stand-to-sit,right_ankle,0.0106,0.0089
DJI_20250425120835_0074_D,stand-to-sit,left_heel,0.0106,0.0076
DJI_20250425120835_0074_D,stand-to-sit,right_heel,0.011,0.0092
DJI_20250425120835_0074_D,stand-to-sit,left_foot_index,0.0103,0.0081
DJI_20250425120835_0074_D,stand-to-sit,right_foot_index,0.0111,0.0082
DJI_20250425121226_0076_D,stand-to-sit,nose,0.0017,0.0017
DJI_20250425121226_0076_D,stand-to-sit,left_shoulder,0.001,0.0011
DJI_20250425121226_0076_D,stand-to-sit,right_shoulder,0.001,0.0011
DJI_20250425121226_0076_D,stand-to-sit,left_elbow,0.0019,0.0018
DJI_20250425121226_0076_D,stand-to-sit,right_elbow,0.008,0.0693
DJI_20250425121226_0076_D,stand-to-sit,left_wrist,0.0027,0.0027
DJI_20250425121226_0076_D,stand-to-sit,right_wrist,0.0024,0.0025
DJI_20250425121226_0076_D,stand-to-sit,left_hip,0.0027,0.0032
DJI_20250425121226_0076_D,stand-to-sit,right_hip,0.0028,0.0032
DJI_20250425121226_0076_D,stand-to-sit,left_knee,0.0048,0.0057
DJI_20250425121226_0076_D,stand-to-sit,right_knee,0.0053,0.0071
DJI_20250425121226_0076_D,stand-to-sit,left_ankle,0.0052,0.0059
DJI_20250425121226_0076_D,stand-to-sit,right_ankle,0.0053,0.0064
DJI_20250425121226_0076_D,stand-to-sit,left_heel,0.0054,0.006
DJI_20250425121226_0076_D,stand-to-sit,right_heel,0.0053,0.0064
DJI_20250425121226_0076_D,stand-to-sit,left_foot_index,0.0056,0.0059
DJI_20250425121226_0076_D,stand-to-sit,right_foot_index,0.0053,0.0062
DJI_20250425125202_0091_D,stand-to-sit,nose,0.0026,0.0014
DJI_20250425125202_0091_D,stand-to-sit,left_shoulder,0.0017,0.0014
DJI_20250425125202_0091_D,stand-to-sit,right_shoulder,0.0017,0.0014
DJI_20250425125202_0091_D,stand-to-sit,left_elbow,0.0048,0.0027
DJI_20250425125202_0091_D,stand-to-sit,right_elbow,0.0045,0.004
DJI_20250425125202_0091_D,stand-to-sit,left_wrist,0.0037,0.0025
DJI_20250425125202_0091_D,stand-to-sit,right_wrist,0.1192,0.2929
DJI_20250425125202_0091_D,stand-to-sit,left_hip,0.0045,0.0053
DJI_20250425125202_0091_D,stand-to-sit,right_hip,0.0044,0.0052
DJI_20250425125202_0091_D,stand-to-sit,left_knee,0.0095,0.0066
DJI_20250425125202_0091_D,stand-to-sit,right_knee,0.0496,0.1483
