Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
49.0,490.0,276.537,163.982,1666.0,2.275,55.550,158.377,1432.0,0.767,136.189,198.402,233.0,4.443,269.935,68.957,858.0,1.816,283.773,91.977,805.0,2.584,47.506,90.226,762.0,0.081,64.666,73.490,669.0,0.055,133.636,52.939,189.0,0.527,147.887,123.403,42.0,5.042
50.0,500.0,278.555,163.317,1664.0,2.124,55.534,157.735,1454.0,0.642,134.877,201.841,211.0,3.681,271.959,69.116,850.0,2.030,285.582,91.699,812.0,1.830,47.574,90.183,780.0,0.080,64.713,73.406,673.0,0.096,133.142,52.841,177.0,0.503,144.737,128.320,32.0,5.840
51.0,510.0,280.595,162.193,1665.0,2.329,55.478,156.932,1478.0,0.805,132.849,203.705,187.0,2.754,274.519,69.163,839.0,2.560,286.859,91.488,825.0,1.294,47.568,90.125,800.0,0.058,64.786,73.318,677.0,0.115,131.782,51.774,162.0,1.729,140.130,135.479,25.0,8.513
52.0,520.0,282.293,161.242,1669.0,1.946,55.432,156.225,1500.0,0.708,131.099,205.916,168.0,2.820,276.548,69.285,830.0,2.033,288.109,91.215,837.0,1.279,47.630,90.072,819.0,0.082,64.789,73.301,680.0,0.017,130.756,51.035,150.0,1.264,134.050,143.640,18.0,10.176
53.0,530.0,283.980,160.048,1675.0,2.067,55.450,155.412,1523.0,0.813,129.889,206.707,151.0,1.445,278.805,69.369,820.0,2.259,289.008,90.956,853.0,0.936,47.724,90.043,840.0,0.098,64.911,73.204,683.0,0.156,129.672,50.273,137.0,1.325,132.080,146.981,14.0,3.879
54.0,540.0,285.530,158.998,1680.0,1.872,55.398,154.760,1545.0,0.655,128.820,207.444,135.0,1.298,281.040,69.558,810.0,2.242,289.747,90.768,868.0,0.763,47.773,90.077,858.0,0.059,64.911,73.182,685.0,0.021,128.749,49.641,125.0,1.118,130.094,149.906,10.0,3.535
55.0,550.0,286.834,157.959,1687.0,1.667,55.422,154.075,1565.0,0.685,127.916,207.621,122.0,0.921,282.992,69.580,802.0,1.952,290.375,90.640,884.0,0.640,47.876,90.140,876.0,0.121,65.004,73.026,687.0,0.182,127.841,48.899,115.0,1.173,129.159,150.749,7.0,1.259
56.0,560.0,288.281,156.941,1687.0,1.770,55.403,153.429,1579.0,0.646,127.121,208.582,107.0,1.247,285.308,69.807,790.0,2.327,290.924,90.396,895.0,0.601,47.880,90.095,891.0,0.045,65.110,72.976,687.0,0.117,127.077,48.598,103.0,0.822,128.905,151.765,4.0,1.047
57.0,570.0,289.579,155.689,1692.0,1.803,55.454,152.524,1596.0,0.906,126.635,208.776,95.0,0.523,287.518,69.814,778.0,2.211,291.322,90.301,912.0,0.409,47.968,90.117,910.0,0.091,65.341,72.749,686.0,0.324,126.543,47.999,92.0,0.802,129.540,151.384,3.0,0.741
58.0,580.0,290.866,154.588,1696.0,1.694,55.482,151.784,1614.0,0.741,126.049,209.231,83.0,0.742,289.833,69.895,767.0,2.316,291.680,90.188,928.0,0.376,48.032,90.113,927.0,0.064,65.514,72.574,686.0,0.246,126.002,47.410,82.0,0.800,129.540,154.093,1.0,2.709
59.0,590.0,292.125,153.360,1704.0,1.759,55.558,150.939,1633.0,0.848,125.144,208.944,71.0,0.949,292.457,69.924,756.0,2.624,291.838,90.159,947.0,0.161,48.092,90.122,946.0,0.061,65.803,72.286,685.0,0.408,125.098,46.918,70.0,1.029,129.540,154.093,1.0,0.000
60.0,600.0,293.287,152.238,1712.0,1.615,55.649,150.156,1652.0,0.789,124.620,208.875,61.0,0.528,294.898,69.932,746.0,2.440,291.992,90.113,964.0,0.161,48.152,90.113,964.0,0.061,66.138,72.024,686.0,0.426,124.620,46.315,61.0,0.769,,,0.0,
61.0,610.0,294.455,151.344,1717.0,1.470,55.786,149.599,1666.0,0.573,124.497,208.700,51.0,0.214,297.519,69.965,737.0,2.622,292.098,90.179,978.0,0.125,48.258,90.179,978.0,0.125,66.462,71.725,686.0,0.441,124.497,46.140,51.0,0.214,,,0.0,
62.0,620.0,295.493,150.805,1724.0,1.170,55.940,149.363,1682.0,0.282,124.295,208.390,42.0,0.370,299.841,70.082,732.0,2.325,292.239,90.346,991.0,0.219,48.399,90.346,991.0,0.219,66.721,71.563,690.0,0.305,124.295,45.830,42.0,0.370,,,0.0,
63.0,630.0,296.369,150.146,1731.0,1.096,56.057,148.964,1697.0,0.416,123.645,208.039,35.0,0.739,301.899,70.096,726.0,2.058,292.322,90.432,1004.0,0.119,48.482,90.432,1004.0,0.119,66.990,71.329,691.0,0.357,123.645,45.479,35.0,0.739,,,0.0,
64.0,640.0,297.318,149.709,1731.0,1.045,56.200,148.797,1704.0,0.220,123.120,208.036,27.0,0.524,304.135,70.237,719.0,2.241,292.406,90.512,1010.0,0.116,48.566,90.512,1010.0,0.116,67.255,71.190,692.0,0.299,123.120,45.476,27.0,0.524,,,0.0,
65.0,650.0,298.104,149.348,1737.0,0.865,56.286,148.666,1717.0,0.157,123.458,208.233,20.0,0.391,306.036,70.263,716.0,1.901,292.467,90.611,1018.0,0.116,48.627,90.611,1018.0,0.116,67.407,70.964,696.0,0.271,123.458,45.673,20.0,0.391,,,0.0,
66.0,660.0,298.846,149.327,1739.0,0.742,56.416,148.856,1725.0,0.230,123.223,208.013,14.0,0.322,307.815,70.377,716.0,1.783,292.503,90.680,1021.0,0.077,48.663,90.680,1021.0,0.077,67.618,70.869,702.0,0.232,123.223,45.453,14.0,0.322,,,0.0,
67.0,670.0,299.374,149.242,1740.0,0.535,56.518,148.913,1731.0,0.116,123.214,208.088,10.0,0.076,309.061,70.376,715.0,1.246,292.557,90.775,1024.0,0.109,48.717,90.775,1024.0,0.109,67.768,70.717,705.0,0.214,123.214,45.528,10.0,0.076,,,0.0,
68.0,680.0,299.771,149.770,1736.0,0.661,56.637,149.540,1729.0,0.639,123.725,207.077,7.0,1.133,309.873,70.442,717.0,0.815,292.584,90.998,1016.0,0.225,48.744,90.998,1016.0,0.225,67.849,70.695,710.0,0.083,123.725,44.517,7.0,1.133,,,0.0,
69.0,690.0,300.187,150.385,1726.0,0.743,56.815,150.238,1722.0,0.720,123.444,206.045,5.0,1.070,310.602,70.466,719.0,0.730,292.673,91.189,1005.0,0.211,48.833,91.189,1005.0,0.211,67.956,70.638,715.0,0.122,123.444,43.485,5.0,1.070,,,0.0,
70.0,700.0,300.674,151.819,1702.0,1.514,57.100,151.737,1699.0,1.525,123.553,206.466,3.0,0.435,311.170,70.402,724.0,0.572,292.819,91.577,976.0,0.414,48.979,91.577,976.0,0.414,67.994,70.496,721.0,0.147,123.553,43.906,3.0,0.435,,,0.0,
71.0,710.0,300.992,153.744,1674.0,1.952,57.348,153.687,1672.0,1.967,121.920,205.740,2.0,1.787,311.288,70.591,730.0,0.223,292.935,92.093,941.0,0.530,49.095,92.093,941.0,0.530,67.922,70.660,729.0,0.179,121.920,43.180,2.0,1.787,,,0.0,
72.0,720.0,301.270,155.480,1653.0,1.757,57.586,155.435,1651.0,1.764,123.825,205.740,1.0,1.905,311.383,70.673,738.0,0.125,293.008,92.473,912.0,0.387,49.168,92.473,912.0,0.387,67.914,70.728,737.0,0.068,123.825,43.180,1.0,1.905,,,0.0,
73.0,730.0,301.612,157.485,1633.0,2.034,57.832,157.468,1632.0,2.048,124.460,206.587,1.0,1.058,311.478,70.852,749.0,0.202,293.147,92.882,881.0,0.431,49.307,92.882,881.0,0.431,67.775,70.871,749.0,0.200,124.460,44.027,1.0,1.058,,,0.0,
74.0,740.0,301.896,159.855,1613.0,2.387,58.097,159.844,1612.0,2.391,121.920,205.740,0.0,2.677,311.406,71.133,763.0,0.291,293.254,93.328,847.0,0.459,49.414,93.328,847.0,0.459,67.656,71.147,763.0,0.300,121.920,43.180,0.0,2.677,,,0.0,
75.0,750.0,302.251,162.148,1594.0,2.321,58.452,162.138,1594.0,2.321,121.920,205.740,0.0,0.000,311.439,71.272,776.0,0.142,293.441,93.933,816.0,0.633,49.601,93.933,816.0,0.633,67.688,71.285,776.0,0.142,121.920,43.180,0.0,0.000,,,0.0,
76.0,760.0,302.637,164.873,1581.0,2.752,58.797,164.873,1581.0,2.756,,,0.0,,311.454,71.554,795.0,0.283,293.625,94.568,783.0,0.661,49.785,94.568,783.0,0.661,67.614,71.554,795.0,0.280,,,0.0,,,,0.0,
77.0,770.0,303.080,167.435,1561.0,2.600,59.240,167.435,1561.0,2.600,,,0.0,,311.509,71.667,810.0,0.125,293.900,95.286,749.0,0.770,50.060,95.286,749.0,0.770,67.669,71.667,810.0,0.125,,,0.0,,,,0.0,
