Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
67.0,670.0,157.339,152.022,885.0,3.404,108.879,234.736,200.0,3.923,100.478,127.950,686.0,0.794,235.855,79.362,363.0,4.251,102.781,89.617,522.0,2.756,97.367,134.338,1.0,8.082,108.963,72.947,198.0,0.853,95.228,87.075,165.0,0.475,102.136,89.496,521.0,0.090
68.0,680.0,155.651,151.958,887.0,1.689,108.927,236.128,194.0,1.393,100.394,128.363,693.0,0.422,233.271,79.892,362.0,2.637,102.138,89.570,525.0,0.645,114.300,157.480,0.0,28.676,108.923,73.631,194.0,0.685,95.183,87.127,168.0,0.069,102.061,89.550,525.0,0.092
69.0,690.0,154.296,151.898,886.0,1.356,108.702,237.190,189.0,1.086,100.391,128.707,696.0,0.343,230.766,80.599,360.0,2.603,102.064,89.565,526.0,0.073,,,0.0,,108.702,74.630,189.0,1.023,95.211,87.243,170.0,0.120,102.064,89.565,526.0,0.016
70.0,700.0,153.218,152.122,888.0,1.100,108.403,237.979,186.0,0.844,100.388,129.331,702.0,0.624,228.140,81.172,360.0,2.688,102.055,89.562,528.0,0.010,,,0.0,,108.403,75.419,186.0,0.844,95.332,87.328,174.0,0.148,102.055,89.562,528.0,0.010
71.0,710.0,152.190,152.242,891.0,1.035,108.383,238.808,183.0,0.829,100.346,129.806,708.0,0.477,226.059,81.929,360.0,2.214,102.022,89.593,531.0,0.045,,,0.0,,108.383,76.248,183.0,0.829,95.321,87.815,177.0,0.487,102.022,89.593,531.0,0.045
72.0,720.0,151.651,152.444,893.0,0.575,108.082,239.437,182.0,0.698,100.393,130.178,711.0,0.375,224.737,82.429,361.0,1.413,102.024,89.603,532.0,0.011,,,0.0,,108.082,76.877,182.0,0.698,95.553,88.068,179.0,0.343,102.024,89.603,532.0,0.011
73.0,730.0,151.306,152.491,895.0,0.348,107.971,239.787,181.0,0.368,100.466,130.355,714.0,0.192,223.931,82.696,362.0,0.849,102.073,89.604,534.0,0.049,,,0.0,,107.971,77.227,181.0,0.368,95.719,88.178,181.0,0.199,102.073,89.604,534.0,0.049
74.0,740.0,150.997,152.533,897.0,0.313,108.011,240.278,180.0,0.492,100.487,130.467,716.0,0.114,223.408,83.103,362.0,0.663,102.059,89.593,535.0,0.019,,,0.0,,108.011,77.718,180.0,0.492,95.852,88.451,181.0,0.303,102.059,89.593,535.0,0.019
75.0,750.0,150.647,152.559,901.0,0.351,107.973,240.568,180.0,0.292,100.497,130.618,721.0,0.152,222.605,83.267,363.0,0.819,102.053,89.575,538.0,0.019,,,0.0,,107.973,78.008,180.0,0.292,95.933,88.423,183.0,0.086,102.053,89.575,538.0,0.019
76.0,760.0,150.214,152.533,904.0,0.433,107.993,240.893,179.0,0.326,100.473,130.734,725.0,0.117,221.846,83.532,364.0,0.804,102.024,89.591,540.0,0.033,,,0.0,,107.993,78.333,179.0,0.326,95.935,88.569,185.0,0.145,102.024,89.591,540.0,0.033
