Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
48.0,480.0,221.822,133.862,919.0,0.953,79.825,138.377,432.0,0.890,131.354,129.851,487.0,0.017,230.185,45.297,363.0,0.324,216.203,85.380,555.0,1.297,72.832,87.709,244.0,0.390,88.822,41.869,187.0,0.025,121.227,48.941,176.0,0.081,137.129,83.548,310.0,0.022
49.0,490.0,221.013,134.232,914.0,0.890,80.013,139.422,426.0,1.062,131.357,129.708,488.0,0.143,230.195,45.316,363.0,0.022,214.769,85.505,550.0,1.440,72.965,88.113,238.0,0.426,88.824,41.862,187.0,0.008,121.249,48.989,176.0,0.053,137.087,83.520,312.0,0.051
50.0,500.0,220.191,134.466,911.0,0.854,80.198,140.239,420.0,0.837,131.414,129.531,491.0,0.186,230.025,45.332,363.0,0.171,213.473,85.589,546.0,1.298,73.136,88.428,232.0,0.358,88.829,41.857,187.0,0.007,121.266,49.013,176.0,0.030,137.133,83.496,314.0,0.052
51.0,510.0,219.251,134.753,907.0,0.984,80.398,141.307,413.0,1.087,131.451,129.273,494.0,0.261,230.113,45.363,363.0,0.094,211.788,85.666,542.0,1.687,73.226,88.760,225.0,0.345,88.902,41.904,187.0,0.087,121.375,49.029,176.0,0.110,137.082,83.470,317.0,0.057
52.0,520.0,217.981,135.071,902.0,1.309,80.668,142.557,404.0,1.279,131.481,128.993,498.0,0.281,229.898,45.395,363.0,0.218,209.733,85.716,537.0,2.056,73.418,89.161,217.0,0.444,88.958,41.917,186.0,0.058,121.398,49.062,177.0,0.041,137.071,83.388,321.0,0.082
53.0,530.0,216.834,135.312,900.0,1.172,80.829,143.672,398.0,1.126,131.499,128.695,503.0,0.298,229.805,45.371,364.0,0.095,207.800,85.752,535.0,1.933,73.432,89.485,210.0,0.325,89.007,41.878,187.0,0.063,121.394,49.047,177.0,0.016,137.051,83.339,325.0,0.053
54.0,540.0,215.492,135.881,892.0,1.458,81.155,145.102,387.0,1.467,131.506,128.809,505.0,0.114,229.413,45.330,364.0,0.395,205.668,85.898,526.0,2.137,73.644,90.041,200.0,0.595,89.108,41.702,186.0,0.202,121.600,49.107,178.0,0.214,136.973,83.352,326.0,0.080
55.0,550.0,213.873,136.111,883.0,1.635,81.503,146.511,375.0,1.451,131.573,128.432,508.0,0.383,229.047,45.282,362.0,0.369,203.140,86.014,520.0,2.531,73.862,90.639,190.0,0.637,89.283,41.595,184.0,0.205,121.616,49.088,178.0,0.025,136.992,83.344,329.0,0.021
56.0,560.0,212.657,136.310,880.0,1.233,81.751,147.784,368.0,1.297,131.592,128.073,512.0,0.359,228.960,45.293,363.0,0.087,201.056,86.013,516.0,2.084,74.045,91.024,183.0,0.426,89.302,41.596,184.0,0.019,121.643,49.101,179.0,0.030,136.949,83.264,333.0,0.091
57.0,570.0,211.099,136.636,874.0,1.592,82.041,149.471,358.0,1.712,131.576,127.744,516.0,0.329,228.779,45.292,362.0,0.181,198.411,86.106,511.0,2.647,74.246,91.608,173.0,0.618,89.305,41.585,183.0,0.011,121.637,49.097,179.0,0.006,136.866,83.277,337.0,0.083
