Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
44.0,440.0,292.460,173.408,1192.0,1.139,116.004,162.767,817.0,0.152,145.714,196.583,375.0,1.398,269.310,46.868,784.0,0.494,336.698,103.663,405.0,2.445,106.855,103.565,374.0,0.165,123.692,50.658,439.0,0.094,144.209,42.042,345.0,0.055,162.923,104.883,30.0,1.039
45.0,450.0,293.639,173.808,1188.0,1.245,116.016,162.923,821.0,0.157,145.513,198.157,367.0,1.586,270.059,46.970,786.0,0.756,339.382,103.627,399.0,2.684,106.797,103.493,375.0,0.093,123.729,50.772,443.0,0.120,144.265,42.065,343.0,0.061,163.342,105.725,24.0,0.940
46.0,460.0,295.102,174.024,1188.0,1.479,116.047,162.909,830.0,0.034,145.260,199.730,359.0,1.593,271.059,47.061,787.0,1.004,341.961,103.732,398.0,2.582,106.828,103.522,380.0,0.043,123.761,50.802,447.0,0.045,144.297,42.147,340.0,0.089,162.983,108.035,18.0,2.337
47.0,470.0,296.307,174.476,1186.0,1.287,116.051,163.079,835.0,0.170,144.918,201.610,351.0,1.910,271.826,47.167,789.0,0.774,344.818,103.741,393.0,2.857,106.811,103.510,381.0,0.021,123.737,50.830,451.0,0.036,144.332,42.290,339.0,0.147,161.312,110.985,12.0,3.391
48.0,480.0,297.908,174.453,1182.0,1.601,116.137,163.089,841.0,0.087,144.863,202.473,341.0,0.865,273.435,47.249,786.0,1.611,346.363,103.702,392.0,1.546,106.868,103.542,383.0,0.064,123.837,50.761,454.0,0.121,144.398,42.440,332.0,0.164,161.925,110.490,9.0,0.788
49.0,490.0,299.213,174.487,1183.0,1.306,116.146,163.012,849.0,0.078,144.686,203.665,334.0,1.206,274.418,47.397,785.0,0.994,348.008,103.781,393.0,1.646,106.865,103.602,388.0,0.061,123.859,50.834,457.0,0.076,144.442,42.607,328.0,0.172,159.173,116.276,6.0,6.407
50.0,500.0,300.524,174.543,1182.0,1.312,116.123,163.229,856.0,0.218,144.699,204.206,326.0,0.541,275.723,47.612,784.0,1.323,349.085,103.857,394.0,1.080,106.992,103.804,391.0,0.238,123.704,51.008,461.0,0.233,144.475,42.757,323.0,0.154,164.253,109.502,4.0,8.467
51.0,510.0,301.783,174.717,1179.0,1.270,116.233,163.496,860.0,0.289,144.579,204.978,319.0,0.782,277.270,47.705,782.0,1.550,349.899,103.991,393.0,0.825,107.060,103.903,391.0,0.120,123.787,50.932,466.0,0.113,144.484,42.963,317.0,0.206,159.258,120.904,2.0,12.448
52.0,520.0,302.973,174.828,1175.0,1.196,116.238,163.809,864.0,0.313,144.494,205.407,311.0,0.437,278.632,47.854,779.0,1.371,350.652,104.076,391.0,0.758,107.136,104.016,391.0,0.136,123.671,51.089,469.0,0.195,144.493,42.972,311.0,0.013,144.780,142.240,1.0,25.784
53.0,530.0,304.648,174.886,1173.0,1.676,116.380,164.258,871.0,0.471,144.350,205.543,302.0,0.198,281.014,47.929,778.0,2.382,350.928,104.192,391.0,0.299,107.196,104.169,391.0,0.165,123.788,51.039,476.0,0.128,144.350,43.023,302.0,0.152,144.780,147.320,0.0,5.080
