Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
49.0,490.0,242.524,211.979,928.0,2.733,114.912,241.752,495.0,0.215,109.385,177.875,432.0,1.772,270.278,78.383,759.0,1.127,117.796,81.817,169.0,0.104,,,0.0,,114.912,79.192,495.0,0.215,103.997,76.864,264.0,0.077,117.796,81.817,169.0,0.104
50.0,500.0,240.155,210.628,930.0,2.727,115.140,241.852,487.0,0.249,109.536,176.305,443.0,1.577,269.061,78.477,753.0,1.220,117.704,81.813,178.0,0.092,,,0.0,,115.140,79.292,487.0,0.249,104.070,76.982,265.0,0.139,117.704,81.813,178.0,0.092
51.0,510.0,237.442,209.113,933.0,3.107,115.406,241.825,478.0,0.268,109.692,174.803,455.0,1.510,267.461,78.478,746.0,1.600,117.619,81.680,187.0,0.158,,,0.0,,115.406,79.265,478.0,0.268,104.174,77.077,268.0,0.141,117.619,81.680,187.0,0.158
52.0,520.0,235.121,207.703,936.0,2.716,115.684,241.828,470.0,0.278,109.799,173.326,466.0,1.482,266.204,78.483,740.0,1.257,117.555,81.597,196.0,0.104,,,0.0,,115.684,79.268,470.0,0.278,104.189,77.120,270.0,0.046,117.555,81.597,196.0,0.104
53.0,530.0,232.350,206.330,937.0,3.093,115.939,242.016,459.0,0.317,109.969,172.058,478.0,1.279,264.419,78.622,732.0,1.790,117.518,81.537,205.0,0.071,,,0.0,,115.939,79.456,459.0,0.317,104.320,77.221,273.0,0.166,117.518,81.537,205.0,0.071
54.0,540.0,229.140,204.792,941.0,3.559,116.214,242.168,448.0,0.314,110.120,170.813,493.0,1.255,262.179,78.729,726.0,2.243,117.455,81.417,215.0,0.135,,,0.0,,116.214,79.608,448.0,0.314,104.453,77.313,278.0,0.162,117.455,81.417,215.0,0.135
55.0,550.0,225.927,202.835,938.0,3.763,116.572,242.265,434.0,0.371,110.308,168.936,504.0,1.886,260.282,78.770,712.0,1.897,117.425,81.259,226.0,0.161,,,0.0,,116.572,79.705,434.0,0.371,104.549,77.315,279.0,0.096,117.425,81.259,226.0,0.161
56.0,560.0,222.222,200.864,938.0,4.197,116.844,242.395,419.0,0.301,110.491,167.350,519.0,1.596,257.752,78.843,700.0,2.532,117.366,81.223,237.0,0.069,,,0.0,,116.844,79.835,419.0,0.301,104.698,77.369,282.0,0.158,117.366,81.223,237.0,0.069
57.0,570.0,218.573,198.865,935.0,4.160,117.281,242.539,403.0,0.461,110.656,165.801,532.0,1.558,255.235,78.887,686.0,2.517,117.313,81.254,249.0,0.061,,,0.0,,117.281,79.979,403.0,0.461,104.821,77.335,284.0,0.128,117.313,81.254,249.0,0.061
58.0,580.0,214.106,196.456,931.0,5.075,117.679,242.607,384.0,0.404,110.756,164.100,547.0,1.703,251.950,78.938,669.0,3.286,117.184,81.101,261.0,0.201,,,0.0,,117.679,80.047,384.0,0.404,104.877,77.449,286.0,0.127,117.184,81.101,261.0,0.201
