Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
221,"0,383","-0,244","0,565","0,092","-0,035","-0,022","0,278","-0,642","0,262","0,549","-0,335","0,064","-0,646","-2,091","-0,505","-0,249","0,796","0,658","0,218","-0,220","-1,052"
222,"0,134","-0,313","0,586","-0,015","-0,094","0,171","0,187","-0,397","0,308","0,421","-0,363","0,136","-0,464","-2,029","-0,667","0,377","0,443","0,923","0,322","-0,079","-0,843"
223,"-0,006","-0,163","0,487","-0,076","-0,094","0,176","0,434","-0,161","0,032","0,536","-0,167","0,158","-0,468","-1,646","-0,709","0,522","0,310","1,260","0,109","0,021","-0,486"
224,"-0,110","-0,352","0,049","-0,020","-0,338","0,112","0,803","0,136","-0,245","0,862","-0,334","0,622","-0,348","-1,478","-0,786","0,273","0,271","1,263","0,121","0,215","0,123"
225,"-0,182","-0,373","0,008","0,157","-0,339","0,036","0,823","0,035","-0,071","0,418","-0,895","0,492","-0,287","-1,402","-0,620","0,088","0,867","1,048","-0,361","0,565","0,729"
226,"-0,032","-0,443","0,138","0,395","-0,157","-0,046","0,620","-0,106","0,191","1,067","-0,655","0,395","-0,351","-1,155","-0,666","-0,033","1,539","0,869","-0,304","0,651","0,749"
227,"-0,058","-0,257","0,268","0,269","0,087","-0,098","0,688","0,002","0,075","0,602","-0,768","0,609","-0,170","-0,932","-0,768","-0,030","2,071","0,560","-0,476","0,628","0,601"
228,"-0,088","-0,263","0,414","0,330","-0,096","-0,102","0,768","-0,158","0,037","0,010","-0,490","0,027","0,012","-0,874","-0,794","-0,002","2,162","0,319","0,034","0,470","0,385"
229,"0,085","-0,230","0,630","0,218","-0,095","0,030","0,720","-0,001","0,155","0,158","-0,406","0,530","0,071","-0,657","-0,760","0,405","1,755","0,260","-0,118","0,410","-0,032"
230,"0,161","-0,337","0,998","0,431","-0,342","-0,353","0,858","-0,277","0,042","0,671","-0,432","0,296","0,012","-0,773","-0,573","0,345","1,095","0,423","-0,330","0,112","-0,366"
231,"0,081","-0,332","1,491","0,431","-0,342","-0,353","1,122","-0,440","0,301","0,617","-0,418","0,619","-0,349","-1,219","-0,368","0,166","0,631","0,691","-0,592","-0,206","-0,840"
232,"-0,009","-0,406","1,953","0,427","-0,586","-0,412","1,524","-0,695","0,361","0,488","-0,293","0,178","-0,408","-1,391","-0,155","-0,366","0,514","1,048","-0,955","-0,116","-0,935"
233,"0,132","-0,395","2,594","0,062","-0,891","-0,380","1,649","-1,310","0,566","0,525","0,253","0,356","-0,343","-1,773","-0,114","-0,625","0,762","1,389","-0,703","-0,178","-1,018"
