Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
651,"-4,106","-7,296","-41,589","-1,378","2,516","-1,460","-11,761","19,202","-1,807","-59,639","38,200","12,159","5,419","6,781","-4,862","-0,065","-0,891","-6,628","-59,178","3,490","-0,028"
652,"-3,223","-6,860","-39,056","-1,659","2,303","-1,961","-10,659","16,174","-2,121","-55,653","42,146","13,736","5,466","6,040","-5,628","-2,772","-2,913","-11,073","-58,079","3,280","0,008"
653,"-1,724","-6,888","-34,041","-1,671","2,181","-2,994","-8,918","13,870","-1,767","-55,948","44,202","17,105","5,104","5,654","-6,660","-3,842","-3,554","-13,080","-56,884","3,945","1,266"
654,"1,022","-6,396","-25,026","-1,669","2,152","-3,858","-6,745","10,245","-1,160","-59,171","46,858","16,850","7,290","4,829","-8,382","-4,737","-2,586","-12,528","-55,885","5,216","3,579"
655,"2,634","-4,655","-16,760","-1,820","2,259","-4,300","-4,685","6,035","-1,634","-62,186","47,757","18,560","8,526","4,352","-8,863","-4,195","-2,176","-12,207","-54,982","5,681","5,574"
656,"3,851","-2,826","-8,866","-1,877","3,051","-4,375","-1,929","3,125","-0,035","-63,140","45,804","18,106","7,080","4,185","-8,524","-2,921","-1,477","-11,245","-54,019","5,940","4,857"
657,"6,145","-0,335","4,717","-1,843","3,856","-4,024","1,081","-1,078","0,123","-64,083","42,588","16,451","4,082","4,266","-8,109","-2,392","-0,008","-8,251","-53,428","6,631","4,188"
658,"7,786","1,812","14,011","-1,700","4,748","-3,882","3,911","-5,135","0,966","-69,009","34,985","14,860","1,341","4,292","-7,771","-3,043","1,573","-4,660","-51,796","7,155","4,403"
659,"8,403","3,446","19,791","-1,258","5,146","-3,736","6,592","-9,021","1,778","-70,892","28,069","7,706","-0,242","4,748","-6,393","-2,862","3,034","-0,540","-50,959","6,862","3,788"
660,"10,166","5,692","28,287","-1,045","5,398","-3,361","7,561","-12,341","2,168","-62,796","26,017","2,956","-1,418","4,797","-5,791","-2,662","5,080","5,880","-52,628","6,038","0,494"
661,"11,188","6,900","33,895","-0,859","5,227","-3,282","9,021","-14,928","2,547","-52,688","28,427","3,238","-1,568","4,249","-6,484","-2,379","6,042","9,587","-53,442","4,153","-4,542"
662,"10,327","7,491","34,442","-0,347","4,864","-2,881","9,047","-14,903","2,679","-52,251","33,523","3,241","0,601","3,527","-6,480","-1,736","5,689","11,753","-53,967","3,096","-6,649"
663,"9,634","8,581","37,755","0,239","4,533","-2,305","7,965","-14,138","2,943","-56,355","36,004","2,933","3,560","2,785","-5,860","-0,073","6,335","15,157","-53,689","2,682","-7,114"
