Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
96,"-0,004","0,010","-0,079","0,084","0,034","-0,116","-0,026","0,014","-0,047","0,166","0,430","0,072","-0,217","-0,361","0,069","-0,020","0,069","0,038","-0,071","-0,076","-0,014"
97,"-0,074","-0,012","-0,068","0,120","0,038","-0,115","-0,061","-0,001","-0,051","0,128","0,391","0,070","-0,189","-0,330","0,068","-0,033","0,072","0,031","-0,080","-0,077","-0,010"
98,"-0,122","-0,064","-0,064","0,087","0,028","-0,115","-0,033","0,020","-0,051","0,131","0,447","0,063","-0,205","-0,288","0,067","-0,111","0,080","0,028","-0,040","-0,133","-0,003"
99,"-0,137","-0,094","-0,073","0,115","0,050","-0,115","-0,034","0,016","-0,047","0,136","0,445","0,057","-0,165","-0,275","0,070","-0,117","0,100","0,034","-0,020","-0,201","-0,003"
100,"-0,145","-0,042","-0,081","0,092","0,078","-0,115","-0,009","0,010","-0,049","0,095","0,411","0,052","-0,162","-0,321","0,074","-0,163","0,107","0,044","-0,024","-0,180","-0,006"
101,"-0,169","-0,067","-0,085","0,119","0,055","-0,115","-0,031","0,037","-0,054","0,098","0,411","0,047","-0,107","-0,322","0,079","-0,173","0,077","0,053","0,040","-0,166","-0,007"
102,"-0,114","-0,102","-0,084","0,138","0,026","-0,114","0,006","0,003","-0,061","0,107","0,388","0,045","-0,067","-0,317","0,086","-0,137","0,078","0,057","0,034","-0,126","-0,014"
103,"-0,152","-0,143","-0,080","0,125","0,056","-0,115","-0,004","0,030","-0,065","0,105","0,395","0,042","-0,055","-0,350","0,092","-0,156","0,142","0,058","0,033","-0,104","-0,018"
104,"-0,227","-0,121","-0,077","0,160","0,035","-0,115","-0,001","0,009","-0,067","0,039","0,373","0,037","-0,052","-0,303","0,095","-0,167","0,120","0,057","-0,026","-0,111","-0,016"
105,"-0,232","-0,119","-0,070","0,146","0,062","-0,117","0,030","-0,040","-0,070","0,063","0,356","0,030","-0,088","-0,301","0,096","-0,222","0,156","0,055","-0,043","-0,101","-0,011"
106,"-0,251","-0,062","-0,063","0,179","0,048","-0,121","0,072","-0,068","-0,076","0,047","0,353","0,022","-0,083","-0,267","0,095","-0,220","0,119","0,058","-0,068","-0,150","-0,006"
107,"-0,198","-0,007","-0,057","0,214","0,055","-0,125","0,100","-0,069","-0,084","0,044","0,334","0,013","-0,058","-0,236","0,094","-0,154","0,101","0,065","-0,043","-0,173","-0,001"
108,"-0,141","0,001","-0,046","0,235","0,027","-0,128","0,112","-0,089","-0,094","0,066","0,348","0,008","-0,063","-0,177","0,095","-0,108","0,049","0,067","-0,074","-0,235","-0,001"
109,"-0,093","-0,034","-0,038","0,214","0,002","-0,129","0,138","-0,042","-0,098","0,089","0,333","0,003","-0,080","-0,183","0,094","-0,109","0,041","0,065","-0,043","-0,224","0,002"
110,"-0,172","-0,022","-0,029","0,249","0,012","-0,131","0,065","-0,061","-0,102","0,137","0,357","0,005","-0,063","-0,224","0,093","-0,121","0,053","0,062","-0,023","-0,189","-0,001"
111,"-0,198","-0,065","-0,018","0,267","0,043","-0,134","0,051","-0,020","-0,107","0,102","0,352","0,006","-0,079","-0,264","0,092","-0,148","0,100","0,057","-0,067","-0,147","-0,004"
112,"-0,227","-0,060","-0,009","0,287","0,073","-0,137","0,099","-0,062","-0,111","0,100","0,365","0,007","-0,078","-0,263","0,090","-0,184","0,141","0,053","-0,051","-0,171","-0,005"
113,"-0,250","-0,089","-0,003","0,309","0,103","-0,140","0,140","-0,019","-0,117","0,093","0,399","0,007","-0,026","-0,278","0,086","-0,208","0,177","0,052","0,009","-0,205","-0,002"
114,"-0,319","-0,064","0,001","0,333","0,135","-0,144","0,129","-0,045","-0,119","0,068","0,373","0,007","-0,037","-0,293","0,080","-0,216","0,193","0,052","-0,056","-0,230","-0,002"
115,"-0,295","-0,038","0,003","0,360","0,108","-0,146","0,126","-0,060","-0,120","0,103","0,425","0,007","-0,048","-0,268","0,076","-0,193","0,130","0,051","-0,086","-0,260","-0,001"
116,"-0,283","-0,001","0,003","0,401","0,109","-0,147","0,135","-0,029","-0,120","0,096","0,466","0,006","-0,047","-0,276","0,073","-0,168","0,094","0,052","-0,101","-0,277","0,003"
117,"-0,309","0,003","-0,003","0,390","0,081","-0,146","0,143","-0,071","-0,117","0,042","0,447","0,004","-0,084","-0,274","0,073","-0,230","0,070","0,051","-0,160","-0,262","0,004"
118,"-0,390","0,009","-0,004","0,414","0,055","-0,145","0,125","-0,064","-0,116","0,033","0,447","0,001","-0,073","-0,277","0,080","-0,253","0,059","0,051","-0,195","-0,202","0,001"
119,"-0,460","0,030","0,005","0,417","0,023","-0,145","0,064","-0,102","-0,123","0,028","0,369","-0,007","-0,073","-0,205","0,093","-0,298","0,038","0,046","-0,204","-0,202","-0,006"
120,"-0,531","0,069","0,015","0,389","0,035","-0,145","0,046","-0,174","-0,131","0,077","0,319","-0,015","-0,129","-0,190","0,103","-0,376","0,044","0,042","-0,207","-0,199","-0,006"
121,"-0,565","0,071","0,024","0,428","0,046","-0,145","0,004","-0,236","-0,140","0,079","0,293","-0,022","-0,057","-0,212","0,104","-0,354","0,085","0,040","-0,145","-0,192","-0,002"
122,"-0,579","0,024","0,033","0,466","0,062","-0,143","-0,057","-0,201","-0,150","0,089","0,318","-0,026","0,001","-0,198","0,105","-0,301","0,116","0,036","-0,094","-0,217","0,002"
123,"-0,609","0,019","0,040","0,492","0,092","-0,142","-0,119","-0,231","-0,156","0,091","0,275","-0,029","0,041","-0,199","0,103","-0,258","0,147","0,032","-0,052","-0,227","0,006"
124,"-0,644","0,017","0,041","0,512","0,126","-0,140","-0,127","-0,233","-0,159","0,033","0,235","-0,027","0,047","-0,200","0,100","-0,250","0,146","0,029","-0,092","-0,234","0,007"
125,"-0,651","-0,002","0,036","0,532","0,159","-0,140","-0,130","-0,230","-0,160","0,063","0,234","-0,030","0,033","-0,221","0,096","-0,202","0,174","0,032","-0,113","-0,275","0,008"
