Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
65,"0,390","0,412","0,015","0,057","0,150","-0,481","0,461","0,317","-0,098","0,131","0,159","0,070","0,775","0,021","0,091","0,135","-0,398","-0,004","0,866","-0,230","-0,061"
66,"-0,182","0,152","0,013","-0,015","-0,189","-0,474","-0,216","0,226","-0,101","0,114","-0,376","0,074","0,526","0,079","0,100","-0,161","-0,475","-0,008","0,470","0,300","-0,065"
67,"0,345","0,276","0,015","-0,320","-0,024","-0,468","0,330","-0,143","-0,105","0,071","-0,348","0,073","0,580","-0,110","0,113","-0,155","-0,164","-0,009","0,986","0,013","-0,063"
68,"-0,326","0,108","0,015","0,017","-0,038","-0,464","-0,344","-0,108","-0,113","0,493","0,202","0,068","0,759","0,198","0,117","-0,155","-0,094","-0,007","1,097","-0,525","-0,070"
69,"-0,210","-0,251","0,018","-0,324","-0,115","-0,459","0,299","0,120","-0,120","-0,022","-0,180","0,077","0,119","0,413","0,127","-0,709","0,104","-0,006","0,485","-0,559","-0,077"
70,"-0,223","-0,126","0,022","-0,672","-0,128","-0,454","0,014","0,420","-0,127","0,344","-0,041","0,083","-0,523","0,286","0,139","-0,725","0,001","-0,009","0,485","-0,222","-0,085"
71,"-0,197","-0,102","0,025","-0,645","-0,139","-0,450","0,015","0,405","-0,132","0,340","-0,034","0,081","-0,446","0,304","0,149","-0,703","-0,040","-0,010","0,533","-0,206","-0,088"
72,"-0,217","-0,084","0,026","-0,621","-0,151","-0,449","-0,044","0,390","-0,136","0,324","-0,057","0,078","-0,374","0,309","0,156","-0,664","-0,079","-0,009","0,567","-0,216","-0,088"
73,"-0,179","-0,029","0,026","-0,595","-0,152","-0,448","-0,015","0,329","-0,137","0,331","-0,061","0,071","-0,304","0,328","0,160","-0,624","-0,106","-0,008","0,634","-0,203","-0,084"
74,"-0,129","-0,035","0,029","-0,574","-0,129","-0,448","-0,019","0,327","-0,140","0,386","-0,055","0,063","-0,233","0,308","0,164","-0,576","-0,096","-0,007","0,724","-0,182","-0,079"
75,"-0,115","-0,021","0,034","-0,548","-0,114","-0,450","0,001","0,308","-0,144","0,368","-0,070","0,061","-0,157","0,283","0,165","-0,562","-0,110","-0,005","0,767","-0,195","-0,077"
76,"-0,096","0,031","0,037","-0,563","-0,144","-0,454","0,035","0,253","-0,145","0,431","-0,024","0,055","-0,130","0,288","0,167","-0,585","-0,170","-0,004","0,862","-0,185","-0,076"
77,"-0,043","0,054","0,040","-0,538","-0,124","-0,455","0,022","0,237","-0,146","0,451","0,004","0,052","-0,090","0,233","0,174","-0,527","-0,142","-0,005","0,866","-0,169","-0,080"
78,"-0,054","-0,010","0,045","-0,535","-0,155","-0,457","-0,025","0,252","-0,147","0,520","-0,042","0,048","-0,110","0,254","0,179","-0,519","-0,135","-0,007","0,882","-0,134","-0,081"
79,"-0,054","0,027","0,051","-0,538","-0,118","-0,459","-0,030","0,203","-0,148","0,580","-0,096","0,043","-0,130","0,243","0,183","-0,493","-0,111","-0,009","0,894","-0,129","-0,079"
80,"-0,056","0,045","0,056","-0,524","-0,087","-0,461","-0,097","0,199","-0,147","0,591","-0,061","0,034","-0,139","0,195","0,191","-0,447","-0,083","-0,014","0,913","-0,138","-0,079"
81,"0,005","0,023","0,063","-0,531","-0,121","-0,466","-0,047","0,187","-0,147","0,595","-0,022","0,027","-0,165","0,207","0,202","-0,424","-0,109","-0,017","0,931","-0,143","-0,084"
