Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
109,"-0,222","0,043","-0,109","0,519","-0,076","-0,190","-0,092","-0,327","-0,020","0,132","-0,114","-0,022","0,325","0,198","0,038","0,083","0,135","0,068","0,147","0,001","0,096"
110,"-0,232","0,034","-0,098","0,479","-0,057","-0,186","-0,098","-0,346","-0,028","0,080","-0,068","-0,019","0,302","0,222","0,028","0,013","0,187","0,060","0,124","-0,049","0,109"
111,"-0,253","-0,026","-0,082","0,438","-0,070","-0,183","-0,102","-0,339","-0,039","0,076","-0,062","-0,020","0,286","0,268","0,018","-0,063","0,204","0,052","0,129","-0,050","0,125"
112,"-0,276","-0,102","-0,069","0,392","-0,060","-0,180","-0,122","-0,271","-0,046","0,067","-0,060","-0,020","0,271","0,274","0,007","-0,108","0,257","0,046","0,145","-0,030","0,141"
113,"-0,315","-0,172","-0,058","0,359","-0,087","-0,178","-0,105","-0,232","-0,052","0,090","-0,096","-0,021","0,252","0,342","-0,004","-0,155","0,271","0,042","0,146","-0,035","0,154"
114,"-0,326","-0,176","-0,051","0,313","-0,080","-0,177","-0,111","-0,181","-0,054","0,060","-0,112","-0,023","0,232","0,362","-0,014","-0,181","0,261","0,039","0,169","-0,028","0,167"
115,"-0,330","-0,178","-0,051","0,280","-0,109","-0,175","-0,112","-0,148","-0,052","0,037","-0,109","-0,024","0,203","0,433","-0,020","-0,182","0,222","0,038","0,166","-0,102","0,178"
116,"-0,328","-0,193","-0,055","0,248","-0,134","-0,173","-0,110","-0,138","-0,051","-0,001","-0,091","-0,023","0,194","0,485","-0,023","-0,179","0,199","0,042","0,178","-0,163","0,184"
117,"-0,282","-0,216","-0,058","0,208","-0,149","-0,173","-0,136","-0,103","-0,054","-0,003","-0,096","-0,022","0,163","0,533","-0,023","-0,181","0,174","0,048","0,155","-0,210","0,187"
118,"-0,281","-0,219","-0,063","0,216","-0,123","-0,174","-0,185","-0,065","-0,058","-0,038","-0,061","-0,021","0,202","0,522","-0,025","-0,136","0,195","0,060","0,150","-0,222","0,189"
119,"-0,218","-0,202","-0,073","0,218","-0,159","-0,175","-0,122","-0,076","-0,059","-0,093","-0,091","-0,021","0,233","0,569","-0,023","-0,103","0,135","0,070","0,155","-0,213","0,189"
120,"-0,222","-0,156","-0,083","0,191","-0,188","-0,177","-0,112","-0,127","-0,057","-0,047","-0,050","-0,023","0,237","0,599","-0,018","-0,160","0,079","0,079","0,219","-0,223","0,187"
121,"-0,259","-0,177","-0,093","0,188","-0,227","-0,177","-0,148","-0,086","-0,051","-0,055","-0,099","-0,027","0,265","0,639","-0,011","-0,197","0,022","0,085","0,267","-0,196","0,185"
122,"-0,260","-0,184","-0,106","0,161","-0,203","-0,179","-0,100","-0,051","-0,042","-0,065","-0,144","-0,031","0,215","0,644","-0,003","-0,261","0,051","0,091","0,261","-0,199","0,183"
123,"-0,294","-0,139","-0,117","0,124","-0,219","-0,181","-0,114","-0,047","-0,033","-0,125","-0,159","-0,036","0,139","0,679","0,003","-0,332","0,019","0,096","0,191","-0,218","0,187"
124,"-0,257","-0,083","-0,124","0,085","-0,207","-0,182","-0,066","-0,087","-0,027","-0,065","-0,142","-0,042","0,061","0,669","0,011","-0,350","0,004","0,101","0,175","-0,248","0,191"
125,"-0,222","-0,073","-0,129","0,114","-0,198","-0,185","-0,045","-0,097","-0,024","-0,036","-0,205","-0,048","0,050","0,661","0,018","-0,308","-0,023","0,107","0,149","-0,223","0,195"
126,"-0,201","-0,048","-0,131","0,147","-0,207","-0,189","-0,016","-0,123","-0,023","-0,010","-0,139","-0,053","0,042","0,676","0,024","-0,286","-0,066","0,112","0,105","-0,271","0,199"
127,"-0,180","0,011","-0,132","0,175","-0,223","-0,192","0,032","-0,168","-0,018","-0,010","-0,068","-0,058","0,030","0,684","0,029","-0,261","-0,117","0,114","0,071","-0,304","0,202"
128,"-0,248","0,024","-0,131","0,139","-0,206","-0,194","0,000","-0,215","-0,014","-0,051","-0,031","-0,061","-0,046","0,651","0,035","-0,332","-0,102","0,113","0,015","-0,325","0,204"
129,"-0,275","0,032","-0,128","0,099","-0,203","-0,196","-0,048","-0,164","-0,009","0,010","0,020","-0,063","-0,085","0,611","0,038","-0,367","-0,125","0,110","0,039","-0,322","0,205"
130,"-0,321","0,069","-0,127","0,122","-0,180","-0,199","-0,055","-0,155","-0,001","0,080","0,040","-0,065","-0,066","0,552","0,039","-0,359","-0,126","0,110","0,069","-0,288","0,207"
