Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
74,"-0,663","0,383","-0,274","0,323","-0,289","0,358","-0,824","0,021","0,104","-0,639","-0,286","0,743","1,268","0,295","0,013","0,460","-0,273","-0,182","0,218","0,160","-0,509"
75,"-0,635","0,368","-0,295","0,276","-0,288","0,368","-0,807","0,031","0,119","-0,611","-0,257","0,783","1,207","0,271","0,003","0,435","-0,289","-0,186","0,253","0,144","-0,532"
76,"-0,610","0,363","-0,313","0,258","-0,320","0,377","-0,813","0,047","0,136","-0,615","-0,152","0,824","1,172","0,282","-0,010","0,435","-0,348","-0,193","0,244","0,109","-0,553"
77,"-0,579","0,360","-0,329","0,210","-0,320","0,386","-0,812","0,067","0,156","-0,584","-0,094","0,858","1,175","0,288","-0,024","0,407","-0,376","-0,207","0,348","0,086","-0,567"
78,"-0,551","0,359","-0,351","0,197","-0,352","0,393","-0,810","0,087","0,185","-0,600","-0,068","0,893","1,162","0,286","-0,038","0,424","-0,434","-0,219","0,351","0,136","-0,581"
79,"-0,523","0,367","-0,383","0,214","-0,375","0,397","-0,831","0,087","0,217","-0,575","-0,044","0,923","1,172","0,273","-0,056","0,476","-0,479","-0,225","0,360","0,190","-0,588"
80,"-0,488","0,370","-0,401","0,238","-0,376","0,401","-0,864","0,057","0,241","-0,594","-0,021","0,945","1,179","0,268","-0,073","0,541","-0,461","-0,235","0,345","0,212","-0,590"
81,"-0,455","0,329","-0,409","0,246","-0,349","0,403","-0,871","0,056","0,254","-0,589","-0,008","0,965","1,189","0,207","-0,086","0,583","-0,405","-0,242","0,361","0,205","-0,592"
82,"-0,440","0,273","-0,414","0,235","-0,316","0,405","-0,887","0,062","0,270","-0,542","0,033","0,990","1,197","0,131","-0,102","0,583","-0,332","-0,253","0,404","0,200","-0,597"
83,"-0,377","0,239","-0,413","0,235","-0,293","0,407","-0,898","0,132","0,291","-0,502","0,104","1,013","1,223","0,064","-0,120","0,632","-0,296","-0,275","0,469","0,207","-0,593"
84,"-0,323","0,266","-0,412","0,226","-0,271","0,410","-0,931","0,109","0,314","-0,488","0,148","1,034","1,252","0,000","-0,146","0,676","-0,289","-0,303","0,564","0,228","-0,579"
85,"-0,320","0,316","-0,408","0,222","-0,257","0,417","-0,951","0,076","0,337","-0,466","0,216","1,058","1,234","-0,058","-0,177","0,654","-0,285","-0,338","0,581","0,233","-0,560"
86,"-0,287","0,342","-0,407","0,227","-0,262","0,427","-0,896","0,008","0,349","-0,433","0,217","1,080","1,229","-0,094","-0,205","0,648","-0,270","-0,364","0,614","0,240","-0,540"
87,"-0,250","0,285","-0,415","0,218","-0,305","0,438","-0,853","0,000","0,357","-0,424","0,208","1,096","1,209","-0,086","-0,232","0,630","-0,275","-0,373","0,658","0,253","-0,517"
88,"-0,186","0,240","-0,438","0,221","-0,301","0,448","-0,786","-0,020","0,364","-0,421","0,221","1,113","1,219","-0,130","-0,253","0,629","-0,234","-0,369","0,725","0,301","-0,497"
89,"-0,106","0,233","-0,466","0,200","-0,345","0,457","-0,752","-0,042","0,376","-0,399","0,242","1,123","1,199","-0,104","-0,277","0,610","-0,255","-0,360","0,787","0,332","-0,469"
90,"-0,022","0,280","-0,480","0,158","-0,383","0,466","-0,685","-0,111","0,382","-0,372","0,186","1,126","1,150","-0,089","-0,301","0,582","-0,303","-0,360","0,835","0,375","-0,435"
91,"0,058","0,330","-0,485","0,142","-0,425","0,478","-0,593","-0,157","0,379","-0,375","0,191","1,127","1,136","-0,073","-0,315","0,578","-0,357","-0,364","0,892","0,399","-0,404"
92,"0,120","0,317","-0,501","0,143","-0,460","0,490","-0,537","-0,184","0,379","-0,333","0,170","1,136","1,122","-0,042","-0,320","0,576","-0,381","-0,360","0,929","0,395","-0,393"
93,"0,196","0,288","-0,531","0,131","-0,502","0,503","-0,494","-0,220","0,388","-0,318","0,205","1,152","1,091","-0,001","-0,326","0,571","-0,385","-0,352","0,956","0,399","-0,389"
94,"0,286","0,250","-0,573","0,133","-0,540","0,515","-0,452","-0,253","0,404","-0,301","0,182","1,173","1,069","0,024","-0,334","0,595","-0,377","-0,341","0,977","0,407","-0,392"
95,"0,357","0,230","-0,616","0,107","-0,581","0,525","-0,418","-0,279","0,425","-0,278","0,167","1,199","1,011","0,055","-0,347","0,573","-0,390","-0,335","0,988","0,407","-0,394"
96,"0,447","0,230","-0,653","0,124","-0,600","0,534","-0,365","-0,288","0,447","-0,280","0,161","1,222","1,004","0,050","-0,365","0,620","-0,425","-0,333","1,003","0,425","-0,394"
97,"0,536","0,230","-0,691","0,147","-0,613","0,542","-0,328","-0,290","0,478","-0,307","0,185","1,251","1,019","0,026","-0,384","0,673","-0,457","-0,341","1,000","0,418","-0,398"
98,"0,619","0,250","-0,728","0,173","-0,631","0,551","-0,297","-0,302","0,518","-0,269","0,207","1,286","1,042","0,005","-0,399","0,715","-0,496","-0,357","1,025","0,474","-0,410"
99,"0,686","0,257","-0,765","0,200","-0,627","0,563","-0,281","-0,334","0,549","-0,219","0,187","1,317","1,054","0,012","-0,412","0,755","-0,477","-0,366","1,035","0,478","-0,420"
100,"0,755","0,248","-0,799","0,229","-0,629","0,574","-0,247","-0,365","0,573","-0,159","0,194","1,340","1,075","0,032","-0,425","0,838","-0,436","-0,369","1,065","0,448","-0,423"
101,"0,824","0,242","-0,824","0,258","-0,627","0,588","-0,251","-0,364","0,588","-0,219","0,224","1,371","1,094","0,018","-0,429","0,901","-0,395","-0,376","1,034","0,431","-0,443"
102,"0,902","0,226","-0,851","0,286","-0,624","0,604","-0,219","-0,336","0,604","-0,271","0,288","1,409","1,164","0,040","-0,427","0,955","-0,355","-0,385","1,062","0,370","-0,473"
103,"0,973","0,152","-0,894","0,311","-0,631","0,619","-0,168","-0,282","0,625","-0,267","0,318","1,449","1,198","0,017","-0,431","1,022","-0,322","-0,383","1,059","0,364","-0,500"
104,"0,989","0,143","-0,948","0,332","-0,647","0,635","-0,161","-0,289","0,650","-0,271","0,360","1,494","1,266","-0,002","-0,446","1,065","-0,327","-0,374","1,118","0,352","-0,521"
105,"1,093","0,117","-1,010","0,346","-0,665","0,651","-0,138","-0,252","0,678","-0,251","0,421","1,547","1,339","-0,024","-0,461","1,177","-0,348","-0,360","1,171","0,353","-0,551"
