Index,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z
2434,"0,047","0,112","0,988","0,006","-0,291","0,947","0,001","-0,085","0,938","-0,024","-0,018","0,974","0,035","-0,005","0,868","-0,099","0,040","0,952","0,060","0,118","1,017"
2435,"0,040","0,107","0,978","0,003","-0,290","0,948","-0,042","-0,100","0,932","-0,030","-0,026","0,965","0,015","-0,001","0,874","-0,072","0,042","0,946","0,049","0,111","1,016"
2436,"0,034","0,110","0,968","0,002","-0,286","0,947","-0,044","-0,092","0,949","-0,017","-0,025","0,944","-0,010","0,003","0,877","-0,051","0,053","0,950","0,040","0,109","1,013"
2437,"0,037","0,097","0,962","0,010","-0,288","0,951","-0,003","-0,084","0,952","-0,007","-0,022","0,957","-0,041","0,010","0,879","-0,033","0,061","0,945","0,031","0,108","1,024"
2438,"0,044","0,099","0,962","0,009","-0,280","0,950","0,025","-0,078","0,950","-0,021","-0,007","0,984","-0,059","0,009","0,874","-0,016","0,061","0,942","0,025","0,118","1,018"
2439,"0,046","0,095","0,963","0,008","-0,291","0,951","0,027","-0,087","0,943","-0,010","0,001","0,951","-0,080","0,015","0,878","-0,001","0,062","0,922","0,013","0,133","1,014"
2440,"0,054","0,100","0,963","0,004","-0,283","0,957","-0,011","-0,087","0,924","-0,006","0,002","0,948","-0,089","0,006","0,871","0,009","0,059","0,914","0,002","0,133","1,017"
2441,"0,063","0,096","0,967","0,005","-0,279","0,954","-0,049","-0,065","0,925","-0,018","0,012","0,985","-0,100","0,008","0,876","0,012","0,056","0,914","-0,018","0,130","1,022"
2442,"0,078","0,103","0,975","0,004","-0,283","0,952","-0,038","-0,053","0,936","-0,041","0,018","0,967","-0,095","0,008","0,876","0,007","0,047","0,920","-0,040","0,128","1,022"
2443,"0,089","0,098","0,988","0,005","-0,277","0,953","-0,013","-0,061","0,944","-0,069","0,019","0,952","-0,090","0,011","0,881","0,001","0,042","0,937","-0,056","0,125","1,028"
2444,"0,100","0,108","0,984","0,004","-0,286","0,950","0,008","-0,048","0,968","-0,082","0,010","0,960","-0,085","0,011","0,890","0,007","0,037","0,952","-0,065","0,124","1,030"
2445,"0,100","0,100","0,999","0,004","-0,287","0,948","0,022","-0,048","0,988","-0,088","0,015","0,963","-0,089","0,005","0,892","0,012","0,040","0,964","-0,063","0,124","1,033"
2446,"0,104","0,109","1,006","0,006","-0,284","0,947","0,016","-0,044","0,961","-0,088","0,022","0,958","-0,091","0,004","0,885","0,023","0,041","0,954","-0,065","0,118","1,043"
2447,"0,108","0,103","1,010","0,008","-0,286","0,949","-0,008","-0,033","0,941","-0,079","0,020","0,954","-0,084","0,003","0,885","0,033","0,042","0,959","-0,059","0,119","1,048"
2448,"0,108","0,109","1,010","0,002","-0,285","0,954","-0,015","-0,030","0,946","-0,067","0,024","0,965","-0,071","0,006","0,888","0,025","0,048","0,964","-0,044","0,122","1,041"
2449,"0,110","0,115","1,019","0,005","-0,292","0,953","-0,017","-0,039","0,941","-0,048","0,016","0,961","-0,059","0,000","0,899","0,015","0,051","0,965","-0,026","0,133","1,039"
2450,"0,105","0,115","1,024","0,005","-0,285","0,951","-0,007","-0,025","0,966","-0,042","0,012","0,964","-0,050","-0,003","0,888","0,011","0,052","0,956","-0,018","0,128","1,032"
