Index,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z
478,"-0,043","0,016","1,007","-0,022","0,036","1,010","-0,005","0,002","0,948","0,029","-0,046","0,961","-0,033","0,134","1,078","-0,057","0,077","1,034","-0,045","-0,049","1,067"
479,"-0,038","0,017","1,008","-0,018","0,040","1,016","-0,001","0,012","0,950","0,032","-0,053","0,952","-0,029","0,129","1,069","-0,068","0,087","1,039","-0,048","-0,051","1,067"
480,"-0,042","0,014","1,011","-0,026","0,037","1,020","0,008","0,013","0,951","0,021","-0,055","0,967","-0,022","0,115","1,063","-0,065","0,077","1,020","-0,054","-0,046","1,061"
481,"-0,039","0,018","1,008","-0,030","0,040","1,019","0,006","0,010","0,947","0,022","-0,055","0,964","-0,020","0,113","1,064","-0,038","0,065","1,018","-0,043","-0,046","1,061"
482,"-0,046","0,011","1,012","-0,031","0,041","1,018","-0,003","0,011","0,941","0,017","-0,056","0,964","-0,043","0,115","1,064","-0,033","0,059","1,026","-0,043","-0,038","1,050"
483,"-0,049","0,012","1,010","-0,041","0,045","1,015","0,012","0,007","0,942","0,028","-0,057","0,963","-0,049","0,127","1,058","-0,035","0,073","1,022","-0,046","-0,046","1,056"
484,"-0,040","0,017","1,005","-0,053","0,038","1,010","-0,009","0,010","0,951","0,018","-0,060","0,961","-0,048","0,124","1,050","-0,051","0,079","1,020","-0,048","-0,038","1,050"
485,"-0,045","0,017","1,011","-0,052","0,030","1,006","0,004","0,015","0,942","0,016","-0,065","0,959","-0,047","0,150","1,054","-0,050","0,071","1,027","-0,044","-0,032","1,054"
486,"-0,033","0,023","1,006","-0,051","0,030","1,009","0,005","0,006","0,949","0,032","-0,063","0,964","-0,042","0,138","1,066","-0,040","0,056","1,023","-0,038","-0,035","1,053"
487,"-0,042","0,020","1,015","-0,049","0,031","1,010","0,003","0,017","0,945","0,023","-0,074","0,965","-0,048","0,122","1,063","-0,038","0,067","1,028","-0,041","-0,033","1,036"
