Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
90,"0,139","0,617","0,017","-0,052","0,126","0,448","0,390","-0,100","0,089","-0,272","-0,112","0,020","-0,047","0,337","0,003","-0,128","-0,266","-0,110","0,020","-0,147","0,030"
91,"0,101","0,597","0,018","-0,085","0,114","0,442","0,318","-0,112","0,090","-0,247","-0,059","0,010","-0,117","0,349","0,011","-0,166","-0,237","-0,110","-0,026","-0,186","0,029"
92,"0,095","0,595","0,015","-0,087","0,145","0,435","0,284","-0,136","0,096","-0,236","-0,001","0,004","-0,150","0,278","0,020","-0,173","-0,165","-0,107","-0,036","-0,184","0,023"
93,"0,120","0,558","0,010","-0,123","0,139","0,427","0,339","-0,157","0,104","-0,186","0,016","0,001","-0,204","0,240","0,026","-0,215","-0,131","-0,104","-0,021","-0,139","0,016"
94,"0,139","0,497","0,007","-0,151","0,155","0,418","0,355","-0,099","0,110","-0,157","0,018","0,005","-0,230","0,181","0,030","-0,246","-0,075","-0,099","-0,016","-0,143","0,004"
95,"0,129","0,496","-0,001","-0,183","0,145","0,408","0,325","-0,151","0,116","-0,135","0,009","0,009","-0,270","0,145","0,034","-0,288","-0,048","-0,091","-0,012","-0,140","-0,009"
96,"0,136","0,430","-0,008","-0,212","0,154","0,398","0,349","-0,088","0,124","-0,086","0,016","0,014","-0,305","0,091","0,038","-0,318","-0,003","-0,083","0,000","-0,136","-0,025"
97,"0,128","0,422","-0,009","-0,238","0,171","0,391","0,338","-0,080","0,126","-0,107","0,023","0,023","-0,336","0,031","0,042","-0,320","0,041","-0,079","-0,007","-0,137","-0,040"
98,"0,186","0,445","-0,010","-0,208","0,152","0,384","0,378","-0,131","0,128","-0,089","0,092","0,025","-0,317","0,009","0,045","-0,254","0,026","-0,075","-0,008","-0,137","-0,051"
99,"0,168","0,420","-0,009","-0,229","0,178","0,379","0,370","-0,119","0,130","-0,079","0,095","0,024","-0,335","-0,058","0,048","-0,256","0,085","-0,074","0,009","-0,136","-0,056"
100,"0,126","0,404","-0,007","-0,226","0,140","0,373","0,355","-0,111","0,131","-0,092","0,145","0,020","-0,327","-0,057","0,045","-0,262","0,084","-0,071","0,027","-0,135","-0,055"
