Index,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z
1163,"0,998","0,014","0,048","0,041","0,999","0,025","0,025","-0,003","1,000","-0,008","-0,001","-0,001","0,643","-0,693","0,313","0,090","0,982","0,185","0,030","-0,007","0,999","-0,015","0,046","-0,011","0,807","-0,586","0,015","0,073"
1164,"0,998","0,014","0,048","0,039","0,999","0,025","0,025","-0,003","1,000","-0,009","-0,001","-0,001","0,643","-0,693","0,313","0,089","0,982","0,185","0,030","-0,007","0,999","-0,015","0,046","-0,011","0,807","-0,585","0,015","0,073"
1165,"0,998","0,013","0,048","0,037","0,999","0,025","0,025","-0,002","1,000","-0,009","0,000","-0,001","0,644","-0,693","0,312","0,089","0,982","0,185","0,030","-0,006","0,999","-0,015","0,046","-0,010","0,808","-0,585","0,015","0,073"
1166,"0,998","0,012","0,047","0,035","0,999","0,025","0,025","-0,002","1,000","-0,010","0,001","-0,001","0,644","-0,693","0,312","0,089","0,982","0,185","0,029","-0,006","0,999","-0,015","0,045","-0,010","0,808","-0,585","0,015","0,073"
1167,"0,998","0,012","0,046","0,031","0,999","0,025","0,025","-0,001","1,000","-0,012","0,003","-0,001","0,644","-0,693","0,312","0,089","0,982","0,185","0,029","-0,006","0,999","-0,015","0,045","-0,010","0,808","-0,584","0,014","0,073"
1168,"0,999","0,011","0,046","0,027","0,999","0,025","0,025","-0,001","1,000","-0,013","0,005","-0,001","0,644","-0,693","0,312","0,089","0,982","0,185","0,029","-0,006","0,999","-0,015","0,044","-0,010","0,808","-0,584","0,014","0,073"
1169,"0,999","0,010","0,046","0,024","0,999","0,025","0,025","-0,001","1,000","-0,014","0,007","-0,001","0,644","-0,693","0,312","0,089","0,982","0,185","0,029","-0,006","0,999","-0,014","0,044","-0,010","0,808","-0,584","0,014","0,073"
1170,"0,999","0,010","0,046","0,022","0,999","0,025","0,026","0,000","1,000","-0,015","0,008","-0,001","0,644","-0,693","0,311","0,089","0,982","0,186","0,028","-0,006","0,999","-0,014","0,044","-0,011","0,808","-0,584","0,014","0,073"
1171,"0,999","0,009","0,046","0,020","0,999","0,025","0,026","0,000","1,000","-0,016","0,009","-0,002","0,644","-0,693","0,311","0,088","0,982","0,186","0,028","-0,005","0,999","-0,014","0,044","-0,011","0,808","-0,584","0,013","0,072"
1172,"0,999","0,009","0,046","0,018","0,999","0,025","0,026","0,000","1,000","-0,017","0,010","-0,002","0,644","-0,693","0,311","0,088","0,982","0,186","0,028","-0,005","0,999","-0,014","0,044","-0,012","0,808","-0,584","0,013","0,072"
