Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
112,"0,531","0,053","0,263","0,021","-0,073","0,684","-0,794","0,405","0,135","-0,152","0,950","-0,187","-0,714","0,399","0,511","0,606","-0,374","0,445","2,237","0,752","1,547"
113,"0,552","-0,174","0,791","0,169","-0,386","1,087","-0,693","0,075","0,386","0,124","0,714","-0,330","-0,467","0,450","0,933","-0,449","0,068","0,905","1,857","0,817","1,759"
114,"0,379","-0,143","0,981","0,234","-0,500","1,160","-0,978","-0,292","0,330","0,490","0,345","-0,261","-0,202","0,325","0,829","-0,131","0,527","1,218","1,689","0,688","1,532"
115,"0,295","-0,096","0,484","0,660","-0,383","1,113","-0,420","-0,322","0,272","0,370","0,903","-0,350","0,212","0,362","0,943","0,617","0,221","1,192","1,402","0,542","1,239"
116,"0,079","-0,134","-0,179","1,147","-0,388","1,078","-0,384","-0,378","0,391","0,136","0,921","-0,258","0,004","0,558","1,499","0,826","-0,239","0,618","1,720","0,768","2,020"
117,"0,034","-0,027","0,116","1,390","-0,028","1,011","-0,241","-0,228","0,013","0,259","0,796","-0,125","0,594","0,614","2,108","0,673","0,110","1,249","0,766","0,831","2,643"
118,"0,069","0,256","0,750","1,555","-0,002","0,749","-0,078","0,036","-0,224","-0,009","0,560","-0,072","-0,150","0,590","2,140","0,775","0,044","0,956","0,442","0,388","1,989"
119,"0,151","0,260","1,177","1,572","0,333","0,948","0,223","0,109","-0,248","0,034","-0,221","0,104","-0,674","0,579","1,928","0,555","-0,158","-0,130","0,661","0,160","1,433"
120,"0,150","0,139","1,196","1,334","0,283","1,034","0,216","0,071","-0,295","-0,367","-0,106","-0,005","-0,797","0,341","1,544","0,177","-0,116","-0,067","0,597","-0,115","0,491"
121,"-0,049","-0,024","0,923","1,138","0,381","0,850","0,445","0,061","-0,400","-0,100","-0,433","0,168","-0,311","0,038","1,217","0,124","-0,074","0,781","0,264","-0,214","-0,073"
122,"-0,019","-0,118","0,318","0,843","0,401","0,992","0,361","-0,081","-0,036","-0,102","-0,491","-0,026","0,510","-0,112","0,667","0,654","-0,020","0,496","0,397","-0,265","-0,241"
123,"0,160","-0,191","0,258","0,604","0,351","1,078","0,346","-0,034","-0,072","-0,344","-0,125","0,097","1,282","-0,234","0,028","1,079","-0,209","0,103","0,330","-0,114","-0,162"
124,"0,241","0,045","0,588","0,543","0,351","1,082","0,164","0,102","-0,234","-0,457","-0,413","0,068","1,514","-0,077","0,535","1,484","-0,454","0,337","0,350","-0,100","0,535"
125,"0,179","-0,075","0,610","0,417","0,224","1,047","0,333","0,208","-0,266","0,144","-0,554","0,164","1,971","0,318","1,576","1,201","-0,392","0,605","0,627","0,215","0,969"
126,"0,157","-0,200","0,198","0,356","-0,078","1,093","0,075","-0,006","-0,133","-0,111","-0,142","0,004","1,401","0,077","1,736","0,975","0,117","1,289","0,915","0,169","1,255"
127,"0,186","-0,354","-0,398","0,656","-0,150","1,019","0,090","-0,054","-0,098","-0,021","0,165","-0,069","0,352","0,361","2,121","0,629","-0,194","0,705","1,323","0,259","1,572"
