Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
502,"-0,457","-0,295","-0,464","-0,472","-0,230","-0,237","-0,247","0,423","-0,007","0,281","0,219","-0,311","-0,638","-0,395","-1,412","-0,507","-1,172","-1,479","-0,899","-0,418","-0,006"
503,"-0,429","0,044","-0,109","-0,468","-0,039","-0,210","-0,163","0,333","0,051","0,132","0,419","-0,343","-0,388","-0,971","-1,734","-0,118","-0,417","-0,466","-0,848","-0,427","0,134"
504,"-0,421","0,133","-0,005","-0,024","0,119","-0,023","-0,272","0,519","-0,078","0,040","0,609","-0,356","-0,224","-1,087","-1,560","-0,456","0,147","0,496","-0,877","-0,535","-0,287"
505,"-0,307","0,042","-0,117","-0,072","0,212","0,150","-0,370","0,619","0,091","0,050","0,572","-0,403","-0,295","-0,701","-0,722","-0,531","-0,230","-0,307","-0,938","-0,536","-0,291"
506,"-0,306","-0,177","-1,007","-0,302","0,308","0,336","-0,461","0,672","-0,015","-0,017","0,498","-0,437","-1,543","0,006","0,520","-0,448","-0,728","-0,933","-0,928","-0,334","-0,441"
507,"-0,124","-0,180","-1,018","-0,593","0,465","0,515","-0,292","0,614","0,162","-0,140","0,556","-0,430","-1,233","0,171","0,466","-0,258","-0,813","-1,559","-0,791","-0,540","-0,609"
508,"-0,055","-0,092","-0,919","-0,767","0,429","0,658","-0,259","0,471","-0,043","-0,470","0,581","-0,598","-0,777","-0,132","0,369","-0,668","-0,663","-1,092","-0,867","-0,334","-0,436"
509,"0,042","-0,258","-0,318","-1,058","0,346","0,881","-0,187","0,551","0,040","-0,225","0,343","-0,673","-1,018","-0,285","0,792","-0,907","-0,673","-1,139","-0,822","-0,183","-0,231"
510,"0,211","0,033","0,354","-1,240","0,228","0,916","-0,116","0,387","0,003","0,061","0,656","-0,389","-0,971","-0,167","0,870","-0,415","-0,529","-0,825","-0,843","-0,394","0,055"
511,"0,192","-0,040","0,059","-1,427","0,220","0,869","-0,211","0,647","-0,031","-0,006","0,704","-0,362","-0,092","-0,634","0,436","-0,133","0,001","0,150","-0,598","-0,144","0,035"
512,"0,119","-0,142","-0,100","-1,848","0,236","0,959","-0,168","1,031","0,054","-0,674","0,914","-0,590","-0,270","-0,588","0,378","-0,576","-0,389","0,277","-0,555","-0,050","0,265"
513,"0,200","-0,070","0,191","-2,039","0,277","0,842","-0,596","1,038","0,108","-0,284","0,446","-0,451","-0,792","-0,390","0,531","-0,436","-0,596","-0,074","-0,315","0,032","0,316"
514,"0,305","-0,189","-0,038","-1,857","0,394","0,807","-0,511","1,070","0,227","-0,577","0,535","-0,505","-0,727","-0,879","-0,241","0,272","-1,074","-0,717","-0,374","-0,105","0,302"
515,"0,273","-0,246","-0,525","-1,366","0,579","0,799","-0,789","0,908","0,314","-0,948","0,467","-0,606","-0,205","-0,890","-0,441","-0,845","-0,797","-0,479","-0,193","-0,160","0,339"
516,"0,366","-0,131","-0,057","-0,997","0,765","0,801","-0,913","1,103","0,412","-0,948","0,467","-0,606","0,080","-0,815","-0,296","-0,815","-0,841","-0,304","-0,166","-0,301","0,002"
517,"0,353","-0,073","0,685","-0,449","0,818","0,751","-0,847","1,146","0,447","-1,231","0,519","-0,707","-0,693","-0,822","-0,491","-0,488","-0,331","0,765","0,087","-0,290","-0,115"
518,"0,187","-0,012","0,933","-0,197","1,016","0,820","-1,196","1,149","0,572","-1,041","0,412","-0,741","-0,926","-0,863","-0,577","-0,450","-0,295","1,828","0,029","-0,370","-0,152"
519,"0,191","0,062","0,978","-0,367","1,111","1,002","-1,374","1,744","0,601","-1,014","0,514","-0,580","-0,368","-0,732","-0,204","-0,348","-0,555","2,001","0,096","-0,144","0,554"
520,"-0,068","-0,035","-0,177","-0,484","1,424","1,016","-1,320","1,835","0,600","-1,032","0,375","-0,788","-0,477","-0,717","-0,304","0,865","-0,767","1,891","0,095","-0,200","0,577"
521,"-0,481","-0,204","-0,862","-0,288","1,454","1,182","-1,452","2,361","0,521","-0,830","0,597","-0,686","0,007","-1,211","-0,129","1,836","-1,484","1,230","0,013","-0,412","0,063"
522,"-0,870","-0,227","-1,208","-0,284","1,405","1,253","-1,450","2,606","0,641","-0,943","0,618","-0,726","0,994","-1,304","1,187","2,145","-2,004","0,093","-0,235","-0,390","0,101"
523,"-0,846","-0,377","-0,795","-0,440","1,593","1,603","-1,450","2,606","0,641","-0,757","0,944","-0,710","1,318","-1,410","1,965","2,083","-1,979","-0,867","-0,446","-0,363","0,470"
524,"-0,802","-0,216","-0,145","-0,353","1,418","2,001","-1,370","2,517","0,389","-0,650","0,990","-0,803","2,717","-1,710","1,728","1,095","-1,249","-0,433","-0,847","-0,755","0,139"
525,"-0,943","-0,465","-0,389","-0,574","1,415","2,329","-1,091","2,395","0,755","-0,481","1,177","-0,996","4,338","-2,176","1,707","0,949","-0,996","0,249","-1,437","-0,853","-0,131"
526,"-0,923","-0,611","-0,984","-0,756","1,298","2,364","-0,973","2,078","0,285","0,240","1,267","-0,760","5,527","-2,632","2,119","1,362","-1,272","0,429","-2,179","-1,501","-0,780"
527,"-1,207","-0,356","-0,713","-0,743","0,851","2,631","-1,256","2,246","0,506","0,629","1,139","-0,813","6,769","-3,045","2,148","1,324","-1,676","0,080","-2,706","-1,926","-1,041"
528,"-1,033","-0,110","0,033","-0,795","0,453","2,831","-1,464","2,203","0,102","-0,046","1,874","-0,750","7,843","-3,248","1,577","1,456","-1,728","1,000","-3,084","-2,573","-2,457"
529,"-1,047","0,522","1,577","-0,891","-0,080","3,308","-1,733","2,239","0,034","-0,509","1,995","-0,864","8,158","-3,542","1,597","1,378","-1,897","1,438","-3,293","-3,340","-4,472"
