Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
58,"-3,672","5,692","-3,245","6,019","0,367","1,381","0,934","-0,916","-6,062","-3,003","-10,490","1,266","-1,444","-0,420","4,567","-2,221","0,437","-1,761","-23,788","-0,786","1,095"
59,"-3,341","6,433","-0,620","5,758","0,459","1,945","0,353","-1,928","-4,774","3,229","-11,432","2,217","-3,690","-1,043","3,928","-1,916","-0,052","-1,819","-19,685","-0,097","1,166"
60,"-3,511","7,001","1,943","5,711","0,549","2,120","0,815","-2,136","-3,702","7,506","-12,508","2,745","-6,802","-0,584","3,067","-1,366","0,464","-1,727","-14,833","0,693","1,113"
61,"-3,900","7,682","4,695","5,847","0,757","2,261","-0,031","-2,351","-3,415","12,825","-15,479","2,030","-8,709","0,344","2,266","-0,578","0,881","-1,865","-8,636","2,126","2,494"
62,"-4,092","7,409","5,464","5,332","0,765","1,929","0,047","-1,663","-2,118","17,608","-20,873","2,415","-9,182","0,788","1,535","-0,152","0,585","-1,944","-3,269","3,951","4,291"
63,"-4,175","6,061","4,886","4,944","0,841","1,638","2,208","-1,544","-2,217","15,259","-19,689","-1,777","-9,464","0,007","1,324","-0,146","0,059","-1,778","2,692","4,700","4,147"
64,"-4,020","4,373","3,023","4,662","0,707","1,186","2,803","-1,050","-1,780","0,631","-0,847","-9,649","-10,242","-0,952","1,027","-0,326","-0,301","-1,680","3,716","5,238","5,745"
65,"-3,859","3,220","2,019","3,540","0,421","0,950","2,743","-0,657","0,702","-9,149","4,271","-9,346","-11,908","-1,017","0,544","-1,530","-0,522","-1,086","4,551","3,507","4,431"
66,"-3,689","1,701","1,071","1,687","0,205","0,760","3,920","-0,305","0,301","4,082","-0,921","-4,142","-11,633","0,011","-0,311","-2,788","-0,972","-0,255","5,192","2,215","3,290"
67,"-3,650","0,934","0,088","0,093","0,136","0,712","3,467","-0,506","1,366","12,060","-4,303","4,863","-8,720","0,889","-1,525","-3,674","-2,165","0,696","3,043","1,721","3,287"
68,"-3,143","1,140","1,825","-0,375","-0,060","1,028","2,939","0,209","2,232","9,353","-5,232","7,803","-4,666","1,434","-1,864","-3,656","-2,877","1,345","1,226","0,841","2,961"
69,"-2,931","1,748","4,058","-0,351","0,169","1,299","2,156","-0,844","2,906","4,960","-5,797","8,685","-1,509","1,651","-2,173","-3,153","-1,979","2,002","-1,252","0,077","2,518"
70,"-2,464","3,640","8,421","-0,604","0,453","1,149","-0,303","-1,382","5,383","4,812","-7,977","10,791","0,530","0,776","-2,239","-2,730","-0,287","2,042","-2,657","0,284","2,499"
71,"-2,612","5,776","14,029","-1,118","0,702","0,778","-2,655","-1,790","7,277","6,493","-9,352","10,439","0,552","-0,981","-1,708","-1,637","0,564","1,971","-3,528","0,924","3,403"
72,"-4,043","7,663","18,483","-1,310","1,167","0,594","-6,296","-1,833","9,749","4,186","-10,291","9,836","-0,421","-1,874","-1,071","0,605","0,949","1,412","-4,327","1,941","2,888"
73,"-6,229","9,280","22,426","-1,638","1,423","0,269","-10,185","-0,866","14,040","3,857","-7,045","6,457","-1,241","-1,129","-1,375","2,922","1,117","1,414","-4,136","2,262","1,508"
74,"-9,114","10,271","23,762","-1,849","1,487","-0,096","-14,845","-0,723","17,043","3,253","-5,027","4,559","-1,436","1,119","-1,714","4,801","0,925","0,919","-3,679","2,007","-0,175"
75,"-12,598","11,100","21,930","-2,420","1,506","-0,364","-20,530","-1,139","18,890","3,531","-5,090","1,818","-0,975","3,519","-2,217","5,884","0,545","0,327","-1,992","1,930","-1,226"
76,"-16,123","11,969","19,832","-2,490","1,246","-0,440","-23,017","-1,515","18,871","2,218","-6,212","1,503","-0,383","5,010","-2,036","6,050","0,657","-0,327","-1,352","2,385","-1,470"
