Index,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z
1207,"0,998","0,026","0,059","-0,006","0,999","-0,008","0,032","0,016","1,000","-0,015","0,017","-0,002","0,556","-0,754","0,317","0,150","0,991","0,121","0,061","0,007","0,997","-0,014","0,064","0,049","0,821","-0,563","0,032","0,093"
1208,"0,998","0,025","0,060","-0,006","0,999","-0,007","0,032","0,016","1,000","-0,015","0,017","-0,002","0,556","-0,753","0,317","0,150","0,991","0,121","0,062","0,007","0,997","-0,014","0,063","0,049","0,821","-0,562","0,032","0,093"
1209,"0,998","0,025","0,060","-0,006","0,999","-0,007","0,032","0,016","1,000","-0,016","0,017","-0,002","0,557","-0,753","0,317","0,151","0,991","0,121","0,063","0,007","0,997","-0,014","0,063","0,049","0,821","-0,562","0,033","0,094"
1210,"0,998","0,025","0,061","-0,005","0,999","-0,007","0,032","0,016","1,000","-0,016","0,017","-0,002","0,557","-0,753","0,317","0,151","0,991","0,121","0,063","0,008","0,997","-0,014","0,063","0,048","0,821","-0,562","0,034","0,094"
1211,"0,998","0,025","0,061","-0,005","0,999","-0,007","0,032","0,016","1,000","-0,017","0,018","-0,003","0,558","-0,752","0,317","0,151","0,991","0,121","0,064","0,008","0,997","-0,014","0,063","0,048","0,822","-0,561","0,034","0,095"
1212,"0,998","0,025","0,062","-0,004","0,999","-0,007","0,033","0,016","1,000","-0,017","0,018","-0,003","0,558","-0,751","0,317","0,152","0,991","0,121","0,064","0,008","0,997","-0,014","0,064","0,048","0,822","-0,560","0,034","0,095"
1213,"0,998","0,024","0,063","-0,003","0,999","-0,007","0,033","0,016","1,000","-0,018","0,019","-0,003","0,559","-0,751","0,317","0,152","0,991","0,121","0,064","0,008","0,997","-0,014","0,064","0,048","0,822","-0,560","0,034","0,095"
1214,"0,998","0,024","0,063","-0,003","0,999","-0,007","0,033","0,016","1,000","-0,019","0,019","-0,003","0,559","-0,751","0,317","0,153","0,991","0,121","0,064","0,008","0,997","-0,014","0,064","0,048","0,823","-0,559","0,034","0,095"
1215,"0,998","0,024","0,063","-0,003","0,999","-0,007","0,033","0,016","1,000","-0,019","0,019","-0,003","0,559","-0,751","0,317","0,153","0,991","0,121","0,064","0,008","0,997","-0,014","0,064","0,048","0,823","-0,559","0,034","0,095"
1216,"0,998","0,023","0,063","-0,003","0,999","-0,007","0,033","0,016","1,000","-0,020","0,019","-0,003","0,559","-0,750","0,317","0,153","0,991","0,121","0,063","0,008","0,997","-0,015","0,064","0,047","0,824","-0,558","0,034","0,095"
1217,"0,998","0,023","0,063","-0,003","0,999","-0,007","0,033","0,016","1,000","-0,020","0,019","-0,003","0,560","-0,750","0,317","0,154","0,991","0,121","0,063","0,008","0,997","-0,015","0,064","0,047","0,824","-0,558","0,033","0,095"
1218,"0,998","0,022","0,063","-0,004","0,999","-0,008","0,033","0,016","1,000","-0,021","0,020","-0,003","0,560","-0,750","0,317","0,154","0,991","0,121","0,063","0,007","0,997","-0,015","0,063","0,047","0,824","-0,558","0,034","0,095"
1219,"0,998","0,022","0,063","-0,004","0,999","-0,008","0,033","0,016","1,000","-0,022","0,020","-0,003","0,560","-0,750","0,318","0,154","0,991","0,122","0,063","0,007","0,997","-0,016","0,063","0,047","0,824","-0,558","0,034","0,095"
1220,"0,998","0,022","0,063","-0,005","0,999","-0,008","0,034","0,016","1,000","-0,022","0,020","-0,003","0,560","-0,749","0,318","0,154","0,990","0,122","0,063","0,007","0,997","-0,016","0,063","0,047","0,824","-0,558","0,034","0,095"
1221,"0,998","0,022","0,062","-0,005","0,999","-0,008","0,034","0,016","1,000","-0,022","0,020","-0,003","0,560","-0,750","0,318","0,154","0,990","0,122","0,063","0,007","0,997","-0,016","0,063","0,046","0,824","-0,558","0,034","0,095"
1222,"0,998","0,022","0,062","-0,006","0,999","-0,008","0,034","0,016","1,000","-0,022","0,020","-0,002","0,560","-0,750","0,318","0,154","0,990","0,122","0,063","0,007","0,997","-0,016","0,063","0,046","0,824","-0,558","0,034","0,094"
1223,"0,998","0,022","0,062","-0,007","0,999","-0,008","0,035","0,016","1,000","-0,023","0,020","-0,003","0,559","-0,750","0,318","0,154","0,990","0,122","0,064","0,007","0,997","-0,016","0,063","0,046","0,823","-0,559","0,034","0,094"
1224,"0,998","0,022","0,062","-0,007","0,999","-0,008","0,035","0,016","1,000","-0,023","0,020","-0,003","0,559","-0,750","0,318","0,154","0,990","0,122","0,064","0,007","0,997","-0,017","0,062","0,045","0,823","-0,559","0,034","0,094"
1225,"0,998","0,022","0,062","-0,008","0,999","-0,008","0,035","0,016","1,000","-0,024","0,020","-0,003","0,559","-0,750","0,319","0,154","0,990","0,122","0,064","0,007","0,997","-0,017","0,062","0,045","0,823","-0,560","0,034","0,094"
1226,"0,998","0,022","0,061","-0,008","0,999","-0,009","0,035","0,016","1,000","-0,024","0,020","-0,003","0,559","-0,750","0,319","0,154","0,991","0,121","0,064","0,007","0,997","-0,016","0,062","0,044","0,822","-0,560","0,034","0,094"
1227,"0,998","0,022","0,061","-0,009","0,999","-0,009","0,035","0,016","1,000","-0,024","0,020","-0,002","0,558","-0,750","0,319","0,154","0,991","0,121","0,064","0,007","0,997","-0,017","0,062","0,044","0,822","-0,560","0,034","0,094"
1228,"0,998","0,022","0,061","-0,009","0,999","-0,009","0,035","0,015","1,000","-0,024","0,020","-0,002","0,558","-0,751","0,319","0,154","0,991","0,121","0,064","0,007","0,997","-0,017","0,062","0,044","0,822","-0,561","0,034","0,094"
1229,"0,998","0,023","0,061","-0,009","0,999","-0,009","0,035","0,015","0,999","-0,024","0,020","-0,002","0,558","-0,751","0,319","0,154","0,991","0,121","0,064","0,007","0,997","-0,017","0,062","0,044","0,821","-0,561","0,035","0,094"
1230,"0,998","0,023","0,061","-0,010","0,999","-0,009","0,035","0,015","0,999","-0,024","0,020","-0,002","0,557","-0,751","0,320","0,154","0,991","0,121","0,064","0,007","0,997","-0,016","0,062","0,043","0,821","-0,562","0,035","0,094"
1231,"0,998","0,023","0,062","-0,010","0,999","-0,009","0,034","0,015","0,999","-0,024","0,021","-0,002","0,557","-0,751","0,320","0,155","0,991","0,121","0,064","0,007","0,997","-0,017","0,062","0,043","0,821","-0,562","0,035","0,094"
1232,"0,998","0,023","0,062","-0,011","0,999","-0,009","0,034","0,014","0,999","-0,025","0,020","-0,002","0,557","-0,751","0,320","0,155","0,991","0,120","0,063","0,007","0,997","-0,017","0,063","0,043","0,821","-0,562","0,035","0,094"
1233,"0,998","0,023","0,062","-0,011","0,999","-0,009","0,034","0,014","0,999","-0,024","0,020","-0,002","0,557","-0,750","0,320","0,155","0,991","0,120","0,063","0,007","0,997","-0,017","0,063","0,043","0,821","-0,563","0,035","0,094"
1234,"0,998","0,023","0,062","-0,012","0,999","-0,009","0,034","0,014","1,000","-0,024","0,020","-0,002","0,557","-0,750","0,321","0,155","0,991","0,120","0,063","0,007","0,997","-0,018","0,063","0,042","0,821","-0,563","0,034","0,094"
1235,"0,998","0,023","0,062","-0,012","0,999","-0,009","0,033","0,014","1,000","-0,024","0,020","-0,002","0,557","-0,750","0,321","0,155","0,991","0,120","0,063","0,007","0,997","-0,018","0,063","0,042","0,821","-0,563","0,034","0,093"
1236,"0,998","0,023","0,062","-0,012","0,999","-0,009","0,033","0,014","1,000","-0,023","0,019","-0,002","0,558","-0,750","0,321","0,155","0,991","0,120","0,062","0,007","0,997","-0,018","0,063","0,042","0,821","-0,563","0,034","0,093"
1237,"0,998","0,023","0,062","-0,012","0,999","-0,009","0,033","0,014","1,000","-0,023","0,019","-0,002","0,558","-0,750","0,321","0,154","0,991","0,119","0,062","0,007","0,997","-0,019","0,063","0,042","0,821","-0,563","0,034","0,093"
